2023-12-19 03:01:14,464 - cli.py - This is Paynt version 0.1.0.
2023-12-19 03:01:14,464 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/dpm/switch-rates-big/sketch.templ ...
2023-12-19 03:01:14,464 - sketch.py - assuming sketch in PRISM format...
2023-12-19 03:01:14,467 - prism_parser.py - PRISM model type: MDP
2023-12-19 03:01:14,467 - prism_parser.py - processing hole definitions...
2023-12-19 03:01:14,467 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/dpm/switch-rates-big/sketch.props ...
2023-12-19 03:01:14,468 - prism_parser.py - found the following specification: constraints: P>=9/10 [F ((bat = 0) & (lost = 0))]; 
2023-12-19 03:01:14,468 - jani.py - constructing JANI program...
2023-12-19 03:01:14,473 - jani.py - constructing the quotient...
2023-12-19 03:01:14,717 - jani.py - associating choices of the quotient with hole assignments...
2023-12-19 03:01:14,805 - sketch.py - sketch parsing OK
2023-12-19 03:01:14,805 - sketch.py - constructed explicit quotient having 8767 states and 57794 actions
2023-12-19 03:01:14,805 - sketch.py - found the following specification constraints: P>=9/10 [F ((bat = 0) & (lost = 0))]; 
2023-12-19 03:01:14,821 - mdp_family.py - associating choices with action labels...
2023-12-19 03:01:14,889 - synthesizer.py - evaluation initiated, design space: 14580
> Progress 1.838%, elapsed 3 s, estimated 163 s, iters = {MDP: 269}
> Progress 3.401%, elapsed 6 s, estimated 177 s, iters = {MDP: 497}
> Progress 4.746%, elapsed 9 s, estimated 190 s, iters = {MDP: 693}
> Progress 5.946%, elapsed 12 s, estimated 202 s, iters = {MDP: 868}
> Progress 7.085%, elapsed 15 s, estimated 212 s, iters = {MDP: 1034}
> Progress 8.12%, elapsed 18 s, estimated 222 s, iters = {MDP: 1185}
> Progress 9.122%, elapsed 21 s, estimated 230 s, iters = {MDP: 1331}
> Progress 10.041%, elapsed 24 s, estimated 239 s, iters = {MDP: 1465}
> Progress 10.898%, elapsed 27 s, estimated 248 s, iters = {MDP: 1590}
> Progress 11.989%, elapsed 30 s, estimated 250 s, iters = {MDP: 1749}
> Progress 13.052%, elapsed 33 s, estimated 253 s, iters = {MDP: 1904}
> Progress 14.115%, elapsed 36 s, estimated 255 s, iters = {MDP: 2059}
> Progress 14.807%, elapsed 39 s, estimated 264 s, iters = {MDP: 2160}
> Progress 15.795%, elapsed 42 s, estimated 267 s, iters = {MDP: 2304}
> Progress 16.79%, elapsed 45 s, estimated 269 s, iters = {MDP: 2449}
> Progress 17.75%, elapsed 48 s, estimated 271 s, iters = {MDP: 2589}
> Progress 18.395%, elapsed 51 s, estimated 278 s, iters = {MDP: 2683}
> Progress 19.362%, elapsed 54 s, estimated 280 s, iters = {MDP: 2824}
> Progress 20.308%, elapsed 57 s, estimated 281 s, iters = {MDP: 2962}
> Progress 20.898%, elapsed 60 s, estimated 288 s, iters = {MDP: 3048}
> Progress 21.838%, elapsed 63 s, estimated 289 s, iters = {MDP: 3185}
> Progress 22.75%, elapsed 66 s, estimated 291 s, iters = {MDP: 3318}
> Progress 23.292%, elapsed 69 s, estimated 297 s, iters = {MDP: 3397}
> Progress 24.183%, elapsed 72 s, estimated 299 s, iters = {MDP: 3527}
> Progress 24.801%, elapsed 75 s, estimated 303 s, iters = {MDP: 3617}
> Progress 25.603%, elapsed 78 s, estimated 305 s, iters = {MDP: 3734}
> Progress 26.467%, elapsed 81 s, estimated 307 s, iters = {MDP: 3860}
> Progress 26.975%, elapsed 84 s, estimated 312 s, iters = {MDP: 3934}
> Progress 27.846%, elapsed 87 s, estimated 313 s, iters = {MDP: 4061}
> Progress 28.326%, elapsed 90 s, estimated 319 s, iters = {MDP: 4131}
> Progress 29.183%, elapsed 93 s, estimated 320 s, iters = {MDP: 4256}
> Progress 29.766%, elapsed 96 s, estimated 324 s, iters = {MDP: 4341}
> Progress 30.5%, elapsed 99 s, estimated 326 s, iters = {MDP: 4448}
> Progress 31.165%, elapsed 102 s, estimated 328 s, iters = {MDP: 4545}
> Progress 31.755%, elapsed 105 s, estimated 332 s, iters = {MDP: 4631}
> Progress 32.544%, elapsed 108 s, estimated 333 s, iters = {MDP: 4746}
> Progress 33.024%, elapsed 111 s, estimated 337 s, iters = {MDP: 4816}
> Progress 33.882%, elapsed 114 s, estimated 337 s, iters = {MDP: 4941}
> Progress 35.72%, elapsed 117 s, estimated 328 s, iters = {MDP: 5209}
> Progress 37.551%, elapsed 120 s, estimated 320 s, iters = {MDP: 5476}
> Progress 39.396%, elapsed 123 s, estimated 313 s, iters = {MDP: 5745}
> Progress 41.248%, elapsed 126 s, estimated 306 s, iters = {MDP: 6015}
> Progress 43.01%, elapsed 129 s, estimated 301 s, iters = {MDP: 6272}
> Progress 44.739%, elapsed 132 s, estimated 296 s, iters = {MDP: 6524}
> Progress 46.591%, elapsed 135 s, estimated 290 s, iters = {MDP: 6794}
> Progress 48.443%, elapsed 138 s, estimated 286 s, iters = {MDP: 7064}
> Progress 50.226%, elapsed 141 s, estimated 281 s, iters = {MDP: 7324}
> Progress 52.05%, elapsed 144 s, estimated 277 s, iters = {MDP: 7590}
> Progress 53.834%, elapsed 147 s, estimated 274 s, iters = {MDP: 7850}
> Progress 55.507%, elapsed 150 s, estimated 271 s, iters = {MDP: 8094}
> Progress 57.229%, elapsed 153 s, estimated 268 s, iters = {MDP: 8345}
> Progress 58.971%, elapsed 156 s, estimated 265 s, iters = {MDP: 8599}
> Progress 60.603%, elapsed 159 s, estimated 263 s, iters = {MDP: 8837}
> Progress 62.201%, elapsed 162 s, estimated 261 s, iters = {MDP: 9070}
> Progress 63.916%, elapsed 165 s, estimated 259 s, iters = {MDP: 9320}
> Progress 65.596%, elapsed 168 s, estimated 257 s, iters = {MDP: 9565}
> Progress 67.229%, elapsed 171 s, estimated 255 s, iters = {MDP: 9803}
> Progress 68.888%, elapsed 174 s, estimated 253 s, iters = {MDP: 10045}
> Progress 70.521%, elapsed 177 s, estimated 251 s, iters = {MDP: 10283}
> Progress 72.085%, elapsed 180 s, estimated 250 s, iters = {MDP: 10511}
> Progress 73.683%, elapsed 183 s, estimated 249 s, iters = {MDP: 10744}
> Progress 75.253%, elapsed 186 s, estimated 248 s, iters = {MDP: 10973}
> Progress 76.7%, elapsed 189 s, estimated 247 s, iters = {MDP: 11184}
> Progress 78.155%, elapsed 192 s, estimated 246 s, iters = {MDP: 11396}
> Progress 79.732%, elapsed 195 s, estimated 245 s, iters = {MDP: 11626}
> Progress 81.262%, elapsed 198 s, estimated 244 s, iters = {MDP: 11849}
> Progress 82.757%, elapsed 201 s, estimated 243 s, iters = {MDP: 12067}
> Progress 84.231%, elapsed 204 s, estimated 243 s, iters = {MDP: 12282}
> Progress 85.582%, elapsed 207 s, estimated 242 s, iters = {MDP: 12479}
> Progress 86.899%, elapsed 210 s, estimated 242 s, iters = {MDP: 12671}
> Progress 88.106%, elapsed 213 s, estimated 242 s, iters = {MDP: 12847}
> Progress 89.403%, elapsed 216 s, estimated 242 s, iters = {MDP: 13036}
> Progress 90.809%, elapsed 219 s, estimated 241 s, iters = {MDP: 13241}
> Progress 92.318%, elapsed 222 s, estimated 241 s, iters = {MDP: 13461}
> Progress 93.751%, elapsed 225 s, estimated 240 s, iters = {MDP: 13670}
> Progress 95.13%, elapsed 228 s, estimated 240 s, iters = {MDP: 13871}
> Progress 96.611%, elapsed 231 s, estimated 239 s, iters = {MDP: 14087}
> Progress 98.141%, elapsed 234 s, estimated 239 s, iters = {MDP: 14310}
> Progress 99.705%, elapsed 237 s, estimated 238 s, iters = {MDP: 14538}
unSAT MDPs: 11340	unSAT families: 11340	avg. unSAT family size: 1.0
SAT MDPs: 3240	SAT families: 3240	avg. SAT family size: 1.0
policies: 1697	policy per SAT MDP: 0.52
iterations: 14580
time: 238.29s
