2023-12-19 02:57:12,075 - cli.py - This is Paynt version 0.1.0.
2023-12-19 02:57:12,075 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rocks/6-4/sketch.templ ...
2023-12-19 02:57:12,075 - sketch.py - assuming sketch in PRISM format...
2023-12-19 02:57:12,077 - prism_parser.py - PRISM model type: MDP
2023-12-19 02:57:12,077 - prism_parser.py - processing hole definitions...
2023-12-19 02:57:12,078 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rocks/6-4/sketch.props ...
2023-12-19 02:57:12,079 - prism_parser.py - found the following specification: constraints: P>=1 [F (((visit1 & visit2) & visit3) & visit4)]; 
2023-12-19 02:57:12,079 - jani.py - constructing JANI program...
2023-12-19 02:57:12,080 - jani.py - constructing the quotient...
2023-12-19 02:57:12,100 - jani.py - associating choices of the quotient with hole assignments...
2023-12-19 02:57:12,105 - sketch.py - sketch parsing OK
2023-12-19 02:57:12,105 - sketch.py - constructed explicit quotient having 2736 states and 6660 actions
2023-12-19 02:57:12,105 - sketch.py - found the following specification constraints: P>=1 [F (((visit1 & visit2) & visit3) & visit4)]; 
2023-12-19 02:57:12,106 - mdp_family.py - associating choices with action labels...
2023-12-19 02:57:12,123 - synthesizer.py - evaluation initiated, design space: 6561
> Progress 8.779%, elapsed 3 s, estimated 34 s, iters = {MDP: 577}
> Progress 13.976%, elapsed 6 s, estimated 42 s, iters = {MDP: 918}
> Progress 17.878%, elapsed 9 s, estimated 50 s, iters = {MDP: 1174}
> Progress 21.094%, elapsed 12 s, estimated 56 s, iters = {MDP: 1385}
> Progress 24.127%, elapsed 15 s, estimated 62 s, iters = {MDP: 1584}
> Progress 26.931%, elapsed 18 s, estimated 66 s, iters = {MDP: 1768}
> Progress 29.431%, elapsed 21 s, estimated 71 s, iters = {MDP: 1932}
> Progress 31.748%, elapsed 24 s, estimated 75 s, iters = {MDP: 2084}
> Progress 33.942%, elapsed 27 s, estimated 79 s, iters = {MDP: 2228}
> Progress 36.153%, elapsed 30 s, estimated 83 s, iters = {MDP: 2373}
> Progress 38.378%, elapsed 33 s, estimated 86 s, iters = {MDP: 2519}
> Progress 40.329%, elapsed 36 s, estimated 89 s, iters = {MDP: 2647}
> Progress 42.447%, elapsed 39 s, estimated 92 s, iters = {MDP: 2786}
> Progress 44.261%, elapsed 42 s, estimated 95 s, iters = {MDP: 2905}
> Progress 46.044%, elapsed 45 s, estimated 98 s, iters = {MDP: 3022}
> Progress 47.751%, elapsed 48 s, estimated 100 s, iters = {MDP: 3134}
> Progress 49.382%, elapsed 51 s, estimated 103 s, iters = {MDP: 3241}
> Progress 51.089%, elapsed 54 s, estimated 106 s, iters = {MDP: 3353}
> Progress 52.705%, elapsed 57 s, estimated 108 s, iters = {MDP: 3459}
> Progress 54.275%, elapsed 60 s, estimated 110 s, iters = {MDP: 3562}
> Progress 55.784%, elapsed 63 s, estimated 113 s, iters = {MDP: 3661}
> Progress 57.201%, elapsed 66 s, estimated 115 s, iters = {MDP: 3754}
> Progress 58.619%, elapsed 69 s, estimated 118 s, iters = {MDP: 3847}
> Progress 59.99%, elapsed 72 s, estimated 120 s, iters = {MDP: 3937}
> Progress 61.316%, elapsed 75 s, estimated 122 s, iters = {MDP: 4024}
> Progress 62.673%, elapsed 78 s, estimated 125 s, iters = {MDP: 4113}
> Progress 63.953%, elapsed 81 s, estimated 127 s, iters = {MDP: 4197}
> Progress 65.188%, elapsed 84 s, estimated 129 s, iters = {MDP: 4278}
> Progress 66.438%, elapsed 87 s, estimated 131 s, iters = {MDP: 4360}
> Progress 67.687%, elapsed 90 s, estimated 133 s, iters = {MDP: 4442}
> Progress 68.891%, elapsed 93 s, estimated 135 s, iters = {MDP: 4521}
> Progress 70.141%, elapsed 96 s, estimated 137 s, iters = {MDP: 4603}
> Progress 71.33%, elapsed 99 s, estimated 139 s, iters = {MDP: 4681}
> Progress 72.473%, elapsed 102 s, estimated 141 s, iters = {MDP: 4756}
> Progress 73.601%, elapsed 105 s, estimated 143 s, iters = {MDP: 4830}
> Progress 74.729%, elapsed 108 s, estimated 145 s, iters = {MDP: 4904}
> Progress 75.826%, elapsed 111 s, estimated 147 s, iters = {MDP: 4976}
> Progress 76.954%, elapsed 114 s, estimated 148 s, iters = {MDP: 5050}
> Progress 78.097%, elapsed 117 s, estimated 150 s, iters = {MDP: 5125}
> Progress 79.164%, elapsed 120 s, estimated 152 s, iters = {MDP: 5195}
> Progress 80.231%, elapsed 123 s, estimated 154 s, iters = {MDP: 5265}
> Progress 81.298%, elapsed 126 s, estimated 155 s, iters = {MDP: 5335}
> Progress 82.365%, elapsed 129 s, estimated 157 s, iters = {MDP: 5405}
> Progress 83.417%, elapsed 132 s, estimated 159 s, iters = {MDP: 5474}
> Progress 84.453%, elapsed 135 s, estimated 160 s, iters = {MDP: 5542}
> Progress 85.49%, elapsed 138 s, estimated 162 s, iters = {MDP: 5610}
> Progress 86.495%, elapsed 141 s, estimated 163 s, iters = {MDP: 5676}
> Progress 87.501%, elapsed 144 s, estimated 165 s, iters = {MDP: 5742}
> Progress 88.492%, elapsed 147 s, estimated 167 s, iters = {MDP: 5807}
> Progress 89.452%, elapsed 150 s, estimated 168 s, iters = {MDP: 5870}
> Progress 90.352%, elapsed 153 s, estimated 170 s, iters = {MDP: 5929}
> Progress 91.281%, elapsed 156 s, estimated 171 s, iters = {MDP: 5990}
> Progress 92.226%, elapsed 159 s, estimated 173 s, iters = {MDP: 6052}
> Progress 93.141%, elapsed 162 s, estimated 174 s, iters = {MDP: 6112}
> Progress 94.01%, elapsed 165 s, estimated 176 s, iters = {MDP: 6169}
> Progress 94.894%, elapsed 168 s, estimated 178 s, iters = {MDP: 6227}
> Progress 95.793%, elapsed 172 s, estimated 179 s, iters = {MDP: 6286}
> Progress 96.662%, elapsed 175 s, estimated 181 s, iters = {MDP: 6343}
