2023-12-19 11:51:34,462 - cli.py - This is Paynt version 0.1.0.
2023-12-19 11:51:34,462 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rover/rover/sketch.templ ...
2023-12-19 11:51:34,462 - sketch.py - assuming sketch in PRISM format...
2023-12-19 11:51:34,464 - prism_parser.py - PRISM model type: MDP
2023-12-19 11:51:34,464 - prism_parser.py - processing hole definitions...
2023-12-19 11:51:34,465 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rover/rover/sketch.props ...
2023-12-19 11:51:34,466 - prism_parser.py - found the following specification: constraints: P>=3/4 [F "goal"]; 
2023-12-19 11:51:34,466 - jani.py - constructing JANI program...
2023-12-19 11:51:34,468 - jani.py - constructing the quotient...
2023-12-19 11:51:35,081 - jani.py - associating choices of the quotient with hole assignments...
2023-12-19 11:51:35,512 - sketch.py - sketch parsing OK
2023-12-19 11:51:35,512 - sketch.py - constructed explicit quotient having 17003 states and 486003 actions
2023-12-19 11:51:35,512 - sketch.py - found the following specification constraints: P>=3/4 [F "goal"]; 
2023-12-19 11:51:35,724 - mdp_family.py - associating choices with action labels...
2023-12-19 11:51:36,041 - synthesizer.py - evaluation initiated, design space: 38880
> Progress 0.288%, elapsed 3 s, estimated 1045 s, iters = {MDP: 113}
> Progress 0.606%, elapsed 6 s, estimated 994 s, iters = {MDP: 237}
> Progress 0.892%, elapsed 9 s, estimated 1014 s, iters = {MDP: 348}
> Progress 1.229%, elapsed 12 s, estimated 981 s, iters = {MDP: 479}
> Progress 1.496%, elapsed 15 s, estimated 1007 s, iters = {MDP: 583}
> Progress 1.828%, elapsed 18 s, estimated 988 s, iters = {MDP: 712}
> Progress 2.109%, elapsed 21 s, estimated 999 s, iters = {MDP: 821}
> Progress 2.422%, elapsed 24 s, estimated 994 s, iters = {MDP: 943}
> Progress 2.718%, elapsed 27 s, estimated 997 s, iters = {MDP: 1058}
> Progress 3.019%, elapsed 30 s, estimated 998 s, iters = {MDP: 1175}
> Progress 3.302%, elapsed 33 s, estimated 1004 s, iters = {MDP: 1285}
> Progress 3.611%, elapsed 36 s, estimated 1002 s, iters = {MDP: 1405}
> Progress 3.909%, elapsed 39 s, estimated 1003 s, iters = {MDP: 1521}
> Progress 4.194%, elapsed 42 s, estimated 1006 s, iters = {MDP: 1632}
> Progress 4.503%, elapsed 45 s, estimated 1004 s, iters = {MDP: 1752}
> Progress 4.768%, elapsed 48 s, estimated 1011 s, iters = {MDP: 1855}
> Progress 5.095%, elapsed 51 s, estimated 1005 s, iters = {MDP: 1982}
> Progress 5.347%, elapsed 54 s, estimated 1014 s, iters = {MDP: 2080}
> Progress 5.671%, elapsed 57 s, estimated 1010 s, iters = {MDP: 2206}
> Progress 5.923%, elapsed 60 s, estimated 1017 s, iters = {MDP: 2304}
> Progress 6.239%, elapsed 63 s, estimated 1014 s, iters = {MDP: 2427}
> Progress 6.491%, elapsed 66 s, estimated 1022 s, iters = {MDP: 2525}
> Progress 6.805%, elapsed 69 s, estimated 1019 s, iters = {MDP: 2647}
> Progress 7.062%, elapsed 72 s, estimated 1025 s, iters = {MDP: 2747}
> Progress 7.376%, elapsed 75 s, estimated 1022 s, iters = {MDP: 2869}
> Progress 7.61%, elapsed 78 s, estimated 1030 s, iters = {MDP: 2960}
> Progress 7.908%, elapsed 81 s, estimated 1029 s, iters = {MDP: 3076}
> Progress 8.15%, elapsed 84 s, estimated 1036 s, iters = {MDP: 3170}
> Progress 8.449%, elapsed 87 s, estimated 1035 s, iters = {MDP: 3286}
> Progress 8.685%, elapsed 90 s, estimated 1041 s, iters = {MDP: 3378}
> Progress 8.971%, elapsed 93 s, estimated 1042 s, iters = {MDP: 3489}
> Progress 9.205%, elapsed 96 s, estimated 1048 s, iters = {MDP: 3580}
> Progress 9.475%, elapsed 99 s, estimated 1050 s, iters = {MDP: 3685}
> Progress 9.737%, elapsed 102 s, estimated 1053 s, iters = {MDP: 3787}
> Progress 9.994%, elapsed 105 s, estimated 1056 s, iters = {MDP: 3887}
> Progress 10.27%, elapsed 108 s, estimated 1057 s, iters = {MDP: 3994}
> Progress 10.522%, elapsed 111 s, estimated 1060 s, iters = {MDP: 4092}
> Progress 10.794%, elapsed 114 s, estimated 1061 s, iters = {MDP: 4198}
> Progress 11.046%, elapsed 117 s, estimated 1064 s, iters = {MDP: 4296}
> Progress 11.316%, elapsed 120 s, estimated 1066 s, iters = {MDP: 4401}
> Progress 11.545%, elapsed 123 s, estimated 1071 s, iters = {MDP: 4490}
> Progress 11.813%, elapsed 126 s, estimated 1072 s, iters = {MDP: 4594}
> Progress 12.031%, elapsed 129 s, estimated 1078 s, iters = {MDP: 4679}
> Progress 12.309%, elapsed 132 s, estimated 1078 s, iters = {MDP: 4787}
> Progress 12.523%, elapsed 135 s, estimated 1084 s, iters = {MDP: 4870}
> Progress 12.785%, elapsed 138 s, estimated 1085 s, iters = {MDP: 4972}
> Progress 13.058%, elapsed 141 s, estimated 1085 s, iters = {MDP: 5078}
> Progress 13.307%, elapsed 144 s, estimated 1088 s, iters = {MDP: 5175}
> Progress 13.575%, elapsed 147 s, estimated 1088 s, iters = {MDP: 5279}
> Progress 13.832%, elapsed 150 s, estimated 1090 s, iters = {MDP: 5379}
> Progress 14.107%, elapsed 153 s, estimated 1090 s, iters = {MDP: 5486}
> Progress 14.359%, elapsed 156 s, estimated 1092 s, iters = {MDP: 5584}
> Progress 14.629%, elapsed 159 s, estimated 1092 s, iters = {MDP: 5689}
> Progress 14.873%, elapsed 162 s, estimated 1095 s, iters = {MDP: 5784}
> Progress 15.156%, elapsed 165 s, estimated 1094 s, iters = {MDP: 5894}
> Progress 15.367%, elapsed 168 s, estimated 1099 s, iters = {MDP: 5976}
> Progress 15.64%, elapsed 171 s, estimated 1099 s, iters = {MDP: 6082}
> Progress 15.848%, elapsed 174 s, estimated 1103 s, iters = {MDP: 6163}
> Progress 16.082%, elapsed 177 s, estimated 1106 s, iters = {MDP: 6254}
> Progress 16.34%, elapsed 180 s, estimated 1107 s, iters = {MDP: 6354}
> Progress 16.592%, elapsed 183 s, estimated 1108 s, iters = {MDP: 6452}
> Progress 16.862%, elapsed 187 s, estimated 1109 s, iters = {MDP: 6557}
> Progress 17.109%, elapsed 190 s, estimated 1110 s, iters = {MDP: 6653}
> Progress 17.391%, elapsed 193 s, estimated 1109 s, iters = {MDP: 6763}
> Progress 17.644%, elapsed 196 s, estimated 1111 s, iters = {MDP: 6861}
> Progress 17.932%, elapsed 199 s, estimated 1110 s, iters = {MDP: 6973}
> Progress 18.155%, elapsed 202 s, estimated 1113 s, iters = {MDP: 7060}
> Progress 18.446%, elapsed 205 s, estimated 1111 s, iters = {MDP: 7173}
> Progress 18.69%, elapsed 208 s, estimated 1113 s, iters = {MDP: 7268}
> Progress 18.986%, elapsed 211 s, estimated 1112 s, iters = {MDP: 7383}
> Progress 19.21%, elapsed 214 s, estimated 1114 s, iters = {MDP: 7470}
> Progress 19.501%, elapsed 217 s, estimated 1113 s, iters = {MDP: 7583}
> Progress 19.747%, elapsed 220 s, estimated 1114 s, iters = {MDP: 7679}
> Progress 19.981%, elapsed 223 s, estimated 1117 s, iters = {MDP: 7770}
> Progress 20.246%, elapsed 226 s, estimated 1117 s, iters = {MDP: 7873}
> Progress 20.496%, elapsed 229 s, estimated 1118 s, iters = {MDP: 7970}
> Progress 20.758%, elapsed 232 s, estimated 1118 s, iters = {MDP: 8072}
> Progress 20.977%, elapsed 235 s, estimated 1121 s, iters = {MDP: 8157}
> Progress 21.247%, elapsed 238 s, estimated 1121 s, iters = {MDP: 8262}
> Progress 21.481%, elapsed 241 s, estimated 1123 s, iters = {MDP: 8353}
> Progress 21.782%, elapsed 244 s, estimated 1121 s, iters = {MDP: 8470}
> Progress 22.013%, elapsed 247 s, estimated 1123 s, iters = {MDP: 8560}
> Progress 22.317%, elapsed 250 s, estimated 1121 s, iters = {MDP: 8678}
> Progress 22.543%, elapsed 253 s, estimated 1124 s, iters = {MDP: 8766}
> Progress 22.821%, elapsed 256 s, estimated 1123 s, iters = {MDP: 8874}
> Progress 23.063%, elapsed 259 s, estimated 1124 s, iters = {MDP: 8968}
> Progress 23.31%, elapsed 262 s, estimated 1125 s, iters = {MDP: 9064}
> Progress 23.585%, elapsed 265 s, estimated 1125 s, iters = {MDP: 9171}
> Progress 23.834%, elapsed 268 s, estimated 1126 s, iters = {MDP: 9268}
> Progress 24.104%, elapsed 271 s, estimated 1126 s, iters = {MDP: 9373}
> Progress 24.346%, elapsed 274 s, estimated 1127 s, iters = {MDP: 9467}
> Progress 24.621%, elapsed 277 s, estimated 1127 s, iters = {MDP: 9574}
> Progress 24.861%, elapsed 280 s, estimated 1128 s, iters = {MDP: 9667}
> Progress 25.144%, elapsed 283 s, estimated 1127 s, iters = {MDP: 9777}
> Progress 25.367%, elapsed 286 s, estimated 1129 s, iters = {MDP: 9864}
> Progress 25.655%, elapsed 289 s, estimated 1128 s, iters = {MDP: 9976}
> Progress 25.877%, elapsed 292 s, estimated 1130 s, iters = {MDP: 10062}
> Progress 26.141%, elapsed 295 s, estimated 1130 s, iters = {MDP: 10165}
> Progress 26.386%, elapsed 298 s, estimated 1131 s, iters = {MDP: 10260}
> Progress 26.615%, elapsed 301 s, estimated 1133 s, iters = {MDP: 10349}
> Progress 26.872%, elapsed 304 s, estimated 1134 s, iters = {MDP: 10449}
> Progress 27.093%, elapsed 307 s, estimated 1135 s, iters = {MDP: 10535}
> Progress 27.35%, elapsed 310 s, estimated 1136 s, iters = {MDP: 10635}
> Progress 27.566%, elapsed 313 s, estimated 1138 s, iters = {MDP: 10719}
> Progress 27.824%, elapsed 316 s, estimated 1138 s, iters = {MDP: 10819}
> Progress 28.04%, elapsed 319 s, estimated 1140 s, iters = {MDP: 10903}
> Progress 28.258%, elapsed 322 s, estimated 1142 s, iters = {MDP: 10988}
> Progress 28.503%, elapsed 325 s, estimated 1143 s, iters = {MDP: 11083}
> Progress 28.713%, elapsed 328 s, estimated 1145 s, iters = {MDP: 11165}
> Progress 28.971%, elapsed 331 s, estimated 1145 s, iters = {MDP: 11265}
> Progress 29.174%, elapsed 334 s, estimated 1148 s, iters = {MDP: 11344}
> Progress 29.387%, elapsed 337 s, estimated 1150 s, iters = {MDP: 11427}
> Progress 29.596%, elapsed 340 s, estimated 1152 s, iters = {MDP: 11508}
> Progress 29.773%, elapsed 344 s, estimated 1155 s, iters = {MDP: 11577}
> Progress 29.974%, elapsed 347 s, estimated 1157 s, iters = {MDP: 11655}
> Progress 30.221%, elapsed 350 s, estimated 1158 s, iters = {MDP: 11751}
> Progress 30.437%, elapsed 353 s, estimated 1160 s, iters = {MDP: 11835}
> Progress 30.689%, elapsed 356 s, estimated 1160 s, iters = {MDP: 11933}
> Progress 30.882%, elapsed 359 s, estimated 1162 s, iters = {MDP: 12008}
> Progress 31.111%, elapsed 362 s, estimated 1164 s, iters = {MDP: 12097}
> Progress 31.319%, elapsed 365 s, estimated 1166 s, iters = {MDP: 12178}
> Progress 31.512%, elapsed 368 s, estimated 1168 s, iters = {MDP: 12253}
> Progress 31.759%, elapsed 371 s, estimated 1168 s, iters = {MDP: 12349}
> Progress 31.954%, elapsed 374 s, estimated 1171 s, iters = {MDP: 12425}
