2023-12-19 12:15:51,255 - cli.py - This is Paynt version 0.1.0.
2023-12-19 12:15:51,255 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/virus/sketch.templ ...
2023-12-19 12:15:51,255 - sketch.py - assuming sketch in PRISM format...
2023-12-19 12:15:51,260 - prism_parser.py - PRISM model type: MDP
2023-12-19 12:15:51,261 - prism_parser.py - processing hole definitions...
2023-12-19 12:15:51,261 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/virus/sketch.props ...
2023-12-19 12:15:51,262 - prism_parser.py - found the following specification: constraints: P>=1/2 [F (s11 = 2)]; 
2023-12-19 12:15:51,262 - jani.py - constructing JANI program...
2023-12-19 12:15:51,291 - jani.py - constructing the quotient...
2023-12-19 12:15:51,902 - jani.py - associating choices of the quotient with hole assignments...
2023-12-19 12:15:52,057 - jani.py - keeping 142173/164733 choices with non-conflicting hole assignments...
2023-12-19 12:15:52,205 - sketch.py - sketch parsing OK
2023-12-19 12:15:52,205 - sketch.py - constructed explicit quotient having 1678 states and 142173 actions
2023-12-19 12:15:52,205 - sketch.py - found the following specification constraints: P>=1/2 [F (s11 = 2)]; 
2023-12-19 12:15:52,301 - mdp_family.py - associating choices with action labels...
2023-12-19 12:15:52,418 - synthesizer.py - evaluation initiated, design space: 72576
> Progress 0.772%, elapsed 3 s, estimated 388 s, iters = {MDP: 562}
> Progress 1.685%, elapsed 6 s, estimated 356 s, iters = {MDP: 1224}
> Progress 2.864%, elapsed 9 s, estimated 314 s, iters = {MDP: 2080}
> Progress 3.644%, elapsed 12 s, estimated 329 s, iters = {MDP: 2646}
> Progress 4.413%, elapsed 15 s, estimated 340 s, iters = {MDP: 3204}
> Progress 5.179%, elapsed 18 s, estimated 347 s, iters = {MDP: 3760}
> Progress 6.237%, elapsed 21 s, estimated 336 s, iters = {MDP: 4528}
> Progress 6.989%, elapsed 24 s, estimated 343 s, iters = {MDP: 5074}
> Progress 7.695%, elapsed 27 s, estimated 351 s, iters = {MDP: 5586}
> Progress 8.716%, elapsed 30 s, estimated 344 s, iters = {MDP: 6327}
> Progress 9.442%, elapsed 33 s, estimated 349 s, iters = {MDP: 6854}
> Progress 10.125%, elapsed 36 s, estimated 355 s, iters = {MDP: 7350}
> Progress 11.086%, elapsed 39 s, estimated 352 s, iters = {MDP: 8047}
> Progress 11.819%, elapsed 42 s, estimated 355 s, iters = {MDP: 8579}
> Progress 12.513%, elapsed 45 s, estimated 359 s, iters = {MDP: 9083}
> Progress 13.213%, elapsed 48 s, estimated 363 s, iters = {MDP: 9591}
> Progress 14.233%, elapsed 51 s, estimated 358 s, iters = {MDP: 10331}
> Progress 14.929%, elapsed 54 s, estimated 361 s, iters = {MDP: 10836}
> Progress 15.613%, elapsed 57 s, estimated 365 s, iters = {MDP: 11333}
> Progress 16.431%, elapsed 60 s, estimated 365 s, iters = {MDP: 11926}
> Progress 17.341%, elapsed 63 s, estimated 363 s, iters = {MDP: 12587}
> Progress 18.145%, elapsed 66 s, estimated 364 s, iters = {MDP: 13170}
> Progress 18.931%, elapsed 69 s, estimated 364 s, iters = {MDP: 13741}
> Progress 19.965%, elapsed 72 s, estimated 360 s, iters = {MDP: 14491}
> Progress 20.636%, elapsed 75 s, estimated 363 s, iters = {MDP: 14978}
> Progress 21.297%, elapsed 78 s, estimated 366 s, iters = {MDP: 15458}
> Progress 22.307%, elapsed 81 s, estimated 363 s, iters = {MDP: 16191}
> Progress 22.989%, elapsed 84 s, estimated 365 s, iters = {MDP: 16686}
> Progress 23.593%, elapsed 87 s, estimated 369 s, iters = {MDP: 17124}
> Progress 24.218%, elapsed 90 s, estimated 371 s, iters = {MDP: 17578}
> Progress 25.198%, elapsed 93 s, estimated 369 s, iters = {MDP: 18289}
> Progress 25.898%, elapsed 96 s, estimated 370 s, iters = {MDP: 18797}
> Progress 26.603%, elapsed 99 s, estimated 372 s, iters = {MDP: 19309}
> Progress 27.251%, elapsed 102 s, estimated 374 s, iters = {MDP: 19779}
> Progress 28.255%, elapsed 105 s, estimated 371 s, iters = {MDP: 20508}
> Progress 28.924%, elapsed 108 s, estimated 373 s, iters = {MDP: 20993}
> Progress 29.506%, elapsed 111 s, estimated 376 s, iters = {MDP: 21416}
> Progress 30.144%, elapsed 114 s, estimated 378 s, iters = {MDP: 21879}
> Progress 31.099%, elapsed 117 s, estimated 376 s, iters = {MDP: 22572}
> Progress 31.769%, elapsed 120 s, estimated 378 s, iters = {MDP: 23058}
> Progress 32.367%, elapsed 123 s, estimated 380 s, iters = {MDP: 23492}
> Progress 33.231%, elapsed 126 s, estimated 379 s, iters = {MDP: 24119}
> Progress 34.082%, elapsed 129 s, estimated 378 s, iters = {MDP: 24737}
> Progress 34.848%, elapsed 132 s, estimated 379 s, iters = {MDP: 25293}
> Progress 35.561%, elapsed 135 s, estimated 379 s, iters = {MDP: 25810}
> Progress 36.598%, elapsed 138 s, estimated 377 s, iters = {MDP: 26563}
> Progress 37.249%, elapsed 141 s, estimated 378 s, iters = {MDP: 27035}
> Progress 37.834%, elapsed 144 s, estimated 380 s, iters = {MDP: 27460}
> Progress 38.425%, elapsed 147 s, estimated 382 s, iters = {MDP: 27889}
> Progress 39.376%, elapsed 150 s, estimated 381 s, iters = {MDP: 28579}
