2023-12-19 02:50:42,880 - cli.py - This is Paynt version 0.1.0.
2023-12-19 02:50:42,880 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/operator-roz/sketch.templ ...
2023-12-19 02:50:42,880 - sketch.py - assuming sketch in PRISM format...
2023-12-19 02:50:42,887 - prism_parser.py - PRISM model type: MDP
2023-12-19 02:50:42,887 - prism_parser.py - processing hole definitions...
2023-12-19 02:50:42,888 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/operator-roz/sketch.props ...
2023-12-19 02:50:42,888 - prism_parser.py - found the following specification: constraints: P>=9/10 [F ((w1 & w2) & w6)]; 
2023-12-19 02:50:42,888 - jani.py - constructing JANI program...
2023-12-19 02:50:42,928 - jani.py - constructing the quotient...
2023-12-19 02:50:44,150 - jani.py - associating choices of the quotient with hole assignments...
2023-12-19 02:50:44,492 - sketch.py - sketch parsing OK
2023-12-19 02:50:44,492 - sketch.py - constructed explicit quotient having 17927 states and 295017 actions
2023-12-19 02:50:44,492 - sketch.py - found the following specification constraints: P>=9/10 [F ((w1 & w2) & w6)]; 
2023-12-19 02:50:44,647 - mdp_family.py - associating choices with action labels...
2023-12-19 02:50:45,010 - synthesizer.py - evaluation initiated, design space: 14400
> Progress 3.993%, elapsed 3 s, estimated 75 s, iters = {MDP: 576}
> Progress 7.715%, elapsed 6 s, estimated 77 s, iters = {MDP: 1112}
> Progress 10.923%, elapsed 9 s, estimated 82 s, iters = {MDP: 1574}
> Progress 13.791%, elapsed 12 s, estimated 87 s, iters = {MDP: 1987}
> Progress 16.263%, elapsed 15 s, estimated 92 s, iters = {MDP: 2343}
> Progress 18.562%, elapsed 18 s, estimated 97 s, iters = {MDP: 2674}
> Progress 20.729%, elapsed 21 s, estimated 101 s, iters = {MDP: 2986}
> Progress 22.666%, elapsed 24 s, estimated 106 s, iters = {MDP: 3265}
> Progress 24.597%, elapsed 27 s, estimated 109 s, iters = {MDP: 3543}
> Progress 26.25%, elapsed 30 s, estimated 114 s, iters = {MDP: 3781}
> Progress 27.861%, elapsed 33 s, estimated 118 s, iters = {MDP: 4013}
> Progress 29.451%, elapsed 36 s, estimated 122 s, iters = {MDP: 4242}
> Progress 30.854%, elapsed 39 s, estimated 126 s, iters = {MDP: 4444}
> Progress 32.152%, elapsed 42 s, estimated 130 s, iters = {MDP: 4631}
> Progress 33.5%, elapsed 45 s, estimated 134 s, iters = {MDP: 4825}
> Progress 34.868%, elapsed 48 s, estimated 137 s, iters = {MDP: 5022}
> Progress 35.986%, elapsed 51 s, estimated 142 s, iters = {MDP: 5183}
> Progress 37.138%, elapsed 54 s, estimated 145 s, iters = {MDP: 5349}
> Progress 38.312%, elapsed 57 s, estimated 149 s, iters = {MDP: 5518}
> Progress 39.493%, elapsed 60 s, estimated 152 s, iters = {MDP: 5688}
> Progress 40.569%, elapsed 63 s, estimated 155 s, iters = {MDP: 5843}
> Progress 41.562%, elapsed 66 s, estimated 159 s, iters = {MDP: 5986}
> Progress 42.576%, elapsed 69 s, estimated 162 s, iters = {MDP: 6132}
> Progress 43.569%, elapsed 72 s, estimated 165 s, iters = {MDP: 6275}
> Progress 44.597%, elapsed 75 s, estimated 168 s, iters = {MDP: 6423}
> Progress 45.527%, elapsed 78 s, estimated 171 s, iters = {MDP: 6557}
> Progress 46.388%, elapsed 81 s, estimated 175 s, iters = {MDP: 6681}
> Progress 47.298%, elapsed 84 s, estimated 178 s, iters = {MDP: 6812}
> Progress 48.215%, elapsed 87 s, estimated 181 s, iters = {MDP: 6944}
> Progress 49.138%, elapsed 90 s, estimated 183 s, iters = {MDP: 7077}
> Progress 50.041%, elapsed 93 s, estimated 186 s, iters = {MDP: 7207}
> Progress 50.805%, elapsed 96 s, estimated 189 s, iters = {MDP: 7317}
> Progress 51.597%, elapsed 99 s, estimated 192 s, iters = {MDP: 7431}
> Progress 52.368%, elapsed 102 s, estimated 195 s, iters = {MDP: 7542}
> Progress 53.194%, elapsed 105 s, estimated 198 s, iters = {MDP: 7661}
> Progress 54.027%, elapsed 108 s, estimated 200 s, iters = {MDP: 7781}
> Progress 54.868%, elapsed 111 s, estimated 203 s, iters = {MDP: 7902}
> Progress 55.555%, elapsed 114 s, estimated 205 s, iters = {MDP: 8001}
> Progress 56.256%, elapsed 117 s, estimated 208 s, iters = {MDP: 8102}
> Progress 56.986%, elapsed 120 s, estimated 211 s, iters = {MDP: 8207}
> Progress 57.736%, elapsed 123 s, estimated 213 s, iters = {MDP: 8315}
> Progress 58.458%, elapsed 126 s, estimated 216 s, iters = {MDP: 8419}
> Progress 59.104%, elapsed 129 s, estimated 219 s, iters = {MDP: 8512}
> Progress 59.777%, elapsed 132 s, estimated 221 s, iters = {MDP: 8609}
> Progress 60.402%, elapsed 135 s, estimated 224 s, iters = {MDP: 8699}
> Progress 61.006%, elapsed 138 s, estimated 227 s, iters = {MDP: 8786}
> Progress 61.659%, elapsed 141 s, estimated 229 s, iters = {MDP: 8880}
> Progress 62.34%, elapsed 144 s, estimated 231 s, iters = {MDP: 8978}
> Progress 63.02%, elapsed 147 s, estimated 234 s, iters = {MDP: 9076}
> Progress 63.715%, elapsed 150 s, estimated 236 s, iters = {MDP: 9176}
> Progress 64.388%, elapsed 153 s, estimated 238 s, iters = {MDP: 9273}
> Progress 65.069%, elapsed 156 s, estimated 240 s, iters = {MDP: 9371}
> Progress 65.611%, elapsed 159 s, estimated 243 s, iters = {MDP: 9449}
> Progress 66.138%, elapsed 162 s, estimated 245 s, iters = {MDP: 9525}
> Progress 66.722%, elapsed 165 s, estimated 248 s, iters = {MDP: 9609}
> Progress 67.319%, elapsed 168 s, estimated 250 s, iters = {MDP: 9695}
> Progress 67.944%, elapsed 171 s, estimated 252 s, iters = {MDP: 9785}
> Progress 68.569%, elapsed 174 s, estimated 254 s, iters = {MDP: 9875}
> Progress 69.201%, elapsed 177 s, estimated 256 s, iters = {MDP: 9966}
> Progress 69.833%, elapsed 180 s, estimated 258 s, iters = {MDP: 10057}
> Progress 70.375%, elapsed 183 s, estimated 261 s, iters = {MDP: 10135}
> Progress 70.909%, elapsed 186 s, estimated 263 s, iters = {MDP: 10212}
> Progress 71.437%, elapsed 189 s, estimated 265 s, iters = {MDP: 10288}
> Progress 71.972%, elapsed 192 s, estimated 267 s, iters = {MDP: 10365}
> Progress 72.527%, elapsed 195 s, estimated 270 s, iters = {MDP: 10445}
> Progress 73.104%, elapsed 198 s, estimated 272 s, iters = {MDP: 10528}
> Progress 73.687%, elapsed 201 s, estimated 274 s, iters = {MDP: 10612}
> Progress 74.263%, elapsed 204 s, estimated 275 s, iters = {MDP: 10695}
> Progress 74.833%, elapsed 207 s, estimated 277 s, iters = {MDP: 10777}
> Progress 75.333%, elapsed 210 s, estimated 280 s, iters = {MDP: 10849}
> Progress 75.791%, elapsed 214 s, estimated 282 s, iters = {MDP: 10915}
> Progress 76.284%, elapsed 217 s, estimated 284 s, iters = {MDP: 10986}
> Progress 76.777%, elapsed 220 s, estimated 286 s, iters = {MDP: 11057}
> Progress 77.284%, elapsed 223 s, estimated 288 s, iters = {MDP: 11130}
> Progress 77.826%, elapsed 226 s, estimated 290 s, iters = {MDP: 11208}
> Progress 78.368%, elapsed 229 s, estimated 292 s, iters = {MDP: 11286}
> Progress 78.902%, elapsed 232 s, estimated 294 s, iters = {MDP: 11363}
> Progress 79.43%, elapsed 235 s, estimated 295 s, iters = {MDP: 11439}
> Progress 79.965%, elapsed 238 s, estimated 297 s, iters = {MDP: 11516}
> Progress 80.409%, elapsed 241 s, estimated 299 s, iters = {MDP: 11580}
> Progress 80.861%, elapsed 244 s, estimated 301 s, iters = {MDP: 11645}
> Progress 81.34%, elapsed 247 s, estimated 303 s, iters = {MDP: 11714}
> Progress 81.798%, elapsed 250 s, estimated 305 s, iters = {MDP: 11780}
> Progress 82.243%, elapsed 253 s, estimated 307 s, iters = {MDP: 11844}
> Progress 82.729%, elapsed 256 s, estimated 309 s, iters = {MDP: 11914}
> Progress 83.222%, elapsed 259 s, estimated 311 s, iters = {MDP: 11985}
> Progress 83.722%, elapsed 262 s, estimated 313 s, iters = {MDP: 12057}
> Progress 84.222%, elapsed 265 s, estimated 315 s, iters = {MDP: 12129}
> Progress 84.694%, elapsed 268 s, estimated 316 s, iters = {MDP: 12197}
> Progress 85.131%, elapsed 271 s, estimated 318 s, iters = {MDP: 12260}
> Progress 85.534%, elapsed 274 s, estimated 320 s, iters = {MDP: 12318}
> Progress 85.902%, elapsed 277 s, estimated 322 s, iters = {MDP: 12371}
> Progress 86.201%, elapsed 280 s, estimated 325 s, iters = {MDP: 12414}
> Progress 86.562%, elapsed 283 s, estimated 327 s, iters = {MDP: 12466}
> Progress 86.993%, elapsed 286 s, estimated 329 s, iters = {MDP: 12528}
> Progress 87.43%, elapsed 289 s, estimated 331 s, iters = {MDP: 12591}
> Progress 87.875%, elapsed 292 s, estimated 332 s, iters = {MDP: 12655}
> Progress 88.312%, elapsed 295 s, estimated 334 s, iters = {MDP: 12718}
> Progress 88.729%, elapsed 298 s, estimated 336 s, iters = {MDP: 12778}
> Progress 89.173%, elapsed 301 s, estimated 338 s, iters = {MDP: 12842}
> Progress 89.611%, elapsed 304 s, estimated 339 s, iters = {MDP: 12905}
> Progress 90.041%, elapsed 307 s, estimated 341 s, iters = {MDP: 12967}
> Progress 90.395%, elapsed 310 s, estimated 343 s, iters = {MDP: 13018}
> Progress 90.75%, elapsed 313 s, estimated 345 s, iters = {MDP: 13069}
> Progress 91.111%, elapsed 316 s, estimated 347 s, iters = {MDP: 13121}
> Progress 91.5%, elapsed 319 s, estimated 349 s, iters = {MDP: 13177}
> Progress 91.909%, elapsed 322 s, estimated 351 s, iters = {MDP: 13236}
> Progress 92.319%, elapsed 325 s, estimated 352 s, iters = {MDP: 13295}
> Progress 92.729%, elapsed 328 s, estimated 354 s, iters = {MDP: 13354}
> Progress 93.138%, elapsed 331 s, estimated 356 s, iters = {MDP: 13413}
> Progress 93.548%, elapsed 334 s, estimated 357 s, iters = {MDP: 13472}
> Progress 93.965%, elapsed 337 s, estimated 359 s, iters = {MDP: 13532}
> Progress 94.361%, elapsed 340 s, estimated 361 s, iters = {MDP: 13589}
> Progress 94.763%, elapsed 343 s, estimated 362 s, iters = {MDP: 13647}
> Progress 95.159%, elapsed 346 s, estimated 364 s, iters = {MDP: 13704}
> Progress 95.513%, elapsed 349 s, estimated 366 s, iters = {MDP: 13755}
> Progress 95.868%, elapsed 353 s, estimated 368 s, iters = {MDP: 13806}
> Progress 96.215%, elapsed 356 s, estimated 370 s, iters = {MDP: 13856}
> Progress 96.597%, elapsed 359 s, estimated 371 s, iters = {MDP: 13911}
> Progress 96.993%, elapsed 362 s, estimated 373 s, iters = {MDP: 13968}
> Progress 97.395%, elapsed 365 s, estimated 374 s, iters = {MDP: 14026}
> Progress 97.784%, elapsed 368 s, estimated 376 s, iters = {MDP: 14082}
> Progress 98.159%, elapsed 371 s, estimated 378 s, iters = {MDP: 14136}
> Progress 98.555%, elapsed 374 s, estimated 379 s, iters = {MDP: 14193}
> Progress 98.965%, elapsed 377 s, estimated 381 s, iters = {MDP: 14252}
> Progress 99.375%, elapsed 380 s, estimated 382 s, iters = {MDP: 14311}
> Progress 99.777%, elapsed 383 s, estimated 384 s, iters = {MDP: 14369}
unSAT MDPs: 5997	unSAT families: 5997	avg. unSAT family size: 1.0
SAT MDPs: 8403	SAT families: 8403	avg. SAT family size: 1.0
policies: 1	policy per SAT MDP: 0.0
