2024-01-16 21:00:17,719 - cli.py - This is Paynt version 0.1.0.
2024-01-16 21:00:17,719 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/obstacles-10-6-skip-easy/sketch.templ ...
2024-01-16 21:00:17,719 - sketch.py - assuming sketch in PRISM format...
2024-01-16 21:00:17,722 - prism_parser.py - PRISM model type: MDP
2024-01-16 21:00:17,722 - prism_parser.py - processing hole definitions...
2024-01-16 21:00:17,723 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/obstacles-10-6-skip-easy/sketch.props ...
2024-01-16 21:00:17,723 - prism_parser.py - found the following specification: constraints: P>9/10 [F ((x = 10) & (y = 10))]; 
2024-01-16 21:00:17,724 - jani.py - constructing JANI program...
2024-01-16 21:00:17,726 - jani.py - constructing the quotient...
2024-01-16 21:00:17,741 - jani.py - associating choices of the quotient with hole assignments...
2024-01-16 21:00:17,743 - sketch.py - sketch parsing OK
2024-01-16 21:00:17,744 - sketch.py - constructed explicit quotient having 783 states and 2856 actions
2024-01-16 21:00:17,744 - sketch.py - found the following specification constraints: P>9/10 [F ((x = 10) & (y = 10))]; 
2024-01-16 21:00:17,744 - mdp_family.py - associating choices with action labels...
2024-01-16 21:00:17,750 - synthesizer.py - evaluation initiated, design space: 2488320
> progress 0.064%, elapsed 3 s, estimated 4638 s, iters = {game: 894, MDP: 394}
> progress 0.273%, elapsed 6 s, estimated 2198 s, iters = {game: 1776, MDP: 783}
> progress 0.493%, elapsed 9 s, estimated 1824 s, iters = {game: 2623, MDP: 1156}
> progress 0.697%, elapsed 12 s, estimated 1722 s, iters = {game: 3488, MDP: 1540}
> progress 0.762%, elapsed 15 s, estimated 1969 s, iters = {game: 4352, MDP: 1919}
> progress 0.973%, elapsed 18 s, estimated 1850 s, iters = {game: 5205, MDP: 2290}
> progress 1.173%, elapsed 21 s, estimated 1790 s, iters = {game: 6081, MDP: 2676}
> progress 1.292%, elapsed 24 s, estimated 1858 s, iters = {game: 6911, MDP: 3041}
> progress 1.504%, elapsed 27 s, estimated 1795 s, iters = {game: 7745, MDP: 3410}
> progress 1.685%, elapsed 30 s, estimated 1780 s, iters = {game: 8567, MDP: 3766}
> progress 1.883%, elapsed 33 s, estimated 1753 s, iters = {game: 9409, MDP: 4136}
> progress 2.11%, elapsed 36 s, estimated 1706 s, iters = {game: 10282, MDP: 4520}
> progress 2.336%, elapsed 39 s, estimated 1670 s, iters = {game: 11138, MDP: 4895}
> progress 2.547%, elapsed 42 s, estimated 1649 s, iters = {game: 12006, MDP: 5275}
> progress 2.779%, elapsed 45 s, estimated 1619 s, iters = {game: 12894, MDP: 5665}
> progress 3.024%, elapsed 48 s, estimated 1587 s, iters = {game: 13718, MDP: 6025}
> progress 3.255%, elapsed 51 s, estimated 1567 s, iters = {game: 14555, MDP: 6394}
> progress 3.509%, elapsed 54 s, estimated 1539 s, iters = {game: 15435, MDP: 6780}
> progress 3.743%, elapsed 57 s, estimated 1523 s, iters = {game: 16310, MDP: 7161}
> progress 3.951%, elapsed 60 s, estimated 1519 s, iters = {game: 17188, MDP: 7543}
> progress 4.167%, elapsed 63 s, estimated 1512 s, iters = {game: 18083, MDP: 7939}
> progress 4.414%, elapsed 66 s, estimated 1495 s, iters = {game: 18921, MDP: 8308}
> progress 4.694%, elapsed 69 s, estimated 1470 s, iters = {game: 19741, MDP: 8667}
> progress 4.965%, elapsed 72 s, estimated 1450 s, iters = {game: 20544, MDP: 9020}
> progress 5.185%, elapsed 75 s, estimated 1447 s, iters = {game: 21384, MDP: 9385}
> progress 5.369%, elapsed 78 s, estimated 1453 s, iters = {game: 22256, MDP: 9769}
> progress 5.787%, elapsed 81 s, estimated 1400 s, iters = {game: 23037, MDP: 10114}
> progress 5.889%, elapsed 84 s, estimated 1427 s, iters = {game: 23856, MDP: 10469}
> progress 6.077%, elapsed 87 s, estimated 1432 s, iters = {game: 24685, MDP: 10830}
> progress 6.328%, elapsed 90 s, estimated 1422 s, iters = {game: 25502, MDP: 11185}
> progress 6.409%, elapsed 93 s, estimated 1451 s, iters = {game: 26386, MDP: 11574}
> progress 6.519%, elapsed 96 s, estimated 1473 s, iters = {game: 27148, MDP: 11908}
> progress 6.675%, elapsed 99 s, estimated 1483 s, iters = {game: 27946, MDP: 12253}
> progress 6.767%, elapsed 102 s, estimated 1508 s, iters = {game: 28887, MDP: 12667}
> progress 7.125%, elapsed 105 s, estimated 1474 s, iters = {game: 29752, MDP: 13049}
> progress 7.219%, elapsed 108 s, estimated 1496 s, iters = {game: 30687, MDP: 13462}
> progress 7.31%, elapsed 111 s, estimated 1519 s, iters = {game: 31634, MDP: 13881}
> progress 7.379%, elapsed 114 s, estimated 1545 s, iters = {game: 32585, MDP: 14305}
> progress 7.524%, elapsed 117 s, estimated 1555 s, iters = {game: 33489, MDP: 14705}
