2024-01-17 19:36:16,441 - cli.py - This is Paynt version 0.1.0.
2024-01-17 19:36:16,441 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/dpm-switch-big-q10/sketch.templ ...
2024-01-17 19:36:16,441 - sketch.py - assuming sketch in PRISM format...
2024-01-17 19:36:16,444 - prism_parser.py - PRISM model type: MDP
2024-01-17 19:36:16,444 - prism_parser.py - processing hole definitions...
2024-01-17 19:36:16,444 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/dpm-switch-big-q10/sketch.props ...
2024-01-17 19:36:16,445 - prism_parser.py - found the following specification: constraints: P>=9/10 [F ((bat = 0) & (lost = 0))]; 
2024-01-17 19:36:16,445 - jani.py - constructing JANI program...
2024-01-17 19:36:16,449 - jani.py - constructing the quotient...
2024-01-17 19:36:16,871 - jani.py - associating choices of the quotient with hole assignments...
2024-01-17 19:36:17,020 - sketch.py - sketch parsing OK
2024-01-17 19:36:17,021 - sketch.py - constructed explicit quotient having 8767 states and 117194 actions
2024-01-17 19:36:17,021 - sketch.py - found the following specification constraints: P>=9/10 [F ((bat = 0) & (lost = 0))]; 
2024-01-17 19:36:17,108 - mdp_family.py - associating choices with action labels...
2024-01-17 19:36:17,183 - synthesizer.py - evaluation initiated, design space: 131220
> progress 0.493%, elapsed 3 s, estimated 630 s, iters = {game: 10, MDP: 7}
> progress 2.139%, elapsed 6 s, estimated 286 s, iters = {game: 33, MDP: 24}
> progress 3.621%, elapsed 9 s, estimated 253 s, iters = {game: 54, MDP: 39}
> progress 4.938%, elapsed 12 s, estimated 247 s, iters = {game: 73, MDP: 52}
> progress 6.419%, elapsed 15 s, estimated 236 s, iters = {game: 95, MDP: 69}
> progress 7.901%, elapsed 18 s, estimated 231 s, iters = {game: 116, MDP: 83}
> progress 9.382%, elapsed 21 s, estimated 227 s, iters = {game: 138, MDP: 99}
> progress 11.111%, elapsed 24 s, estimated 220 s, iters = {game: 161, MDP: 116}
> progress 12.51%, elapsed 27 s, estimated 220 s, iters = {game: 182, MDP: 131}
> progress 14.074%, elapsed 30 s, estimated 217 s, iters = {game: 204, MDP: 146}
> progress 15.555%, elapsed 33 s, estimated 216 s, iters = {game: 225, MDP: 162}
> progress 17.037%, elapsed 36 s, estimated 215 s, iters = {game: 247, MDP: 178}
> progress 18.683%, elapsed 39 s, estimated 213 s, iters = {game: 269, MDP: 193}
> progress 20.0%, elapsed 42 s, estimated 214 s, iters = {game: 288, MDP: 207}
> progress 20.862%, elapsed 46 s, estimated 220 s, iters = {game: 304, MDP: 220}
> progress 21.097%, elapsed 49 s, estimated 232 s, iters = {game: 322, MDP: 234}
> progress 21.426%, elapsed 52 s, estimated 243 s, iters = {game: 340, MDP: 248}
