2024-01-17 21:08:30,344 - cli.py - This is Paynt version 0.1.0.
2024-01-17 21:08:30,344 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-100-big/sketch.templ ...
2024-01-17 21:08:30,344 - sketch.py - assuming sketch in PRISM format...
2024-01-17 21:08:30,351 - prism_parser.py - PRISM model type: MDP
2024-01-17 21:08:30,351 - prism_parser.py - processing hole definitions...
2024-01-17 21:08:30,352 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-100-big/sketch.props ...
2024-01-17 21:08:30,352 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-17 21:08:30,352 - jani.py - constructing JANI program...
2024-01-17 21:08:30,355 - jani.py - constructing the quotient...
2024-01-17 21:08:30,431 - jani.py - associating choices of the quotient with hole assignments...
2024-01-17 21:08:30,474 - sketch.py - sketch parsing OK
2024-01-17 21:08:30,474 - sketch.py - constructed explicit quotient having 1703 states and 50203 actions
2024-01-17 21:08:30,474 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-17 21:08:30,481 - mdp_family.py - associating choices with action labels...
2024-01-17 21:08:30,511 - synthesizer.py - evaluation initiated, design space: 24300000
> progress 2.101%, elapsed 3 s, estimated 142 s, iters = {game: 932, MDP: 672}
> progress 2.39%, elapsed 6 s, estimated 251 s, iters = {game: 1816, MDP: 1320}
> progress 4.17%, elapsed 9 s, estimated 215 s, iters = {game: 2734, MDP: 2038}
> progress 4.425%, elapsed 12 s, estimated 271 s, iters = {game: 3608, MDP: 2650}
> progress 4.678%, elapsed 15 s, estimated 320 s, iters = {game: 4547, MDP: 3349}
> progress 4.981%, elapsed 18 s, estimated 361 s, iters = {game: 5407, MDP: 4038}
> progress 5.331%, elapsed 21 s, estimated 394 s, iters = {game: 6313, MDP: 4773}
> progress 7.569%, elapsed 24 s, estimated 317 s, iters = {game: 7178, MDP: 5420}
> progress 7.992%, elapsed 27 s, estimated 337 s, iters = {game: 8020, MDP: 5980}
> progress 10.346%, elapsed 30 s, estimated 290 s, iters = {game: 8876, MDP: 6575}
> progress 10.866%, elapsed 33 s, estimated 303 s, iters = {game: 9862, MDP: 7242}
> progress 13.217%, elapsed 36 s, estimated 272 s, iters = {game: 10785, MDP: 7867}
> progress 13.772%, elapsed 39 s, estimated 283 s, iters = {game: 11746, MDP: 8531}
> progress 16.085%, elapsed 42 s, estimated 261 s, iters = {game: 12686, MDP: 9154}
> progress 17.592%, elapsed 45 s, estimated 255 s, iters = {game: 13618, MDP: 9812}
> progress 18.119%, elapsed 48 s, estimated 265 s, iters = {game: 14319, MDP: 10664}
> progress 18.503%, elapsed 51 s, estimated 275 s, iters = {game: 15210, MDP: 11251}
> progress 18.602%, elapsed 54 s, estimated 290 s, iters = {game: 15972, MDP: 12164}
> progress 19.007%, elapsed 57 s, estimated 300 s, iters = {game: 16802, MDP: 12917}
> progress 19.203%, elapsed 60 s, estimated 312 s, iters = {game: 17638, MDP: 13791}
> progress 20.388%, elapsed 63 s, estimated 309 s, iters = {game: 18472, MDP: 14597}
> progress 20.573%, elapsed 66 s, estimated 320 s, iters = {game: 19258, MDP: 15355}
> progress 20.856%, elapsed 69 s, estimated 330 s, iters = {game: 20097, MDP: 16063}
> progress 21.149%, elapsed 72 s, estimated 340 s, iters = {game: 20896, MDP: 16863}
