2024-01-17 19:48:19,474 - cli.py - This is Paynt version 0.1.0.
2024-01-17 19:48:19,474 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-1000/sketch.templ ...
2024-01-17 19:48:19,474 - sketch.py - assuming sketch in PRISM format...
2024-01-17 19:48:19,476 - prism_parser.py - PRISM model type: MDP
2024-01-17 19:48:19,476 - prism_parser.py - processing hole definitions...
2024-01-17 19:48:19,477 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-1000/sketch.props ...
2024-01-17 19:48:19,477 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-17 19:48:19,477 - jani.py - constructing JANI program...
2024-01-17 19:48:19,479 - jani.py - constructing the quotient...
2024-01-17 19:48:20,153 - jani.py - associating choices of the quotient with hole assignments...
2024-01-17 19:48:20,603 - sketch.py - sketch parsing OK
2024-01-17 19:48:20,603 - sketch.py - constructed explicit quotient having 17003 states and 518003 actions
2024-01-17 19:48:20,603 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-17 19:48:20,821 - mdp_family.py - associating choices with action labels...
2024-01-17 19:48:21,180 - synthesizer.py - evaluation initiated, design space: 3779136
> progress 17.53%, elapsed 3 s, estimated 17 s, iters = {game: 28, MDP: 17}
> progress 17.534%, elapsed 6 s, estimated 34 s, iters = {game: 79, MDP: 64}
> progress 17.538%, elapsed 9 s, estimated 51 s, iters = {game: 119, MDP: 100}
> progress 17.555%, elapsed 12 s, estimated 68 s, iters = {game: 189, MDP: 146}
> progress 17.56%, elapsed 15 s, estimated 86 s, iters = {game: 243, MDP: 196}
> progress 17.564%, elapsed 18 s, estimated 103 s, iters = {game: 283, MDP: 233}
> progress 17.575%, elapsed 21 s, estimated 120 s, iters = {game: 379, MDP: 317}
> progress 17.579%, elapsed 24 s, estimated 138 s, iters = {game: 412, MDP: 345}
> progress 17.583%, elapsed 27 s, estimated 155 s, iters = {game: 451, MDP: 381}
> progress 17.586%, elapsed 30 s, estimated 172 s, iters = {game: 488, MDP: 415}
> progress 17.592%, elapsed 33 s, estimated 189 s, iters = {game: 536, MDP: 454}
> progress 18.458%, elapsed 36 s, estimated 197 s, iters = {game: 596, MDP: 549}
> progress 18.46%, elapsed 39 s, estimated 213 s, iters = {game: 628, MDP: 610}
> progress 18.464%, elapsed 42 s, estimated 229 s, iters = {game: 668, MDP: 684}
> progress 18.469%, elapsed 45 s, estimated 246 s, iters = {game: 719, MDP: 751}
> progress 18.477%, elapsed 48 s, estimated 262 s, iters = {game: 772, MDP: 788}
> progress 18.485%, elapsed 51 s, estimated 278 s, iters = {game: 848, MDP: 914}
> progress 18.487%, elapsed 54 s, estimated 295 s, iters = {game: 880, MDP: 978}
> progress 18.49%, elapsed 57 s, estimated 311 s, iters = {game: 915, MDP: 1045}
> progress 18.496%, elapsed 60 s, estimated 327 s, iters = {game: 990, MDP: 1165}
> progress 18.502%, elapsed 63 s, estimated 343 s, iters = {game: 1062, MDP: 1303}
> progress 18.504%, elapsed 66 s, estimated 360 s, iters = {game: 1091, MDP: 1358}
> progress 18.505%, elapsed 69 s, estimated 376 s, iters = {game: 1118, MDP: 1412}
> progress 18.509%, elapsed 72 s, estimated 392 s, iters = {game: 1166, MDP: 1503}
> progress 18.511%, elapsed 75 s, estimated 408 s, iters = {game: 1197, MDP: 1560}
> progress 18.513%, elapsed 78 s, estimated 425 s, iters = {game: 1223, MDP: 1612}
> progress 19.304%, elapsed 81 s, estimated 423 s, iters = {game: 1292, MDP: 1675}
> progress 19.309%, elapsed 84 s, estimated 438 s, iters = {game: 1352, MDP: 1733}
> progress 19.312%, elapsed 87 s, estimated 454 s, iters = {game: 1396, MDP: 1775}
