2024-01-18 00:59:06,270 - cli.py - This is Paynt version 0.1.0.
2024-01-18 00:59:06,270 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-100-big/sketch.templ ...
2024-01-18 00:59:06,270 - sketch.py - assuming sketch in PRISM format...
2024-01-18 00:59:06,275 - prism_parser.py - PRISM model type: MDP
2024-01-18 00:59:06,276 - prism_parser.py - processing hole definitions...
2024-01-18 00:59:06,276 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-100-big/sketch.props ...
2024-01-18 00:59:06,277 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-18 00:59:06,277 - jani.py - constructing JANI program...
2024-01-18 00:59:06,280 - jani.py - constructing the quotient...
2024-01-18 00:59:06,364 - jani.py - associating choices of the quotient with hole assignments...
2024-01-18 00:59:06,407 - sketch.py - sketch parsing OK
2024-01-18 00:59:06,408 - sketch.py - constructed explicit quotient having 1703 states and 50203 actions
2024-01-18 00:59:06,408 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-18 00:59:06,415 - mdp_family.py - associating choices with action labels...
2024-01-18 00:59:06,447 - synthesizer.py - evaluation initiated, design space: 24300000
> progress 1.945%, elapsed 3 s, estimated 154 s, iters = {MDP: 1201}
> progress 2.088%, elapsed 6 s, estimated 288 s, iters = {MDP: 2379}
> progress 2.25%, elapsed 9 s, estimated 400 s, iters = {MDP: 3593}
> progress 2.378%, elapsed 12 s, estimated 505 s, iters = {MDP: 4791}
> progress 2.543%, elapsed 15 s, estimated 590 s, iters = {MDP: 6092}
> progress 2.731%, elapsed 18 s, estimated 659 s, iters = {MDP: 7266}
> progress 4.258%, elapsed 21 s, estimated 493 s, iters = {MDP: 8382}
> progress 4.403%, elapsed 24 s, estimated 545 s, iters = {MDP: 9597}
> progress 4.495%, elapsed 27 s, estimated 601 s, iters = {MDP: 10736}
> progress 4.613%, elapsed 30 s, estimated 650 s, iters = {MDP: 11705}
> progress 4.703%, elapsed 33 s, estimated 702 s, iters = {MDP: 12758}
> progress 4.863%, elapsed 36 s, estimated 741 s, iters = {MDP: 13997}
> progress 5.038%, elapsed 39 s, estimated 774 s, iters = {MDP: 15072}
> progress 5.157%, elapsed 42 s, estimated 815 s, iters = {MDP: 16131}
> progress 5.317%, elapsed 45 s, estimated 847 s, iters = {MDP: 17312}
> progress 5.493%, elapsed 48 s, estimated 874 s, iters = {MDP: 18411}
> progress 7.5%, elapsed 51 s, estimated 680 s, iters = {MDP: 19358}
> progress 7.666%, elapsed 54 s, estimated 705 s, iters = {MDP: 20339}
> progress 7.844%, elapsed 57 s, estimated 727 s, iters = {MDP: 21388}
> progress 8.094%, elapsed 60 s, estimated 742 s, iters = {MDP: 22428}
> progress 9.259%, elapsed 63 s, estimated 681 s, iters = {MDP: 23364}
> progress 10.344%, elapsed 66 s, estimated 639 s, iters = {MDP: 24317}
> progress 10.516%, elapsed 69 s, estimated 657 s, iters = {MDP: 25326}
> progress 10.699%, elapsed 72 s, estimated 674 s, iters = {MDP: 26303}
> progress 10.956%, elapsed 75 s, estimated 686 s, iters = {MDP: 27310}
> progress 13.009%, elapsed 78 s, estimated 601 s, iters = {MDP: 28210}
> progress 13.179%, elapsed 81 s, estimated 616 s, iters = {MDP: 29215}
> progress 13.316%, elapsed 84 s, estimated 632 s, iters = {MDP: 30014}
> progress 13.512%, elapsed 87 s, estimated 645 s, iters = {MDP: 31001}
> progress 13.754%, elapsed 90 s, estimated 655 s, iters = {MDP: 31954}
> progress 15.796%, elapsed 93 s, estimated 590 s, iters = {MDP: 32827}
> progress 15.958%, elapsed 96 s, estimated 603 s, iters = {MDP: 33784}
> progress 16.095%, elapsed 99 s, estimated 616 s, iters = {MDP: 34593}
> progress 16.275%, elapsed 102 s, estimated 628 s, iters = {MDP: 35506}
> progress 16.52%, elapsed 105 s, estimated 637 s, iters = {MDP: 36470}
> progress 18.057%, elapsed 108 s, estimated 599 s, iters = {MDP: 37301}
> progress 18.088%, elapsed 111 s, estimated 615 s, iters = {MDP: 38334}
> progress 18.119%, elapsed 114 s, estimated 630 s, iters = {MDP: 39118}
> progress 18.206%, elapsed 117 s, estimated 644 s, iters = {MDP: 39921}
> progress 18.34%, elapsed 120 s, estimated 656 s, iters = {MDP: 40711}
> progress 18.479%, elapsed 123 s, estimated 667 s, iters = {MDP: 41529}
> progress 18.535%, elapsed 126 s, estimated 681 s, iters = {MDP: 42370}
> progress 18.566%, elapsed 129 s, estimated 696 s, iters = {MDP: 43411}
> progress 18.611%, elapsed 132 s, estimated 711 s, iters = {MDP: 44139}
> progress 18.811%, elapsed 135 s, estimated 719 s, iters = {MDP: 44941}
> progress 18.982%, elapsed 138 s, estimated 729 s, iters = {MDP: 45742}
> progress 18.998%, elapsed 141 s, estimated 744 s, iters = {MDP: 46568}
> progress 19.028%, elapsed 144 s, estimated 759 s, iters = {MDP: 47643}
> progress 19.044%, elapsed 147 s, estimated 774 s, iters = {MDP: 48351}
> progress 19.104%, elapsed 150 s, estimated 787 s, iters = {MDP: 49201}
> progress 19.21%, elapsed 153 s, estimated 799 s, iters = {MDP: 50110}
> progress 19.313%, elapsed 156 s, estimated 810 s, iters = {MDP: 50999}
> progress 19.413%, elapsed 159 s, estimated 822 s, iters = {MDP: 51855}
> progress 20.387%, elapsed 162 s, estimated 797 s, iters = {MDP: 52703}
> progress 20.418%, elapsed 165 s, estimated 811 s, iters = {MDP: 53792}
> progress 20.441%, elapsed 168 s, estimated 825 s, iters = {MDP: 54443}
> progress 20.585%, elapsed 171 s, estimated 833 s, iters = {MDP: 55374}
> progress 20.716%, elapsed 174 s, estimated 843 s, iters = {MDP: 56148}
> progress 20.835%, elapsed 177 s, estimated 852 s, iters = {MDP: 57030}
> progress 20.866%, elapsed 180 s, estimated 866 s, iters = {MDP: 58092}
> progress 20.896%, elapsed 183 s, estimated 879 s, iters = {MDP: 58847}
> progress 21.033%, elapsed 186 s, estimated 887 s, iters = {MDP: 59652}
> progress 21.25%, elapsed 189 s, estimated 893 s, iters = {MDP: 60486}
> progress 21.309%, elapsed 192 s, estimated 904 s, iters = {MDP: 61286}
> progress 21.33%, elapsed 195 s, estimated 917 s, iters = {MDP: 62444}
> progress 21.358%, elapsed 198 s, estimated 930 s, iters = {MDP: 63213}
> progress 21.37%, elapsed 201 s, estimated 944 s, iters = {MDP: 63755}
> progress 21.463%, elapsed 204 s, estimated 954 s, iters = {MDP: 64662}
> progress 21.574%, elapsed 207 s, estimated 963 s, iters = {MDP: 65605}
> progress 21.67%, elapsed 210 s, estimated 972 s, iters = {MDP: 66444}
> progress 21.759%, elapsed 213 s, estimated 982 s, iters = {MDP: 67292}
> progress 21.806%, elapsed 216 s, estimated 994 s, iters = {MDP: 68183}
> progress 26.391%, elapsed 219 s, estimated 833 s, iters = {MDP: 68815}
> progress 26.417%, elapsed 223 s, estimated 844 s, iters = {MDP: 69671}
> progress 26.452%, elapsed 226 s, estimated 854 s, iters = {MDP: 70654}
> progress 26.499%, elapsed 229 s, estimated 864 s, iters = {MDP: 71382}
> progress 26.635%, elapsed 232 s, estimated 871 s, iters = {MDP: 72173}
> progress 26.766%, elapsed 235 s, estimated 878 s, iters = {MDP: 72953}
> progress 27.319%, elapsed 238 s, estimated 871 s, iters = {MDP: 73745}
> progress 27.337%, elapsed 241 s, estimated 881 s, iters = {MDP: 74594}
> progress 27.371%, elapsed 244 s, estimated 891 s, iters = {MDP: 75547}
> progress 27.408%, elapsed 247 s, estimated 901 s, iters = {MDP: 76236}
> progress 27.457%, elapsed 250 s, estimated 911 s, iters = {MDP: 77034}
> progress 27.515%, elapsed 253 s, estimated 920 s, iters = {MDP: 77769}
> progress 27.6%, elapsed 256 s, estimated 928 s, iters = {MDP: 78552}
> progress 27.687%, elapsed 259 s, estimated 936 s, iters = {MDP: 79326}
> progress 27.779%, elapsed 262 s, estimated 944 s, iters = {MDP: 80101}
> progress 27.81%, elapsed 265 s, estimated 954 s, iters = {MDP: 81057}
> progress 27.841%, elapsed 268 s, estimated 963 s, iters = {MDP: 81930}
> progress 27.897%, elapsed 271 s, estimated 972 s, iters = {MDP: 82626}
> progress 28.026%, elapsed 274 s, estimated 978 s, iters = {MDP: 83386}
> progress 28.155%, elapsed 277 s, estimated 985 s, iters = {MDP: 84151}
> progress 28.242%, elapsed 280 s, estimated 992 s, iters = {MDP: 84942}
> progress 28.281%, elapsed 283 s, estimated 1002 s, iters = {MDP: 85962}
> progress 28.304%, elapsed 286 s, estimated 1012 s, iters = {MDP: 86680}
> progress 28.448%, elapsed 289 s, estimated 1017 s, iters = {MDP: 87479}
> progress 28.639%, elapsed 292 s, estimated 1021 s, iters = {MDP: 88231}
> progress 28.715%, elapsed 295 s, estimated 1029 s, iters = {MDP: 89012}
> progress 28.751%, elapsed 298 s, estimated 1038 s, iters = {MDP: 89999}
> progress 28.767%, elapsed 301 s, estimated 1048 s, iters = {MDP: 90683}
> progress 28.893%, elapsed 304 s, estimated 1054 s, iters = {MDP: 91458}
> progress 29.043%, elapsed 307 s, estimated 1059 s, iters = {MDP: 92226}
> progress 29.168%, elapsed 310 s, estimated 1064 s, iters = {MDP: 92995}
> progress 29.199%, elapsed 313 s, estimated 1074 s, iters = {MDP: 93958}
> progress 29.23%, elapsed 316 s, estimated 1083 s, iters = {MDP: 94684}
> progress 29.344%, elapsed 319 s, estimated 1089 s, iters = {MDP: 95429}
> progress 29.52%, elapsed 322 s, estimated 1093 s, iters = {MDP: 96118}
> progress 29.631%, elapsed 325 s, estimated 1099 s, iters = {MDP: 96932}
> progress 29.646%, elapsed 328 s, estimated 1109 s, iters = {MDP: 97785}
> progress 29.662%, elapsed 331 s, estimated 1118 s, iters = {MDP: 98883}
> progress 29.677%, elapsed 334 s, estimated 1128 s, iters = {MDP: 99772}
> progress 29.692%, elapsed 337 s, estimated 1138 s, iters = {MDP: 100381}
> progress 29.722%, elapsed 340 s, estimated 1147 s, iters = {MDP: 101130}
