2024-01-09 23:48:22,002 - cli.py - This is Paynt version 0.1.0.
2024-01-09 23:48:22,002 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-100-big/sketch.templ ...
2024-01-09 23:48:22,002 - sketch.py - assuming sketch in PRISM format...
2024-01-09 23:48:22,004 - prism_parser.py - PRISM model type: MDP
2024-01-09 23:48:22,004 - prism_parser.py - processing hole definitions...
2024-01-09 23:48:22,005 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-100-big/sketch.props ...
2024-01-09 23:48:22,005 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-09 23:48:22,005 - jani.py - constructing JANI program...
2024-01-09 23:48:22,009 - jani.py - constructing the quotient...
2024-01-09 23:48:22,087 - jani.py - associating choices of the quotient with hole assignments...
2024-01-09 23:48:22,131 - sketch.py - sketch parsing OK
2024-01-09 23:48:22,131 - sketch.py - constructed explicit quotient having 1703 states and 50203 actions
2024-01-09 23:48:22,132 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-09 23:48:22,138 - mdp_family.py - associating choices with action labels...
2024-01-09 23:48:22,189 - synthesizer.py - evaluation initiated, design space: 24300000
> Progress 0.167%, elapsed 3 s, estimated 1795 s, iters = {game: 560, MDP: 713}
> Progress 0.259%, elapsed 6 s, estimated 2312 s, iters = {game: 1217, MDP: 1669}
> Progress 0.321%, elapsed 9 s, estimated 2802 s, iters = {game: 1942, MDP: 2742}
> Progress 0.383%, elapsed 12 s, estimated 3134 s, iters = {game: 2494, MDP: 3577}
> Progress 0.428%, elapsed 15 s, estimated 3501 s, iters = {game: 3263, MDP: 4750}
> Progress 0.444%, elapsed 18 s, estimated 4051 s, iters = {game: 3709, MDP: 5439}
> Progress 0.477%, elapsed 21 s, estimated 4397 s, iters = {game: 4528, MDP: 6680}
> Progress 0.552%, elapsed 24 s, estimated 4349 s, iters = {game: 5145, MDP: 7572}
> Progress 1.018%, elapsed 27 s, estimated 2652 s, iters = {game: 5926, MDP: 8221}
> Progress 1.717%, elapsed 30 s, estimated 1747 s, iters = {game: 6706, MDP: 8779}
> Progress 2.273%, elapsed 33 s, estimated 1452 s, iters = {game: 7431, MDP: 9325}
> Progress 2.872%, elapsed 36 s, estimated 1254 s, iters = {game: 8229, MDP: 9958}
> Progress 3.127%, elapsed 39 s, estimated 1247 s, iters = {game: 8952, MDP: 10680}
> Progress 3.665%, elapsed 42 s, estimated 1146 s, iters = {game: 9684, MDP: 11217}
> Progress 4.179%, elapsed 45 s, estimated 1077 s, iters = {game: 10375, MDP: 11709}
> Progress 4.876%, elapsed 48 s, estimated 984 s, iters = {game: 11187, MDP: 12305}
> Progress 5.555%, elapsed 51 s, estimated 918 s, iters = {game: 12036, MDP: 12920}
> Progress 6.1%, elapsed 54 s, estimated 885 s, iters = {game: 12889, MDP: 13595}
> Progress 6.479%, elapsed 57 s, estimated 880 s, iters = {game: 13567, MDP: 14136}
> Progress 7.044%, elapsed 60 s, estimated 852 s, iters = {game: 14307, MDP: 14673}
> Progress 7.515%, elapsed 63 s, estimated 838 s, iters = {game: 15041, MDP: 15210}
> Progress 8.261%, elapsed 66 s, estimated 799 s, iters = {game: 15795, MDP: 15755}
> Progress 8.888%, elapsed 69 s, estimated 776 s, iters = {game: 16620, MDP: 16353}
> Progress 9.434%, elapsed 72 s, estimated 763 s, iters = {game: 17470, MDP: 17024}
> Progress 9.814%, elapsed 75 s, estimated 764 s, iters = {game: 18151, MDP: 17568}
> Progress 10.37%, elapsed 78 s, estimated 752 s, iters = {game: 18885, MDP: 18100}
> Progress 10.848%, elapsed 81 s, estimated 747 s, iters = {game: 19609, MDP: 18629}
> Progress 11.648%, elapsed 84 s, estimated 721 s, iters = {game: 20427, MDP: 19219}
> Progress 12.265%, elapsed 87 s, estimated 709 s, iters = {game: 21247, MDP: 19819}
> Progress 12.824%, elapsed 90 s, estimated 702 s, iters = {game: 22091, MDP: 20486}
> Progress 13.189%, elapsed 93 s, estimated 705 s, iters = {game: 22742, MDP: 21004}
> Progress 13.687%, elapsed 96 s, estimated 701 s, iters = {game: 23453, MDP: 21521}
> Progress 14.181%, elapsed 99 s, estimated 698 s, iters = {game: 24187, MDP: 22055}
> Progress 14.981%, elapsed 102 s, estimated 681 s, iters = {game: 25002, MDP: 22644}
> Progress 15.598%, elapsed 105 s, estimated 673 s, iters = {game: 25813, MDP: 23235}
> Progress 16.141%, elapsed 108 s, estimated 669 s, iters = {game: 26663, MDP: 23908}
> Progress 16.541%, elapsed 111 s, estimated 671 s, iters = {game: 27359, MDP: 24461}
> Progress 16.724%, elapsed 114 s, estimated 681 s, iters = {game: 28127, MDP: 25455}
> Progress 16.771%, elapsed 117 s, estimated 697 s, iters = {game: 28724, MDP: 26346}
> Progress 16.817%, elapsed 120 s, estimated 713 s, iters = {game: 29542, MDP: 27527}
> Progress 16.879%, elapsed 123 s, estimated 729 s, iters = {game: 30255, MDP: 28598}
> Progress 16.922%, elapsed 126 s, estimated 744 s, iters = {game: 30854, MDP: 29514}
> Progress 16.94%, elapsed 129 s, estimated 761 s, iters = {game: 31461, MDP: 30467}
> Progress 16.986%, elapsed 132 s, estimated 777 s, iters = {game: 32189, MDP: 31561}
