2024-01-09 22:49:03,795 - cli.py - This is Paynt version 0.1.0.
2024-01-09 22:49:03,795 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-1000/sketch.templ ...
2024-01-09 22:49:03,795 - sketch.py - assuming sketch in PRISM format...
2024-01-09 22:49:03,798 - prism_parser.py - PRISM model type: MDP
2024-01-09 22:49:03,798 - prism_parser.py - processing hole definitions...
2024-01-09 22:49:03,798 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-1000/sketch.props ...
2024-01-09 22:49:03,799 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-09 22:49:03,799 - jani.py - constructing JANI program...
2024-01-09 22:49:03,802 - jani.py - constructing the quotient...
2024-01-09 22:49:04,527 - jani.py - associating choices of the quotient with hole assignments...
2024-01-09 22:49:05,067 - sketch.py - sketch parsing OK
2024-01-09 22:49:05,067 - sketch.py - constructed explicit quotient having 17003 states and 518003 actions
2024-01-09 22:49:05,068 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-09 22:49:05,255 - mdp_family.py - associating choices with action labels...
2024-01-09 22:49:05,651 - synthesizer.py - evaluation initiated, design space: 3779136
> Progress 19.533%, elapsed 3 s, estimated 15 s, iters = {game: 22, MDP: 14}
> Progress 19.559%, elapsed 6 s, estimated 30 s, iters = {game: 79, MDP: 63}
> Progress 19.583%, elapsed 9 s, estimated 46 s, iters = {game: 119, MDP: 98}
> Progress 19.598%, elapsed 12 s, estimated 61 s, iters = {game: 168, MDP: 141}
> Progress 19.636%, elapsed 15 s, estimated 76 s, iters = {game: 230, MDP: 191}
> Progress 19.65%, elapsed 18 s, estimated 91 s, iters = {game: 269, MDP: 226}
> Progress 19.675%, elapsed 21 s, estimated 107 s, iters = {game: 307, MDP: 255}
> Progress 19.701%, elapsed 24 s, estimated 122 s, iters = {game: 376, MDP: 316}
> Progress 19.726%, elapsed 27 s, estimated 137 s, iters = {game: 410, MDP: 343}
> Progress 19.739%, elapsed 30 s, estimated 153 s, iters = {game: 447, MDP: 375}
> Progress 19.778%, elapsed 33 s, estimated 168 s, iters = {game: 520, MDP: 436}
> Progress 19.791%, elapsed 36 s, estimated 183 s, iters = {game: 556, MDP: 468}
> Progress 19.817%, elapsed 39 s, estimated 198 s, iters = {game: 598, MDP: 502}
> Progress 19.84%, elapsed 42 s, estimated 213 s, iters = {game: 649, MDP: 545}
> Progress 19.853%, elapsed 45 s, estimated 229 s, iters = {game: 704, MDP: 594}
> Progress 19.866%, elapsed 48 s, estimated 244 s, iters = {game: 750, MDP: 634}
