2024-01-09 22:39:53,774 - cli.py - This is Paynt version 0.1.0.
2024-01-09 22:39:53,774 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/uav-operator-roz-workload/sketch.templ ...
2024-01-09 22:39:53,774 - sketch.py - assuming sketch in PRISM format...
2024-01-09 22:39:53,782 - prism_parser.py - PRISM model type: MDP
2024-01-09 22:39:53,782 - prism_parser.py - processing hole definitions...
2024-01-09 22:39:53,782 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/uav-operator-roz-workload/sketch.props ...
2024-01-09 22:39:53,784 - prism_parser.py - found the following specification: constraints: P>=7/10 [F ((w1 & w2) & w6)]; 
2024-01-09 22:39:53,784 - jani.py - constructing JANI program...
2024-01-09 22:39:53,818 - jani.py - constructing the quotient...
2024-01-09 22:39:54,440 - jani.py - associating choices of the quotient with hole assignments...
2024-01-09 22:39:54,588 - sketch.py - sketch parsing OK
2024-01-09 22:39:54,589 - sketch.py - constructed explicit quotient having 9007 states and 139969 actions
2024-01-09 22:39:54,589 - sketch.py - found the following specification constraints: P>=7/10 [F ((w1 & w2) & w6)]; 
2024-01-09 22:39:54,669 - mdp_family.py - associating choices with action labels...
2024-01-09 22:39:54,842 - synthesizer.py - evaluation initiated, design space: 1620000
> Progress 6.635%, elapsed 3 s, estimated 45 s, iters = {game: 19, MDP: 8}
> Progress 6.659%, elapsed 6 s, estimated 90 s, iters = {game: 36, MDP: 24}
> Progress 16.419%, elapsed 9 s, estimated 55 s, iters = {game: 59, MDP: 39}
> Progress 16.629%, elapsed 12 s, estimated 72 s, iters = {game: 86, MDP: 66}
> Progress 16.652%, elapsed 15 s, estimated 91 s, iters = {game: 113, MDP: 93}
> Progress 16.659%, elapsed 18 s, estimated 109 s, iters = {game: 138, MDP: 114}
> Progress 16.663%, elapsed 21 s, estimated 128 s, iters = {game: 163, MDP: 141}
> Progress 17.77%, elapsed 24 s, estimated 137 s, iters = {game: 191, MDP: 163}
> Progress 21.103%, elapsed 27 s, estimated 130 s, iters = {game: 226, MDP: 190}
> Progress 22.215%, elapsed 30 s, estimated 137 s, iters = {game: 271, MDP: 232}
> Progress 23.326%, elapsed 33 s, estimated 143 s, iters = {game: 315, MDP: 271}
> Progress 24.438%, elapsed 36 s, estimated 149 s, iters = {game: 357, MDP: 310}
> Progress 26.419%, elapsed 39 s, estimated 149 s, iters = {game: 405, MDP: 339}
> Progress 26.567%, elapsed 42 s, estimated 160 s, iters = {game: 460, MDP: 393}
> Progress 26.597%, elapsed 45 s, estimated 171 s, iters = {game: 507, MDP: 439}
> Progress 26.62%, elapsed 48 s, estimated 182 s, iters = {game: 555, MDP: 481}
> Progress 26.628%, elapsed 51 s, estimated 194 s, iters = {game: 601, MDP: 525}
> Progress 26.635%, elapsed 54 s, estimated 205 s, iters = {game: 646, MDP: 573}
> Progress 26.645%, elapsed 57 s, estimated 216 s, iters = {game: 693, MDP: 617}
> Progress 26.652%, elapsed 60 s, estimated 227 s, iters = {game: 738, MDP: 665}
> Progress 26.658%, elapsed 63 s, estimated 239 s, iters = {game: 785, MDP: 711}
> Progress 26.661%, elapsed 66 s, estimated 250 s, iters = {game: 826, MDP: 767}
> Progress 27.739%, elapsed 69 s, estimated 251 s, iters = {game: 873, MDP: 812}
> Progress 27.77%, elapsed 72 s, estimated 262 s, iters = {game: 919, MDP: 841}
> Progress 27.772%, elapsed 75 s, estimated 273 s, iters = {game: 961, MDP: 887}
> Progress 28.888%, elapsed 78 s, estimated 273 s, iters = {game: 1005, MDP: 925}
> Progress 31.049%, elapsed 82 s, estimated 264 s, iters = {game: 1054, MDP: 965}
> Progress 31.103%, elapsed 85 s, estimated 273 s, iters = {game: 1114, MDP: 1026}
> Progress 32.206%, elapsed 88 s, estimated 273 s, iters = {game: 1178, MDP: 1077}
> Progress 33.271%, elapsed 91 s, estimated 273 s, iters = {game: 1237, MDP: 1126}
> Progress 33.325%, elapsed 94 s, estimated 282 s, iters = {game: 1297, MDP: 1187}
> Progress 34.429%, elapsed 97 s, estimated 281 s, iters = {game: 1358, MDP: 1235}
