2023-12-19 14:11:47,095 - cli.py - This is Paynt version 0.1.0.
2023-12-19 14:11:47,095 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rocks/6-4/sketch.templ ...
2023-12-19 14:11:47,095 - sketch.py - assuming sketch in PRISM format...
2023-12-19 14:11:47,102 - prism_parser.py - PRISM model type: MDP
2023-12-19 14:11:47,102 - prism_parser.py - processing hole definitions...
2023-12-19 14:11:47,102 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rocks/6-4/sketch.props ...
2023-12-19 14:11:47,103 - prism_parser.py - found the following specification: constraints: P>=1 [F (((visit1 & visit2) & visit3) & visit4)]; 
2023-12-19 14:11:47,103 - jani.py - constructing JANI program...
2023-12-19 14:11:47,105 - jani.py - constructing the quotient...
2023-12-19 14:11:47,124 - jani.py - associating choices of the quotient with hole assignments...
2023-12-19 14:11:47,128 - sketch.py - sketch parsing OK
2023-12-19 14:11:47,128 - sketch.py - constructed explicit quotient having 2736 states and 6660 actions
2023-12-19 14:11:47,128 - sketch.py - found the following specification constraints: P>=1 [F (((visit1 & visit2) & visit3) & visit4)]; 
2023-12-19 14:11:47,130 - mdp_family.py - associating choices with action labels...
2023-12-19 14:11:47,146 - synthesizer.py - evaluation initiated, design space: 6561
2023-12-19 14:11:47,148 - smt.py - using Python Z3 for SMT solving.
> Progress 2.225%, elapsed 3 s, estimated 135 s, iters = {MDP: 147}
> Progress 4.435%, elapsed 6 s, estimated 135 s, iters = {MDP: 292}
> Progress 6.538%, elapsed 9 s, estimated 137 s, iters = {MDP: 430}
> Progress 8.672%, elapsed 12 s, estimated 138 s, iters = {MDP: 570}
> Progress 10.714%, elapsed 15 s, estimated 140 s, iters = {MDP: 704}
> Progress 12.711%, elapsed 18 s, estimated 142 s, iters = {MDP: 835}
> Progress 14.692%, elapsed 21 s, estimated 143 s, iters = {MDP: 965}
> Progress 16.552%, elapsed 24 s, estimated 145 s, iters = {MDP: 1087}
> Progress 18.411%, elapsed 27 s, estimated 147 s, iters = {MDP: 1209}
> Progress 20.347%, elapsed 30 s, estimated 148 s, iters = {MDP: 1336}
> Progress 22.313%, elapsed 33 s, estimated 148 s, iters = {MDP: 1465}
> Progress 24.173%, elapsed 36 s, estimated 149 s, iters = {MDP: 1587}
> Progress 26.032%, elapsed 39 s, estimated 150 s, iters = {MDP: 1709}
> Progress 27.968%, elapsed 42 s, estimated 150 s, iters = {MDP: 1836}
> Progress 29.797%, elapsed 45 s, estimated 151 s, iters = {MDP: 1956}
> Progress 31.732%, elapsed 48 s, estimated 152 s, iters = {MDP: 2083}
> Progress 33.653%, elapsed 51 s, estimated 152 s, iters = {MDP: 2209}
> Progress 35.604%, elapsed 54 s, estimated 152 s, iters = {MDP: 2337}
> Progress 37.6%, elapsed 57 s, estimated 152 s, iters = {MDP: 2468}
> Progress 39.521%, elapsed 60 s, estimated 152 s, iters = {MDP: 2594}
> Progress 41.304%, elapsed 63 s, estimated 153 s, iters = {MDP: 2711}
> Progress 42.996%, elapsed 66 s, estimated 154 s, iters = {MDP: 2822}
> Progress 44.612%, elapsed 69 s, estimated 155 s, iters = {MDP: 2928}
> Progress 46.288%, elapsed 72 s, estimated 156 s, iters = {MDP: 3038}
> Progress 47.934%, elapsed 75 s, estimated 157 s, iters = {MDP: 3146}
> Progress 49.535%, elapsed 78 s, estimated 158 s, iters = {MDP: 3251}
> Progress 51.242%, elapsed 81 s, estimated 158 s, iters = {MDP: 3363}
> Progress 52.842%, elapsed 84 s, estimated 159 s, iters = {MDP: 3468}
> Progress 54.564%, elapsed 87 s, estimated 160 s, iters = {MDP: 3581}
> Progress 56.226%, elapsed 90 s, estimated 160 s, iters = {MDP: 3690}
> Progress 57.918%, elapsed 93 s, estimated 161 s, iters = {MDP: 3801}
> Progress 59.609%, elapsed 96 s, estimated 161 s, iters = {MDP: 3912}
> Progress 61.271%, elapsed 99 s, estimated 162 s, iters = {MDP: 4021}
> Progress 62.993%, elapsed 102 s, estimated 162 s, iters = {MDP: 4134}
> Progress 64.7%, elapsed 105 s, estimated 163 s, iters = {MDP: 4246}
> Progress 66.285%, elapsed 108 s, estimated 163 s, iters = {MDP: 4350}
> Progress 67.87%, elapsed 111 s, estimated 164 s, iters = {MDP: 4454}
> Progress 69.623%, elapsed 114 s, estimated 164 s, iters = {MDP: 4569}
> Progress 71.162%, elapsed 117 s, estimated 165 s, iters = {MDP: 4670}
> Progress 72.656%, elapsed 120 s, estimated 166 s, iters = {MDP: 4768}
> Progress 74.18%, elapsed 123 s, estimated 166 s, iters = {MDP: 4868}
> Progress 75.704%, elapsed 126 s, estimated 167 s, iters = {MDP: 4968}
> Progress 77.244%, elapsed 129 s, estimated 167 s, iters = {MDP: 5069}
> Progress 78.798%, elapsed 132 s, estimated 168 s, iters = {MDP: 5171}
> Progress 80.429%, elapsed 135 s, estimated 168 s, iters = {MDP: 5278}
> Progress 82.106%, elapsed 138 s, estimated 168 s, iters = {MDP: 5388}
> Progress 83.721%, elapsed 141 s, estimated 169 s, iters = {MDP: 5494}
> Progress 85.139%, elapsed 144 s, estimated 169 s, iters = {MDP: 5587}
> Progress 86.572%, elapsed 147 s, estimated 170 s, iters = {MDP: 5681}
> Progress 88.02%, elapsed 150 s, estimated 171 s, iters = {MDP: 5776}
> Progress 89.483%, elapsed 153 s, estimated 171 s, iters = {MDP: 5872}
> Progress 90.839%, elapsed 156 s, estimated 172 s, iters = {MDP: 5961}
> Progress 92.196%, elapsed 159 s, estimated 173 s, iters = {MDP: 6050}
> Progress 93.613%, elapsed 162 s, estimated 173 s, iters = {MDP: 6143}
> Progress 94.97%, elapsed 165 s, estimated 174 s, iters = {MDP: 6232}
> Progress 96.326%, elapsed 168 s, estimated 175 s, iters = {MDP: 6321}
> Progress 97.652%, elapsed 171 s, estimated 176 s, iters = {MDP: 6408}
> Progress 99.055%, elapsed 174 s, estimated 176 s, iters = {MDP: 6500}
unSAT MDPs: 0	unSAT families: 0	avg. unSAT family size: N/A
SAT MDPs: 6561	SAT families: 6561	avg. SAT family size: 1.0
policies: 6561	policy per SAT MDP: 1.0
iterations: 6561
time: 176.98s
