2023-12-19 14:21:03,729 - cli.py - This is Paynt version 0.1.0.
2023-12-19 14:21:03,730 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rover/rover/sketch.templ ...
2023-12-19 14:21:03,730 - sketch.py - assuming sketch in PRISM format...
2023-12-19 14:21:03,732 - prism_parser.py - PRISM model type: MDP
2023-12-19 14:21:03,732 - prism_parser.py - processing hole definitions...
2023-12-19 14:21:03,732 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rover/rover/sketch.props ...
2023-12-19 14:21:03,733 - prism_parser.py - found the following specification: constraints: P>=3/4 [F "goal"]; 
2023-12-19 14:21:03,733 - jani.py - constructing JANI program...
2023-12-19 14:21:03,734 - jani.py - constructing the quotient...
2023-12-19 14:21:04,389 - jani.py - associating choices of the quotient with hole assignments...
2023-12-19 14:21:04,836 - sketch.py - sketch parsing OK
2023-12-19 14:21:04,837 - sketch.py - constructed explicit quotient having 17003 states and 486003 actions
2023-12-19 14:21:04,837 - sketch.py - found the following specification constraints: P>=3/4 [F "goal"]; 
2023-12-19 14:21:05,067 - mdp_family.py - associating choices with action labels...
2023-12-19 14:21:05,426 - synthesizer.py - evaluation initiated, design space: 38880
2023-12-19 14:21:05,529 - smt.py - using Python Z3 for SMT solving.
> Progress 0.635%, elapsed 3 s, estimated 475 s, iters = {MDP: 69}
> Progress 0.838%, elapsed 6 s, estimated 718 s, iters = {MDP: 148}
> Progress 1.17%, elapsed 9 s, estimated 771 s, iters = {MDP: 277}
> Progress 1.453%, elapsed 12 s, estimated 828 s, iters = {MDP: 387}
> Progress 1.779%, elapsed 15 s, estimated 846 s, iters = {MDP: 514}
> Progress 2.114%, elapsed 18 s, estimated 854 s, iters = {MDP: 644}
> Progress 2.415%, elapsed 21 s, estimated 872 s, iters = {MDP: 761}
> Progress 2.723%, elapsed 24 s, estimated 884 s, iters = {MDP: 881}
> Progress 5.326%, elapsed 27 s, estimated 514 s, iters = {MDP: 969}
> Progress 9.035%, elapsed 30 s, estimated 337 s, iters = {MDP: 979}
> Progress 12.358%, elapsed 33 s, estimated 273 s, iters = {MDP: 989}
> Progress 15.676%, elapsed 36 s, estimated 235 s, iters = {MDP: 997}
> Progress 19.393%, elapsed 40 s, estimated 206 s, iters = {MDP: 1010}
> Progress 23.096%, elapsed 43 s, estimated 186 s, iters = {MDP: 1018}
> Progress 27.263%, elapsed 46 s, estimated 170 s, iters = {MDP: 1027}
> Progress 30.967%, elapsed 49 s, estimated 160 s, iters = {MDP: 1035}
> Progress 34.67%, elapsed 52 s, estimated 152 s, iters = {MDP: 1043}
> Progress 38.837%, elapsed 56 s, estimated 144 s, iters = {MDP: 1052}
> Progress 43.004%, elapsed 59 s, estimated 138 s, iters = {MDP: 1061}
> Progress 46.278%, elapsed 62 s, estimated 134 s, iters = {MDP: 1081}
> Progress 49.987%, elapsed 65 s, estimated 131 s, iters = {MDP: 1091}
> Progress 53.693%, elapsed 68 s, estimated 127 s, iters = {MDP: 1100}
> Progress 56.592%, elapsed 71 s, estimated 126 s, iters = {MDP: 1124}
> Progress 60.308%, elapsed 74 s, estimated 124 s, iters = {MDP: 1137}
> Progress 63.577%, elapsed 77 s, estimated 122 s, iters = {MDP: 1155}
> Progress 66.826%, elapsed 80 s, estimated 121 s, iters = {MDP: 1165}
> Progress 68.487%, elapsed 84 s, estimated 122 s, iters = {MDP: 1216}
> Progress 70.493%, elapsed 87 s, estimated 123 s, iters = {MDP: 1251}
> Progress 70.763%, elapsed 90 s, estimated 127 s, iters = {MDP: 1356}
> Progress 71.468%, elapsed 93 s, estimated 130 s, iters = {MDP: 1451}
> Progress 71.725%, elapsed 96 s, estimated 134 s, iters = {MDP: 1551}
> Progress 71.983%, elapsed 99 s, estimated 137 s, iters = {MDP: 1651}
> Progress 72.265%, elapsed 102 s, estimated 141 s, iters = {MDP: 1761}
> Progress 72.523%, elapsed 105 s, estimated 145 s, iters = {MDP: 1861}
> Progress 72.744%, elapsed 108 s, estimated 148 s, iters = {MDP: 1947}
> Progress 73.014%, elapsed 111 s, estimated 152 s, iters = {MDP: 2052}
> Progress 73.248%, elapsed 114 s, estimated 156 s, iters = {MDP: 2143}
> Progress 73.531%, elapsed 117 s, estimated 159 s, iters = {MDP: 2253}
> Progress 74.254%, elapsed 120 s, estimated 162 s, iters = {MDP: 2355}
> Progress 75.367%, elapsed 123 s, estimated 163 s, iters = {MDP: 2430}
> Progress 76.911%, elapsed 126 s, estimated 164 s, iters = {MDP: 2493}
> Progress 78.451%, elapsed 129 s, estimated 165 s, iters = {MDP: 2555}
> Progress 79.12%, elapsed 132 s, estimated 167 s, iters = {MDP: 2636}
> Progress 79.39%, elapsed 135 s, estimated 170 s, iters = {MDP: 2741}
> Progress 79.691%, elapsed 138 s, estimated 173 s, iters = {MDP: 2858}
> Progress 79.92%, elapsed 141 s, estimated 177 s, iters = {MDP: 2947}
> Progress 80.205%, elapsed 144 s, estimated 180 s, iters = {MDP: 3058}
> Progress 80.439%, elapsed 147 s, estimated 183 s, iters = {MDP: 3149}
> Progress 80.658%, elapsed 150 s, estimated 186 s, iters = {MDP: 3234}
> Progress 80.913%, elapsed 153 s, estimated 189 s, iters = {MDP: 3333}
> Progress 81.224%, elapsed 156 s, estimated 192 s, iters = {MDP: 3454}
> Progress 81.496%, elapsed 159 s, estimated 195 s, iters = {MDP: 3560}
> Progress 81.766%, elapsed 162 s, estimated 198 s, iters = {MDP: 3665}
> Progress 82.016%, elapsed 165 s, estimated 201 s, iters = {MDP: 3762}
> Progress 82.26%, elapsed 168 s, estimated 204 s, iters = {MDP: 3857}
> Progress 82.525%, elapsed 171 s, estimated 207 s, iters = {MDP: 3960}
> Progress 82.937%, elapsed 174 s, estimated 210 s, iters = {MDP: 4120}
> Progress 83.179%, elapsed 177 s, estimated 213 s, iters = {MDP: 4214}
> Progress 83.443%, elapsed 180 s, estimated 216 s, iters = {MDP: 4317}
> Progress 83.719%, elapsed 183 s, estimated 219 s, iters = {MDP: 4424}
> Progress 84.128%, elapsed 186 s, estimated 221 s, iters = {MDP: 4583}
> Progress 84.416%, elapsed 189 s, estimated 224 s, iters = {MDP: 4695}
> Progress 84.637%, elapsed 192 s, estimated 227 s, iters = {MDP: 4781}
> Progress 84.876%, elapsed 195 s, estimated 230 s, iters = {MDP: 4874}
> Progress 85.077%, elapsed 198 s, estimated 233 s, iters = {MDP: 4952}
> Progress 85.316%, elapsed 201 s, estimated 236 s, iters = {MDP: 5045}
> Progress 85.573%, elapsed 204 s, estimated 239 s, iters = {MDP: 5145}
> Progress 85.81%, elapsed 207 s, estimated 242 s, iters = {MDP: 5237}
> Progress 86.041%, elapsed 210 s, estimated 245 s, iters = {MDP: 5327}
> Progress 86.319%, elapsed 213 s, estimated 247 s, iters = {MDP: 5435}
> Progress 86.589%, elapsed 216 s, estimated 250 s, iters = {MDP: 5540}
> Progress 86.893%, elapsed 219 s, estimated 253 s, iters = {MDP: 5658}
> Progress 87.168%, elapsed 222 s, estimated 255 s, iters = {MDP: 5765}
> Progress 87.412%, elapsed 225 s, estimated 258 s, iters = {MDP: 5860}
> Progress 87.69%, elapsed 228 s, estimated 261 s, iters = {MDP: 5968}
> Progress 87.952%, elapsed 231 s, estimated 263 s, iters = {MDP: 6070}
> Progress 88.207%, elapsed 234 s, estimated 266 s, iters = {MDP: 6169}
> Progress 88.454%, elapsed 237 s, estimated 268 s, iters = {MDP: 6265}
> Progress 88.711%, elapsed 240 s, estimated 271 s, iters = {MDP: 6365}
> Progress 88.95%, elapsed 243 s, estimated 274 s, iters = {MDP: 6458}
> Progress 89.22%, elapsed 246 s, estimated 276 s, iters = {MDP: 6563}
> Progress 89.511%, elapsed 249 s, estimated 279 s, iters = {MDP: 6676}
> Progress 89.778%, elapsed 253 s, estimated 281 s, iters = {MDP: 6780}
> Progress 90.066%, elapsed 256 s, estimated 284 s, iters = {MDP: 6892}
> Progress 90.339%, elapsed 259 s, estimated 286 s, iters = {MDP: 6998}
> Progress 90.537%, elapsed 262 s, estimated 289 s, iters = {MDP: 7075}
> Progress 90.781%, elapsed 265 s, estimated 291 s, iters = {MDP: 7170}
> Progress 91.026%, elapsed 268 s, estimated 294 s, iters = {MDP: 7265}
> Progress 91.27%, elapsed 271 s, estimated 297 s, iters = {MDP: 7360}
> Progress 91.509%, elapsed 274 s, estimated 299 s, iters = {MDP: 7453}
> Progress 91.764%, elapsed 277 s, estimated 301 s, iters = {MDP: 7552}
> Progress 92.037%, elapsed 280 s, estimated 304 s, iters = {MDP: 7658}
> Progress 92.286%, elapsed 283 s, estimated 306 s, iters = {MDP: 7755}
> Progress 92.536%, elapsed 286 s, estimated 309 s, iters = {MDP: 7852}
> Progress 92.775%, elapsed 289 s, estimated 311 s, iters = {MDP: 7945}
> Progress 93.047%, elapsed 292 s, estimated 314 s, iters = {MDP: 8051}
> Progress 93.305%, elapsed 295 s, estimated 316 s, iters = {MDP: 8151}
> Progress 93.567%, elapsed 298 s, estimated 318 s, iters = {MDP: 8253}
> Progress 93.819%, elapsed 301 s, estimated 321 s, iters = {MDP: 8351}
> Progress 94.076%, elapsed 304 s, estimated 323 s, iters = {MDP: 8451}
> Progress 94.333%, elapsed 307 s, estimated 325 s, iters = {MDP: 8551}
> Progress 94.603%, elapsed 310 s, estimated 327 s, iters = {MDP: 8656}
> Progress 94.866%, elapsed 313 s, estimated 330 s, iters = {MDP: 8758}
> Progress 95.115%, elapsed 316 s, estimated 332 s, iters = {MDP: 8855}
> Progress 95.372%, elapsed 319 s, estimated 334 s, iters = {MDP: 8955}
> Progress 95.614%, elapsed 322 s, estimated 337 s, iters = {MDP: 9049}
> Progress 95.877%, elapsed 325 s, estimated 339 s, iters = {MDP: 9151}
> Progress 96.139%, elapsed 328 s, estimated 341 s, iters = {MDP: 9253}
> Progress 96.381%, elapsed 331 s, estimated 343 s, iters = {MDP: 9347}
> Progress 96.63%, elapsed 334 s, estimated 346 s, iters = {MDP: 9444}
> Progress 96.877%, elapsed 337 s, estimated 348 s, iters = {MDP: 9540}
> Progress 97.145%, elapsed 340 s, estimated 350 s, iters = {MDP: 9644}
> Progress 97.422%, elapsed 343 s, estimated 352 s, iters = {MDP: 9752}
> Progress 97.649%, elapsed 346 s, estimated 354 s, iters = {MDP: 9840}
> Progress 97.89%, elapsed 349 s, estimated 356 s, iters = {MDP: 9934}
> Progress 98.181%, elapsed 352 s, estimated 358 s, iters = {MDP: 10047}
> Progress 98.456%, elapsed 355 s, estimated 361 s, iters = {MDP: 10154}
> Progress 98.716%, elapsed 358 s, estimated 363 s, iters = {MDP: 10255}
> Progress 98.96%, elapsed 361 s, estimated 365 s, iters = {MDP: 10350}
> Progress 99.2%, elapsed 364 s, estimated 367 s, iters = {MDP: 10443}
> Progress 99.447%, elapsed 367 s, estimated 369 s, iters = {MDP: 10539}
> Progress 99.701%, elapsed 370 s, estimated 371 s, iters = {MDP: 10638}
> Progress 99.956%, elapsed 373 s, estimated 373 s, iters = {MDP: 10737}
> Progress 100.2%, elapsed 376 s, estimated 375 s, iters = {MDP: 10832}
> Progress 100.442%, elapsed 379 s, estimated 377 s, iters = {MDP: 10926}
unSAT MDPs: 10803	unSAT families: 10803	avg. unSAT family size: 1.0
SAT MDPs: 28290	SAT families: 163	avg. SAT family size: 173.56
policies: 163	policy per SAT MDP: 0.01
iterations: 10966
time: 380.75s
