2023-12-19 13:41:39,450 - cli.py - This is Paynt version 0.1.0.
2023-12-19 13:41:39,450 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/operator-roz/sketch.templ ...
2023-12-19 13:41:39,450 - sketch.py - assuming sketch in PRISM format...
2023-12-19 13:41:39,458 - prism_parser.py - PRISM model type: MDP
2023-12-19 13:41:39,458 - prism_parser.py - processing hole definitions...
2023-12-19 13:41:39,459 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/operator-roz/sketch.props ...
2023-12-19 13:41:39,460 - prism_parser.py - found the following specification: constraints: P>=9/10 [F ((w1 & w2) & w6)]; 
2023-12-19 13:41:39,460 - jani.py - constructing JANI program...
2023-12-19 13:41:39,499 - jani.py - constructing the quotient...
2023-12-19 13:41:40,640 - jani.py - associating choices of the quotient with hole assignments...
2023-12-19 13:41:40,971 - sketch.py - sketch parsing OK
2023-12-19 13:41:40,972 - sketch.py - constructed explicit quotient having 17927 states and 295017 actions
2023-12-19 13:41:40,972 - sketch.py - found the following specification constraints: P>=9/10 [F ((w1 & w2) & w6)]; 
2023-12-19 13:41:41,126 - mdp_family.py - associating choices with action labels...
2023-12-19 13:41:41,502 - synthesizer.py - evaluation initiated, design space: 14400
2023-12-19 13:41:41,610 - smt.py - using Python Z3 for SMT solving.
> Progress 0.263%, elapsed 3 s, estimated 1193 s, iters = {MDP: 39}
> Progress 0.354%, elapsed 6 s, estimated 1809 s, iters = {MDP: 52}
> Progress 0.784%, elapsed 9 s, estimated 1233 s, iters = {MDP: 114}
> Progress 0.902%, elapsed 12 s, estimated 1405 s, iters = {MDP: 131}
> Progress 1.159%, elapsed 15 s, estimated 1360 s, iters = {MDP: 168}
> Progress 2.083%, elapsed 18 s, estimated 907 s, iters = {MDP: 301}
> Progress 2.27%, elapsed 22 s, estimated 971 s, iters = {MDP: 328}
> Progress 2.381%, elapsed 25 s, estimated 1059 s, iters = {MDP: 344}
> Progress 2.59%, elapsed 28 s, estimated 1103 s, iters = {MDP: 374}
> Progress 2.708%, elapsed 31 s, estimated 1174 s, iters = {MDP: 391}
> Progress 2.937%, elapsed 34 s, estimated 1184 s, iters = {MDP: 424}
> Progress 3.062%, elapsed 38 s, estimated 1242 s, iters = {MDP: 442}
> Progress 3.145%, elapsed 41 s, estimated 1308 s, iters = {MDP: 454}
> Progress 3.305%, elapsed 44 s, estimated 1343 s, iters = {MDP: 477}
> Progress 3.486%, elapsed 47 s, estimated 1368 s, iters = {MDP: 503}
> Progress 3.624%, elapsed 51 s, estimated 1407 s, iters = {MDP: 523}
> Progress 3.729%, elapsed 54 s, estimated 1448 s, iters = {MDP: 538}
> Progress 3.812%, elapsed 57 s, estimated 1495 s, iters = {MDP: 550}
> Progress 3.979%, elapsed 60 s, estimated 1515 s, iters = {MDP: 574}
> Progress 4.111%, elapsed 63 s, estimated 1547 s, iters = {MDP: 593}
> Progress 4.215%, elapsed 66 s, estimated 1589 s, iters = {MDP: 608}
> Progress 4.576%, elapsed 70 s, estimated 1529 s, iters = {MDP: 660}
> Progress 4.673%, elapsed 73 s, estimated 1569 s, iters = {MDP: 674}
> Progress 4.756%, elapsed 76 s, estimated 1609 s, iters = {MDP: 686}
> Progress 4.826%, elapsed 79 s, estimated 1656 s, iters = {MDP: 696}
> Progress 4.937%, elapsed 83 s, estimated 1686 s, iters = {MDP: 712}
> Progress 4.993%, elapsed 86 s, estimated 1731 s, iters = {MDP: 720}
> Progress 5.798%, elapsed 89 s, estimated 1547 s, iters = {MDP: 836}
> Progress 5.875%, elapsed 92 s, estimated 1578 s, iters = {MDP: 847}
> Progress 5.951%, elapsed 95 s, estimated 1610 s, iters = {MDP: 858}
> Progress 6.02%, elapsed 99 s, estimated 1644 s, iters = {MDP: 868}
> Progress 6.083%, elapsed 102 s, estimated 1680 s, iters = {MDP: 877}
> Progress 6.152%, elapsed 105 s, estimated 1712 s, iters = {MDP: 887}
> Progress 6.229%, elapsed 108 s, estimated 1740 s, iters = {MDP: 898}
> Progress 6.291%, elapsed 111 s, estimated 1771 s, iters = {MDP: 907}
> Progress 6.368%, elapsed 114 s, estimated 1799 s, iters = {MDP: 918}
> Progress 6.444%, elapsed 117 s, estimated 1825 s, iters = {MDP: 929}
> Progress 6.631%, elapsed 120 s, estimated 1821 s, iters = {MDP: 956}
> Progress 6.701%, elapsed 123 s, estimated 1847 s, iters = {MDP: 966}
> Progress 6.937%, elapsed 127 s, estimated 1832 s, iters = {MDP: 1000}
> Progress 7.034%, elapsed 130 s, estimated 1852 s, iters = {MDP: 1014}
> Progress 7.138%, elapsed 133 s, estimated 1871 s, iters = {MDP: 1029}
> Progress 7.215%, elapsed 136 s, estimated 1894 s, iters = {MDP: 1040}
> Progress 7.333%, elapsed 139 s, estimated 1908 s, iters = {MDP: 1057}
> Progress 7.43%, elapsed 143 s, estimated 1925 s, iters = {MDP: 1071}
> Progress 7.52%, elapsed 146 s, estimated 1942 s, iters = {MDP: 1084}
> Progress 7.625%, elapsed 149 s, estimated 1958 s, iters = {MDP: 1099}
> Progress 7.784%, elapsed 152 s, estimated 1957 s, iters = {MDP: 1122}
> Progress 7.847%, elapsed 155 s, estimated 1982 s, iters = {MDP: 1131}
> Progress 7.93%, elapsed 158 s, estimated 2001 s, iters = {MDP: 1143}
> Progress 8.097%, elapsed 161 s, estimated 2000 s, iters = {MDP: 1167}
> Progress 8.208%, elapsed 164 s, estimated 2009 s, iters = {MDP: 1183}
> Progress 8.298%, elapsed 168 s, estimated 2026 s, iters = {MDP: 1196}
> Progress 8.388%, elapsed 171 s, estimated 2040 s, iters = {MDP: 1209}
> Progress 8.548%, elapsed 174 s, estimated 2037 s, iters = {MDP: 1232}
> Progress 8.756%, elapsed 177 s, estimated 2025 s, iters = {MDP: 1262}
> Progress 8.861%, elapsed 180 s, estimated 2038 s, iters = {MDP: 1277}
> Progress 8.958%, elapsed 183 s, estimated 2052 s, iters = {MDP: 1291}
> Progress 9.027%, elapsed 187 s, estimated 2074 s, iters = {MDP: 1301}
> Progress 9.118%, elapsed 190 s, estimated 2088 s, iters = {MDP: 1314}
> Progress 9.194%, elapsed 193 s, estimated 2105 s, iters = {MDP: 1325}
> Progress 9.326%, elapsed 196 s, estimated 2109 s, iters = {MDP: 1344}
> Progress 9.493%, elapsed 200 s, estimated 2106 s, iters = {MDP: 1368}
> Progress 9.583%, elapsed 203 s, estimated 2120 s, iters = {MDP: 1381}
> Progress 9.659%, elapsed 206 s, estimated 2135 s, iters = {MDP: 1392}
> Progress 9.763%, elapsed 209 s, estimated 2146 s, iters = {MDP: 1407}
> Progress 9.826%, elapsed 212 s, estimated 2165 s, iters = {MDP: 1416}
> Progress 9.888%, elapsed 216 s, estimated 2184 s, iters = {MDP: 1425}
> Progress 9.951%, elapsed 219 s, estimated 2204 s, iters = {MDP: 1434}
> Progress 10.013%, elapsed 222 s, estimated 2222 s, iters = {MDP: 1443}
> Progress 10.076%, elapsed 225 s, estimated 2239 s, iters = {MDP: 1452}
> Progress 10.145%, elapsed 229 s, estimated 2257 s, iters = {MDP: 1462}
> Progress 10.208%, elapsed 232 s, estimated 2273 s, iters = {MDP: 1471}
> Progress 10.263%, elapsed 235 s, estimated 2293 s, iters = {MDP: 1479}
> Progress 10.333%, elapsed 238 s, estimated 2307 s, iters = {MDP: 1489}
> Progress 10.402%, elapsed 241 s, estimated 2323 s, iters = {MDP: 1499}
> Progress 10.479%, elapsed 244 s, estimated 2334 s, iters = {MDP: 1510}
> Progress 10.611%, elapsed 248 s, estimated 2337 s, iters = {MDP: 1529}
> Progress 10.687%, elapsed 251 s, estimated 2352 s, iters = {MDP: 1540}
> Progress 10.791%, elapsed 254 s, estimated 2357 s, iters = {MDP: 1555}
> Progress 10.895%, elapsed 257 s, estimated 2365 s, iters = {MDP: 1570}
> Progress 10.986%, elapsed 260 s, estimated 2373 s, iters = {MDP: 1583}
> Progress 11.041%, elapsed 263 s, estimated 2390 s, iters = {MDP: 1591}
> Progress 11.18%, elapsed 267 s, estimated 2388 s, iters = {MDP: 1611}
> Progress 11.236%, elapsed 270 s, estimated 2404 s, iters = {MDP: 1619}
> Progress 11.493%, elapsed 273 s, estimated 2376 s, iters = {MDP: 1656}
> Progress 11.555%, elapsed 276 s, estimated 2391 s, iters = {MDP: 1665}
> Progress 11.638%, elapsed 279 s, estimated 2400 s, iters = {MDP: 1677}
> Progress 11.694%, elapsed 282 s, estimated 2415 s, iters = {MDP: 1685}
> Progress 11.756%, elapsed 285 s, estimated 2429 s, iters = {MDP: 1694}
> Progress 11.881%, elapsed 288 s, estimated 2429 s, iters = {MDP: 1712}
> Progress 12.027%, elapsed 291 s, estimated 2425 s, iters = {MDP: 1733}
> Progress 12.222%, elapsed 294 s, estimated 2413 s, iters = {MDP: 1761}
> Progress 12.284%, elapsed 298 s, estimated 2427 s, iters = {MDP: 1770}
> Progress 12.354%, elapsed 301 s, estimated 2440 s, iters = {MDP: 1780}
> Progress 12.562%, elapsed 304 s, estimated 2425 s, iters = {MDP: 1810}
> Progress 12.625%, elapsed 308 s, estimated 2439 s, iters = {MDP: 1819}
> Progress 12.687%, elapsed 311 s, estimated 2452 s, iters = {MDP: 1828}
> Progress 12.798%, elapsed 314 s, estimated 2454 s, iters = {MDP: 1844}
> Progress 12.861%, elapsed 317 s, estimated 2468 s, iters = {MDP: 1853}
> Progress 12.93%, elapsed 320 s, estimated 2478 s, iters = {MDP: 1863}
> Progress 13.02%, elapsed 323 s, estimated 2486 s, iters = {MDP: 1876}
> Progress 13.173%, elapsed 326 s, estimated 2481 s, iters = {MDP: 1898}
> Progress 13.229%, elapsed 330 s, estimated 2495 s, iters = {MDP: 1906}
> Progress 13.319%, elapsed 333 s, estimated 2501 s, iters = {MDP: 1919}
> Progress 13.465%, elapsed 336 s, estimated 2498 s, iters = {MDP: 1940}
> Progress 13.527%, elapsed 339 s, estimated 2510 s, iters = {MDP: 1949}
> Progress 13.729%, elapsed 342 s, estimated 2497 s, iters = {MDP: 1978}
> Progress 13.791%, elapsed 345 s, estimated 2507 s, iters = {MDP: 1987}
