2023-12-19 13:27:54,243 - cli.py - This is Paynt version 0.1.0.
2023-12-19 13:27:54,243 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/roz/sketch.templ ...
2023-12-19 13:27:54,244 - sketch.py - assuming sketch in PRISM format...
2023-12-19 13:27:54,256 - prism_parser.py - PRISM model type: MDP
2023-12-19 13:27:54,256 - prism_parser.py - processing hole definitions...
2023-12-19 13:27:54,257 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/roz/sketch.props ...
2023-12-19 13:27:54,258 - prism_parser.py - found the following specification: constraints: P>=9/10 [F ((w1 & w2) & w6)]; 
2023-12-19 13:27:54,258 - jani.py - constructing JANI program...
2023-12-19 13:27:54,269 - jani.py - constructing the quotient...
2023-12-19 13:27:54,998 - jani.py - associating choices of the quotient with hole assignments...
2023-12-19 13:27:55,156 - sketch.py - sketch parsing OK
2023-12-19 13:27:55,156 - sketch.py - constructed explicit quotient having 17927 states and 191629 actions
2023-12-19 13:27:55,156 - sketch.py - found the following specification constraints: P>=9/10 [F ((w1 & w2) & w6)]; 
2023-12-19 13:27:55,256 - mdp_family.py - associating choices with action labels...
2023-12-19 13:27:55,492 - synthesizer.py - evaluation initiated, design space: 4500
2023-12-19 13:27:55,572 - smt.py - using Python Z3 for SMT solving.
> Progress 0.6%, elapsed 3 s, estimated 521 s, iters = {MDP: 28}
> Progress 2.466%, elapsed 6 s, estimated 253 s, iters = {MDP: 112}
> Progress 2.844%, elapsed 9 s, estimated 329 s, iters = {MDP: 129}
> Progress 3.2%, elapsed 12 s, estimated 389 s, iters = {MDP: 145}
> Progress 3.555%, elapsed 15 s, estimated 435 s, iters = {MDP: 161}
> Progress 4.244%, elapsed 18 s, estimated 438 s, iters = {MDP: 192}
> Progress 4.577%, elapsed 21 s, estimated 473 s, iters = {MDP: 207}
> Progress 4.955%, elapsed 24 s, estimated 501 s, iters = {MDP: 224}
> Progress 5.577%, elapsed 27 s, estimated 500 s, iters = {MDP: 252}
> Progress 7.488%, elapsed 31 s, estimated 414 s, iters = {MDP: 338}
> Progress 7.866%, elapsed 34 s, estimated 435 s, iters = {MDP: 355}
> Progress 8.2%, elapsed 37 s, estimated 455 s, iters = {MDP: 370}
> Progress 8.6%, elapsed 40 s, estimated 469 s, iters = {MDP: 388}
> Progress 9.222%, elapsed 43 s, estimated 472 s, iters = {MDP: 416}
> Progress 9.688%, elapsed 46 s, estimated 481 s, iters = {MDP: 437}
> Progress 10.044%, elapsed 49 s, estimated 496 s, iters = {MDP: 453}
> Progress 10.6%, elapsed 52 s, estimated 499 s, iters = {MDP: 478}
> Progress 10.933%, elapsed 56 s, estimated 512 s, iters = {MDP: 493}
> Progress 11.244%, elapsed 59 s, estimated 527 s, iters = {MDP: 507}
> Progress 11.555%, elapsed 62 s, estimated 540 s, iters = {MDP: 521}
> Progress 11.866%, elapsed 65 s, estimated 551 s, iters = {MDP: 535}
> Progress 12.466%, elapsed 68 s, estimated 549 s, iters = {MDP: 562}
> Progress 12.888%, elapsed 71 s, estimated 555 s, iters = {MDP: 581}
> Progress 13.333%, elapsed 74 s, estimated 560 s, iters = {MDP: 601}
> Progress 13.955%, elapsed 77 s, estimated 558 s, iters = {MDP: 629}
> Progress 14.333%, elapsed 81 s, estimated 565 s, iters = {MDP: 646}
> Progress 14.688%, elapsed 84 s, estimated 572 s, iters = {MDP: 662}
> Progress 15.244%, elapsed 87 s, estimated 572 s, iters = {MDP: 687}
> Progress 15.533%, elapsed 90 s, estimated 581 s, iters = {MDP: 700}
> Progress 15.844%, elapsed 93 s, estimated 589 s, iters = {MDP: 714}
> Progress 16.244%, elapsed 96 s, estimated 595 s, iters = {MDP: 732}
> Progress 16.577%, elapsed 99 s, estimated 601 s, iters = {MDP: 747}
> Progress 16.888%, elapsed 102 s, estimated 609 s, iters = {MDP: 761}
> Progress 17.2%, elapsed 106 s, estimated 616 s, iters = {MDP: 775}
> Progress 17.511%, elapsed 109 s, estimated 623 s, iters = {MDP: 789}
> Progress 18.111%, elapsed 112 s, estimated 620 s, iters = {MDP: 816}
