2024-01-08 18:48:17,912 - cli.py - This is Paynt version 0.1.0.
2024-01-08 18:48:17,912 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/avoid/16-2-easy/sketch.templ ...
2024-01-08 18:48:17,913 - sketch.py - assuming sketch in PRISM format...
2024-01-08 18:48:17,915 - prism_parser.py - PRISM model type: MDP
2024-01-08 18:48:17,915 - prism_parser.py - processing hole definitions...
2024-01-08 18:48:17,915 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/avoid/16-2-easy/sketch.props ...
2024-01-08 18:48:17,916 - prism_parser.py - found the following specification: constraints: P>9/10 [F ((x = 16) & (y = 16))]; 
2024-01-08 18:48:17,916 - jani.py - constructing JANI program...
2024-01-08 18:48:17,918 - jani.py - constructing the quotient...
2024-01-08 18:48:18,691 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 18:48:19,292 - sketch.py - sketch parsing OK
2024-01-08 18:48:19,292 - sketch.py - constructed explicit quotient having 104545 states and 777824 actions
2024-01-08 18:48:19,292 - sketch.py - found the following specification constraints: P>9/10 [F ((x = 16) & (y = 16))]; 
2024-01-08 18:48:19,575 - mdp_family.py - associating choices with action labels...
2024-01-08 18:48:20,555 - synthesizer.py - evaluation initiated, design space: 19200
> Progress 0.052%, elapsed 3 s, estimated 5981 s, iters = {MDP: 11}
> Progress 0.109%, elapsed 6 s, estimated 5824 s, iters = {MDP: 22}
> Progress 0.166%, elapsed 9 s, estimated 5775 s, iters = {MDP: 33}
> Progress 0.223%, elapsed 12 s, estimated 5752 s, iters = {MDP: 44}
> Progress 0.281%, elapsed 16 s, estimated 5752 s, iters = {MDP: 55}
> Progress 0.338%, elapsed 19 s, estimated 5725 s, iters = {MDP: 66}
> Progress 0.395%, elapsed 22 s, estimated 5704 s, iters = {MDP: 77}
> Progress 0.453%, elapsed 25 s, estimated 5695 s, iters = {MDP: 88}
> Progress 0.505%, elapsed 28 s, estimated 5737 s, iters = {MDP: 98}
> Progress 0.557%, elapsed 32 s, estimated 5796 s, iters = {MDP: 108}
> Progress 0.609%, elapsed 35 s, estimated 5829 s, iters = {MDP: 118}
> Progress 0.666%, elapsed 38 s, estimated 5828 s, iters = {MDP: 129}
> Progress 0.723%, elapsed 42 s, estimated 5817 s, iters = {MDP: 140}
> Progress 0.776%, elapsed 45 s, estimated 5823 s, iters = {MDP: 150}
> Progress 0.833%, elapsed 48 s, estimated 5815 s, iters = {MDP: 161}
> Progress 0.885%, elapsed 51 s, estimated 5825 s, iters = {MDP: 171}
> Progress 0.942%, elapsed 54 s, estimated 5819 s, iters = {MDP: 182}
> Progress 0.994%, elapsed 57 s, estimated 5818 s, iters = {MDP: 192}
> Progress 1.046%, elapsed 60 s, estimated 5815 s, iters = {MDP: 202}
> Progress 1.098%, elapsed 63 s, estimated 5820 s, iters = {MDP: 212}
> Progress 1.156%, elapsed 67 s, estimated 5813 s, iters = {MDP: 223}
> Progress 1.213%, elapsed 70 s, estimated 5810 s, iters = {MDP: 234}
> Progress 1.27%, elapsed 73 s, estimated 5804 s, iters = {MDP: 245}
> Progress 1.328%, elapsed 77 s, estimated 5799 s, iters = {MDP: 256}
> Progress 1.38%, elapsed 80 s, estimated 5804 s, iters = {MDP: 266}
> Progress 1.437%, elapsed 83 s, estimated 5798 s, iters = {MDP: 277}
> Progress 1.494%, elapsed 86 s, estimated 5795 s, iters = {MDP: 288}
> Progress 1.546%, elapsed 89 s, estimated 5799 s, iters = {MDP: 298}
> Progress 1.598%, elapsed 92 s, estimated 5803 s, iters = {MDP: 308}
> Progress 1.651%, elapsed 95 s, estimated 5807 s, iters = {MDP: 318}
> Progress 1.708%, elapsed 99 s, estimated 5803 s, iters = {MDP: 329}
> Progress 1.76%, elapsed 102 s, estimated 5803 s, iters = {MDP: 339}
> Progress 1.812%, elapsed 105 s, estimated 5806 s, iters = {MDP: 349}
> Progress 1.864%, elapsed 108 s, estimated 5812 s, iters = {MDP: 359}
> Progress 1.916%, elapsed 111 s, estimated 5815 s, iters = {MDP: 369}
> Progress 1.968%, elapsed 114 s, estimated 5825 s, iters = {MDP: 379}
> Progress 2.015%, elapsed 117 s, estimated 5842 s, iters = {MDP: 388}
> Progress 2.067%, elapsed 120 s, estimated 5840 s, iters = {MDP: 398}
> Progress 2.119%, elapsed 123 s, estimated 5842 s, iters = {MDP: 408}
> Progress 2.161%, elapsed 126 s, estimated 5871 s, iters = {MDP: 416}
> Progress 2.213%, elapsed 130 s, estimated 5874 s, iters = {MDP: 426}
> Progress 2.27%, elapsed 133 s, estimated 5868 s, iters = {MDP: 437}
> Progress 2.328%, elapsed 136 s, estimated 5865 s, iters = {MDP: 448}
> Progress 2.38%, elapsed 139 s, estimated 5874 s, iters = {MDP: 458}
> Progress 2.437%, elapsed 143 s, estimated 5869 s, iters = {MDP: 469}
> Progress 2.489%, elapsed 146 s, estimated 5875 s, iters = {MDP: 479}
> Progress 2.541%, elapsed 149 s, estimated 5883 s, iters = {MDP: 489}
> Progress 2.593%, elapsed 152 s, estimated 5892 s, iters = {MDP: 499}
> Progress 2.645%, elapsed 156 s, estimated 5900 s, iters = {MDP: 509}
> Progress 2.692%, elapsed 159 s, estimated 5912 s, iters = {MDP: 518}
> Progress 2.744%, elapsed 162 s, estimated 5918 s, iters = {MDP: 528}
> Progress 2.796%, elapsed 165 s, estimated 5916 s, iters = {MDP: 538}
> Progress 2.848%, elapsed 168 s, estimated 5914 s, iters = {MDP: 548}
> Progress 2.901%, elapsed 171 s, estimated 5919 s, iters = {MDP: 558}
> Progress 2.953%, elapsed 174 s, estimated 5916 s, iters = {MDP: 568}
> Progress 3.005%, elapsed 177 s, estimated 5915 s, iters = {MDP: 578}
> Progress 3.062%, elapsed 181 s, estimated 5913 s, iters = {MDP: 589}
> Progress 3.114%, elapsed 184 s, estimated 5920 s, iters = {MDP: 599}
> Progress 3.166%, elapsed 187 s, estimated 5921 s, iters = {MDP: 609}
> Progress 3.218%, elapsed 190 s, estimated 5924 s, iters = {MDP: 619}
> Progress 3.27%, elapsed 193 s, estimated 5928 s, iters = {MDP: 629}
> Progress 3.322%, elapsed 197 s, estimated 5930 s, iters = {MDP: 639}
> Progress 3.375%, elapsed 200 s, estimated 5934 s, iters = {MDP: 649}
> Progress 3.427%, elapsed 203 s, estimated 5933 s, iters = {MDP: 659}
> Progress 3.479%, elapsed 206 s, estimated 5935 s, iters = {MDP: 669}
> Progress 3.531%, elapsed 209 s, estimated 5937 s, iters = {MDP: 679}
> Progress 3.583%, elapsed 212 s, estimated 5939 s, iters = {MDP: 689}
> Progress 3.635%, elapsed 216 s, estimated 5942 s, iters = {MDP: 699}
> Progress 3.687%, elapsed 219 s, estimated 5944 s, iters = {MDP: 709}
> Progress 3.739%, elapsed 222 s, estimated 5949 s, iters = {MDP: 719}
> Progress 3.791%, elapsed 225 s, estimated 5951 s, iters = {MDP: 729}
> Progress 3.843%, elapsed 228 s, estimated 5956 s, iters = {MDP: 739}
> Progress 3.895%, elapsed 232 s, estimated 5959 s, iters = {MDP: 749}
> Progress 3.947%, elapsed 235 s, estimated 5960 s, iters = {MDP: 759}
> Progress 4.0%, elapsed 238 s, estimated 5957 s, iters = {MDP: 769}
> Progress 4.052%, elapsed 241 s, estimated 5958 s, iters = {MDP: 779}
> Progress 4.104%, elapsed 244 s, estimated 5958 s, iters = {MDP: 789}
> Progress 4.156%, elapsed 247 s, estimated 5956 s, iters = {MDP: 799}
> Progress 4.208%, elapsed 250 s, estimated 5962 s, iters = {MDP: 809}
> Progress 4.26%, elapsed 254 s, estimated 5962 s, iters = {MDP: 819}
> Progress 4.312%, elapsed 257 s, estimated 5961 s, iters = {MDP: 829}
> Progress 4.364%, elapsed 260 s, estimated 5962 s, iters = {MDP: 839}
> Progress 4.416%, elapsed 263 s, estimated 5967 s, iters = {MDP: 849}
> Progress 4.463%, elapsed 266 s, estimated 5973 s, iters = {MDP: 858}
> Progress 4.515%, elapsed 269 s, estimated 5971 s, iters = {MDP: 868}
> Progress 4.567%, elapsed 272 s, estimated 5970 s, iters = {MDP: 878}
> Progress 4.619%, elapsed 275 s, estimated 5968 s, iters = {MDP: 888}
> Progress 4.671%, elapsed 278 s, estimated 5968 s, iters = {MDP: 898}
> Progress 4.723%, elapsed 282 s, estimated 5972 s, iters = {MDP: 908}
> Progress 4.776%, elapsed 285 s, estimated 5972 s, iters = {MDP: 918}
> Progress 4.822%, elapsed 288 s, estimated 5977 s, iters = {MDP: 927}
