2024-01-08 19:09:06,243 - cli.py - This is Paynt version 0.1.0.
2024-01-08 19:09:06,243 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/dodge/8-mod3-pull-30/sketch.templ ...
2024-01-08 19:09:06,243 - sketch.py - assuming sketch in PRISM format...
2024-01-08 19:09:06,247 - prism_parser.py - PRISM model type: MDP
2024-01-08 19:09:06,247 - prism_parser.py - processing hole definitions...
2024-01-08 19:09:06,247 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/dodge/8-mod3-pull-30/sketch.props ...
2024-01-08 19:09:06,248 - prism_parser.py - found the following specification: constraints: P>9/10 [F ((x = 8) & (y = 8))]; 
2024-01-08 19:09:06,248 - jani.py - constructing JANI program...
2024-01-08 19:09:06,256 - jani.py - constructing the quotient...
2024-01-08 19:09:07,716 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 19:09:08,209 - sketch.py - sketch parsing OK
2024-01-08 19:09:08,210 - sketch.py - constructed explicit quotient having 149659 states and 723570 actions
2024-01-08 19:09:08,210 - sketch.py - found the following specification constraints: P>9/10 [F ((x = 8) & (y = 8))]; 
2024-01-08 19:09:08,485 - mdp_family.py - associating choices with action labels...
2024-01-08 19:09:09,503 - synthesizer.py - evaluation initiated, design space: 93750000
> Progress 0.0%, elapsed 3 s, estimated 4957342 s (57 days), iters = {MDP: 58}
> Progress 0.0%, elapsed 6 s, estimated 3922129 s (45 days), iters = {MDP: 145}
> Progress 0.0%, elapsed 9 s, estimated 3272268 s (37 days), iters = {MDP: 261}
> Progress 0.0%, elapsed 12 s, estimated 3617513 s (41 days), iters = {MDP: 315}
> Progress 0.0%, elapsed 15 s, estimated 3582343 s (41 days), iters = {MDP: 397}
> Progress 0.0%, elapsed 18 s, estimated 3071225 s (35 days), iters = {MDP: 555}
> Progress 0.0%, elapsed 21 s, estimated 2986259 s (34 days), iters = {MDP: 665}
> Progress 0.0%, elapsed 24 s, estimated 3053647 s (35 days), iters = {MDP: 743}
> Progress 0.0%, elapsed 27 s, estimated 2898747 s (33 days), iters = {MDP: 881}
> Progress 0.001%, elapsed 30 s, estimated 3023255 s (34 days), iters = {MDP: 939}
> Progress 0.001%, elapsed 33 s, estimated 3060296 s (35 days), iters = {MDP: 1020}
> Progress 0.001%, elapsed 36 s, estimated 2889319 s (33 days), iters = {MDP: 1178}
> Progress 0.001%, elapsed 39 s, estimated 2853879 s (33 days), iters = {MDP: 1292}
> Progress 0.001%, elapsed 42 s, estimated 2896836 s (33 days), iters = {MDP: 1371}
