2024-01-08 20:19:15,873 - cli.py - This is Paynt version 0.1.0.
2024-01-08 20:19:15,873 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rover/int-holes/1000-constant-success/sketch.templ ...
2024-01-08 20:19:15,873 - sketch.py - assuming sketch in PRISM format...
2024-01-08 20:19:15,875 - prism_parser.py - PRISM model type: MDP
2024-01-08 20:19:15,875 - prism_parser.py - processing hole definitions...
2024-01-08 20:19:15,876 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rover/int-holes/1000-constant-success/sketch.props ...
2024-01-08 20:19:15,876 - prism_parser.py - found the following specification: constraints: P>=3/4 [F "goal"]; 
2024-01-08 20:19:15,876 - jani.py - constructing JANI program...
2024-01-08 20:19:15,879 - jani.py - constructing the quotient...
2024-01-08 20:19:16,551 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 20:19:17,049 - sketch.py - sketch parsing OK
2024-01-08 20:19:17,049 - sketch.py - constructed explicit quotient having 17003 states and 486003 actions
2024-01-08 20:19:17,049 - sketch.py - found the following specification constraints: P>=3/4 [F "goal"]; 
2024-01-08 20:19:17,299 - mdp_family.py - associating choices with action labels...
2024-01-08 20:19:17,674 - synthesizer.py - evaluation initiated, design space: 38880
> Progress 0.282%, elapsed 3 s, estimated 1065 s, iters = {MDP: 111}
> Progress 0.534%, elapsed 6 s, estimated 1126 s, iters = {MDP: 209}
> Progress 0.817%, elapsed 9 s, estimated 1104 s, iters = {MDP: 319}
> Progress 1.072%, elapsed 12 s, estimated 1123 s, iters = {MDP: 418}
> Progress 1.355%, elapsed 15 s, estimated 1110 s, iters = {MDP: 528}
> Progress 1.615%, elapsed 18 s, estimated 1118 s, iters = {MDP: 629}
> Progress 1.895%, elapsed 21 s, estimated 1111 s, iters = {MDP: 738}
> Progress 2.103%, elapsed 24 s, estimated 1144 s, iters = {MDP: 819}
> Progress 2.391%, elapsed 27 s, estimated 1132 s, iters = {MDP: 931}
> Progress 2.654%, elapsed 30 s, estimated 1134 s, iters = {MDP: 1033}
> Progress 2.947%, elapsed 33 s, estimated 1123 s, iters = {MDP: 1147}
> Progress 3.202%, elapsed 36 s, estimated 1128 s, iters = {MDP: 1246}
> Progress 3.503%, elapsed 39 s, estimated 1117 s, iters = {MDP: 1363}
> Progress 3.762%, elapsed 42 s, estimated 1120 s, iters = {MDP: 1464}
> Progress 4.056%, elapsed 45 s, estimated 1113 s, iters = {MDP: 1578}
> Progress 4.31%, elapsed 48 s, estimated 1118 s, iters = {MDP: 1677}
> Progress 4.611%, elapsed 51 s, estimated 1111 s, iters = {MDP: 1794}
> Progress 4.866%, elapsed 54 s, estimated 1114 s, iters = {MDP: 1893}
> Progress 5.167%, elapsed 57 s, estimated 1108 s, iters = {MDP: 2010}
> Progress 5.419%, elapsed 60 s, estimated 1112 s, iters = {MDP: 2108}
> Progress 5.686%, elapsed 63 s, estimated 1113 s, iters = {MDP: 2212}
> Progress 5.905%, elapsed 66 s, estimated 1123 s, iters = {MDP: 2297}
> Progress 6.211%, elapsed 69 s, estimated 1116 s, iters = {MDP: 2416}
> Progress 6.448%, elapsed 72 s, estimated 1122 s, iters = {MDP: 2508}
> Progress 6.751%, elapsed 75 s, estimated 1116 s, iters = {MDP: 2626}
> Progress 6.99%, elapsed 78 s, estimated 1121 s, iters = {MDP: 2719}
> Progress 7.271%, elapsed 81 s, estimated 1119 s, iters = {MDP: 2828}
> Progress 7.523%, elapsed 84 s, estimated 1122 s, iters = {MDP: 2926}
> Progress 7.795%, elapsed 87 s, estimated 1121 s, iters = {MDP: 3032}
> Progress 8.058%, elapsed 90 s, estimated 1122 s, iters = {MDP: 3134}
> Progress 8.307%, elapsed 93 s, estimated 1125 s, iters = {MDP: 3231}
> Progress 8.582%, elapsed 96 s, estimated 1124 s, iters = {MDP: 3338}
> Progress 8.827%, elapsed 99 s, estimated 1127 s, iters = {MDP: 3433}
> Progress 9.056%, elapsed 102 s, estimated 1132 s, iters = {MDP: 3522}
> Progress 9.297%, elapsed 105 s, estimated 1135 s, iters = {MDP: 3616}
> Progress 9.585%, elapsed 108 s, estimated 1132 s, iters = {MDP: 3728}
> Progress 9.817%, elapsed 111 s, estimated 1136 s, iters = {MDP: 3818}
> Progress 10.113%, elapsed 114 s, estimated 1133 s, iters = {MDP: 3933}
> Progress 10.342%, elapsed 117 s, estimated 1137 s, iters = {MDP: 4022}
> Progress 10.625%, elapsed 120 s, estimated 1135 s, iters = {MDP: 4132}
> Progress 10.864%, elapsed 123 s, estimated 1138 s, iters = {MDP: 4225}
> Progress 11.113%, elapsed 126 s, estimated 1139 s, iters = {MDP: 4322}
> Progress 11.373%, elapsed 129 s, estimated 1140 s, iters = {MDP: 4423}
> Progress 11.612%, elapsed 132 s, estimated 1142 s, iters = {MDP: 4516}
> Progress 11.875%, elapsed 135 s, estimated 1142 s, iters = {MDP: 4618}
> Progress 12.119%, elapsed 138 s, estimated 1144 s, iters = {MDP: 4713}
> Progress 12.386%, elapsed 141 s, estimated 1144 s, iters = {MDP: 4817}
> Progress 12.61%, elapsed 144 s, estimated 1147 s, iters = {MDP: 4904}
> Progress 12.896%, elapsed 147 s, estimated 1145 s, iters = {MDP: 5015}
> Progress 13.083%, elapsed 150 s, estimated 1152 s, iters = {MDP: 5088}
> Progress 13.302%, elapsed 153 s, estimated 1156 s, iters = {MDP: 5173}
