2024-01-08 20:14:15,838 - cli.py - This is Paynt version 0.1.0.
2024-01-08 20:14:15,838 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rover/int-holes/1000/sketch.templ ...
2024-01-08 20:14:15,838 - sketch.py - assuming sketch in PRISM format...
2024-01-08 20:14:15,840 - prism_parser.py - PRISM model type: MDP
2024-01-08 20:14:15,840 - prism_parser.py - processing hole definitions...
2024-01-08 20:14:15,840 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rover/int-holes/1000/sketch.props ...
2024-01-08 20:14:15,841 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-08 20:14:15,841 - jani.py - constructing JANI program...
2024-01-08 20:14:15,845 - jani.py - constructing the quotient...
2024-01-08 20:14:16,566 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 20:14:17,126 - sketch.py - sketch parsing OK
2024-01-08 20:14:17,126 - sketch.py - constructed explicit quotient having 17003 states and 518003 actions
2024-01-08 20:14:17,127 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-08 20:14:17,340 - mdp_family.py - associating choices with action labels...
2024-01-08 20:14:17,732 - synthesizer.py - evaluation initiated, design space: 3779136
> Progress 0.007%, elapsed 3 s, estimated 38696 s (10 hours), iters = {MDP: 294}
> Progress 0.014%, elapsed 6 s, estimated 40878 s (11 hours), iters = {MDP: 556}
> Progress 0.02%, elapsed 9 s, estimated 44697 s (12 hours), iters = {MDP: 763}
> Progress 0.026%, elapsed 12 s, estimated 45947 s (12 hours), iters = {MDP: 990}
> Progress 0.032%, elapsed 15 s, estimated 46038 s (12 hours), iters = {MDP: 1235}
> Progress 0.039%, elapsed 18 s, estimated 45999 s (12 hours), iters = {MDP: 1484}
> Progress 0.045%, elapsed 21 s, estimated 46579 s (12 hours), iters = {MDP: 1709}
> Progress 0.051%, elapsed 24 s, estimated 46692 s (12 hours), iters = {MDP: 1948}
> Progress 0.057%, elapsed 27 s, estimated 46681 s (12 hours), iters = {MDP: 2192}
> Progress 0.064%, elapsed 30 s, estimated 46342 s (12 hours), iters = {MDP: 2453}
> Progress 0.073%, elapsed 33 s, estimated 45006 s (12 hours), iters = {MDP: 2778}
> Progress 0.078%, elapsed 36 s, estimated 45930 s (12 hours), iters = {MDP: 2970}
> Progress 0.081%, elapsed 39 s, estimated 48161 s (13 hours), iters = {MDP: 3069}
> Progress 0.083%, elapsed 42 s, estimated 50309 s (13 hours), iters = {MDP: 3164}
> Progress 0.086%, elapsed 45 s, estimated 52244 s (14 hours), iters = {MDP: 3265}
> Progress 0.088%, elapsed 48 s, estimated 54085 s (15 hours), iters = {MDP: 3364}
> Progress 0.091%, elapsed 51 s, estimated 55794 s (15 hours), iters = {MDP: 3465}
> Progress 0.094%, elapsed 54 s, estimated 57380 s (15 hours), iters = {MDP: 3568}
> Progress 0.097%, elapsed 57 s, estimated 58868 s (16 hours), iters = {MDP: 3672}
> Progress 0.099%, elapsed 60 s, estimated 60292 s (16 hours), iters = {MDP: 3774}
> Progress 0.102%, elapsed 63 s, estimated 61808 s (17 hours), iters = {MDP: 3866}
> Progress 0.104%, elapsed 66 s, estimated 63296 s (17 hours), iters = {MDP: 3955}
> Progress 0.107%, elapsed 69 s, estimated 64617 s (17 hours), iters = {MDP: 4051}
> Progress 0.109%, elapsed 72 s, estimated 65886 s (18 hours), iters = {MDP: 4146}
> Progress 0.111%, elapsed 75 s, estimated 67526 s (18 hours), iters = {MDP: 4214}
> Progress 0.113%, elapsed 78 s, estimated 68685 s (19 hours), iters = {MDP: 4308}
> Progress 0.116%, elapsed 81 s, estimated 69756 s (19 hours), iters = {MDP: 4405}
> Progress 0.119%, elapsed 84 s, estimated 70840 s (19 hours), iters = {MDP: 4499}
> Progress 0.121%, elapsed 87 s, estimated 72126 s (20 hours), iters = {MDP: 4577}
> Progress 0.123%, elapsed 90 s, estimated 73078 s (20 hours), iters = {MDP: 4673}
> Progress 0.126%, elapsed 93 s, estimated 73937 s (20 hours), iters = {MDP: 4773}
> Progress 0.128%, elapsed 96 s, estimated 74755 s (20 hours), iters = {MDP: 4873}
> Progress 0.131%, elapsed 99 s, estimated 75533 s (20 hours), iters = {MDP: 4973}
> Progress 0.134%, elapsed 102 s, estimated 76255 s (21 hours), iters = {MDP: 5075}
> Progress 0.136%, elapsed 105 s, estimated 76985 s (21 hours), iters = {MDP: 5176}
> Progress 0.139%, elapsed 108 s, estimated 77682 s (21 hours), iters = {MDP: 5277}
> Progress 0.142%, elapsed 111 s, estimated 78365 s (21 hours), iters = {MDP: 5376}
> Progress 0.144%, elapsed 114 s, estimated 78995 s (21 hours), iters = {MDP: 5478}
> Progress 0.147%, elapsed 117 s, estimated 79590 s (22 hours), iters = {MDP: 5580}
> Progress 0.15%, elapsed 120 s, estimated 80194 s (22 hours), iters = {MDP: 5680}
> Progress 0.152%, elapsed 123 s, estimated 80756 s (22 hours), iters = {MDP: 5781}
> Progress 0.155%, elapsed 126 s, estimated 81301 s (22 hours), iters = {MDP: 5882}
> Progress 0.159%, elapsed 129 s, estimated 81469 s (22 hours), iters = {MDP: 6010}
> Progress 0.162%, elapsed 132 s, estimated 81746 s (22 hours), iters = {MDP: 6129}
> Progress 0.165%, elapsed 135 s, estimated 82105 s (22 hours), iters = {MDP: 6241}
> Progress 0.168%, elapsed 138 s, estimated 82263 s (22 hours), iters = {MDP: 6368}
> Progress 0.171%, elapsed 141 s, estimated 82362 s (22 hours), iters = {MDP: 6499}
> Progress 0.175%, elapsed 144 s, estimated 82530 s (22 hours), iters = {MDP: 6624}
> Progress 0.178%, elapsed 147 s, estimated 82813 s (23 hours), iters = {MDP: 6739}
> Progress 0.181%, elapsed 150 s, estimated 82984 s (23 hours), iters = {MDP: 6863}
> Progress 0.184%, elapsed 153 s, estimated 83096 s (23 hours), iters = {MDP: 6991}
> Progress 0.188%, elapsed 156 s, estimated 83219 s (23 hours), iters = {MDP: 7117}
> Progress 0.19%, elapsed 159 s, estimated 83819 s (23 hours), iters = {MDP: 7202}
> Progress 0.193%, elapsed 162 s, estimated 83941 s (23 hours), iters = {MDP: 7327}
> Progress 0.197%, elapsed 165 s, estimated 83990 s (23 hours), iters = {MDP: 7458}
> Progress 0.2%, elapsed 168 s, estimated 84191 s (23 hours), iters = {MDP: 7575}
> Progress 0.203%, elapsed 171 s, estimated 84415 s (23 hours), iters = {MDP: 7690}
> Progress 0.206%, elapsed 174 s, estimated 84463 s (23 hours), iters = {MDP: 7821}
> Progress 0.21%, elapsed 177 s, estimated 84526 s (23 hours), iters = {MDP: 7950}
> Progress 0.213%, elapsed 180 s, estimated 84722 s (23 hours), iters = {MDP: 8066}
> Progress 0.216%, elapsed 183 s, estimated 84956 s (23 hours), iters = {MDP: 8178}
> Progress 0.219%, elapsed 186 s, estimated 85002 s (23 hours), iters = {MDP: 8308}
> Progress 0.222%, elapsed 189 s, estimated 85343 s (23 hours), iters = {MDP: 8408}
> Progress 0.225%, elapsed 192 s, estimated 85534 s (23 hours), iters = {MDP: 8522}
> Progress 0.228%, elapsed 195 s, estimated 85622 s (23 hours), iters = {MDP: 8646}
> Progress 0.232%, elapsed 198 s, estimated 85641 s (23 hours), iters = {MDP: 8777}
> Progress 0.234%, elapsed 201 s, estimated 85955 s (23 hours), iters = {MDP: 8877}
> Progress 0.237%, elapsed 204 s, estimated 86265 s (23 hours), iters = {MDP: 8977}
> Progress 0.24%, elapsed 207 s, estimated 86584 s (24 hours), iters = {MDP: 9076}
> Progress 0.242%, elapsed 210 s, estimated 86889 s (24 hours), iters = {MDP: 9175}
> Progress 0.245%, elapsed 213 s, estimated 87174 s (24 hours), iters = {MDP: 9276}
> Progress 0.248%, elapsed 216 s, estimated 87481 s (24 hours), iters = {MDP: 9374}
> Progress 0.25%, elapsed 219 s, estimated 87743 s (24 hours), iters = {MDP: 9476}
> Progress 0.252%, elapsed 223 s, estimated 88202 s (24 hours), iters = {MDP: 9556}
> Progress 0.255%, elapsed 226 s, estimated 88495 s (24 hours), iters = {MDP: 9653}
> Progress 0.258%, elapsed 229 s, estimated 88465 s (24 hours), iters = {MDP: 9785}
> Progress 0.261%, elapsed 232 s, estimated 88620 s (24 hours), iters = {MDP: 9897}
> Progress 0.265%, elapsed 235 s, estimated 88518 s (24 hours), iters = {MDP: 10037}
> Progress 0.268%, elapsed 238 s, estimated 88678 s (24 hours), iters = {MDP: 10148}
> Progress 0.271%, elapsed 241 s, estimated 88903 s (24 hours), iters = {MDP: 10250}
> Progress 0.273%, elapsed 244 s, estimated 89133 s (24 hours), iters = {MDP: 10352}
> Progress 0.276%, elapsed 247 s, estimated 89350 s (24 hours), iters = {MDP: 10454}
> Progress 0.279%, elapsed 250 s, estimated 89567 s (24 hours), iters = {MDP: 10556}
> Progress 0.281%, elapsed 253 s, estimated 89788 s (24 hours), iters = {MDP: 10657}
> Progress 0.284%, elapsed 256 s, estimated 90001 s (25 hours), iters = {MDP: 10758}
> Progress 0.287%, elapsed 259 s, estimated 90208 s (25 hours), iters = {MDP: 10859}
> Progress 0.29%, elapsed 262 s, estimated 90410 s (25 hours), iters = {MDP: 10961}
> Progress 0.292%, elapsed 265 s, estimated 90614 s (25 hours), iters = {MDP: 11062}
> Progress 0.295%, elapsed 268 s, estimated 90816 s (25 hours), iters = {MDP: 11163}
> Progress 0.299%, elapsed 271 s, estimated 90693 s (25 hours), iters = {MDP: 11304}
> Progress 0.301%, elapsed 274 s, estimated 90856 s (25 hours), iters = {MDP: 11409}
> Progress 0.305%, elapsed 277 s, estimated 90718 s (25 hours), iters = {MDP: 11552}
> Progress 0.308%, elapsed 280 s, estimated 90858 s (25 hours), iters = {MDP: 11659}
> Progress 0.311%, elapsed 283 s, estimated 90857 s (25 hours), iters = {MDP: 11784}
> Progress 0.315%, elapsed 286 s, estimated 90813 s (25 hours), iters = {MDP: 11915}
> Progress 0.318%, elapsed 289 s, estimated 90796 s (25 hours), iters = {MDP: 12043}
> Progress 0.322%, elapsed 292 s, estimated 90638 s (25 hours), iters = {MDP: 12190}
> Progress 0.325%, elapsed 295 s, estimated 90614 s (25 hours), iters = {MDP: 12319}
