2024-01-08 19:34:06,799 - cli.py - This is Paynt version 0.1.0.
2024-01-08 19:34:06,799 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/int-holes/operator-roz-big/sketch.templ ...
2024-01-08 19:34:06,799 - sketch.py - assuming sketch in PRISM format...
2024-01-08 19:34:06,806 - prism_parser.py - PRISM model type: MDP
2024-01-08 19:34:06,806 - prism_parser.py - processing hole definitions...
2024-01-08 19:34:06,807 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/int-holes/operator-roz-big/sketch.props ...
2024-01-08 19:34:06,808 - prism_parser.py - found the following specification: constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-08 19:34:06,808 - jani.py - constructing JANI program...
2024-01-08 19:34:06,848 - jani.py - constructing the quotient...
2024-01-08 19:34:08,050 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 19:34:08,387 - sketch.py - sketch parsing OK
2024-01-08 19:34:08,387 - sketch.py - constructed explicit quotient having 17927 states and 295977 actions
2024-01-08 19:34:08,387 - sketch.py - found the following specification constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-08 19:34:08,538 - mdp_family.py - associating choices with action labels...
2024-01-08 19:34:08,931 - synthesizer.py - evaluation initiated, design space: 360000
> Progress 0.153%, elapsed 3 s, estimated 1954 s, iters = {MDP: 554}
> Progress 0.309%, elapsed 6 s, estimated 1939 s, iters = {MDP: 1116}
> Progress 0.465%, elapsed 9 s, estimated 1936 s, iters = {MDP: 1676}
> Progress 0.619%, elapsed 12 s, estimated 1938 s, iters = {MDP: 2232}
> Progress 0.769%, elapsed 15 s, estimated 1951 s, iters = {MDP: 2771}
> Progress 0.923%, elapsed 18 s, estimated 1952 s, iters = {MDP: 3324}
> Progress 1.071%, elapsed 21 s, estimated 1963 s, iters = {MDP: 3857}
> Progress 1.219%, elapsed 24 s, estimated 1970 s, iters = {MDP: 4392}
> Progress 1.366%, elapsed 27 s, estimated 1978 s, iters = {MDP: 4921}
> Progress 1.51%, elapsed 30 s, estimated 1989 s, iters = {MDP: 5437}
> Progress 1.654%, elapsed 33 s, estimated 1996 s, iters = {MDP: 5959}
> Progress 1.8%, elapsed 36 s, estimated 2001 s, iters = {MDP: 6484}
> Progress 1.944%, elapsed 39 s, estimated 2008 s, iters = {MDP: 7001}
> Progress 2.09%, elapsed 42 s, estimated 2011 s, iters = {MDP: 7526}
> Progress 2.238%, elapsed 45 s, estimated 2013 s, iters = {MDP: 8058}
> Progress 2.384%, elapsed 48 s, estimated 2015 s, iters = {MDP: 8585}
> Progress 2.531%, elapsed 51 s, estimated 2017 s, iters = {MDP: 9113}
> Progress 2.676%, elapsed 54 s, estimated 2020 s, iters = {MDP: 9637}
> Progress 2.821%, elapsed 57 s, estimated 2022 s, iters = {MDP: 10160}
> Progress 2.962%, elapsed 60 s, estimated 2027 s, iters = {MDP: 10666}
> Progress 3.078%, elapsed 63 s, estimated 2048 s, iters = {MDP: 11084}
> Progress 3.226%, elapsed 66 s, estimated 2048 s, iters = {MDP: 11615}
> Progress 3.373%, elapsed 69 s, estimated 2047 s, iters = {MDP: 12145}
> Progress 3.519%, elapsed 72 s, estimated 2048 s, iters = {MDP: 12671}
> Progress 3.668%, elapsed 75 s, estimated 2046 s, iters = {MDP: 13208}
> Progress 3.813%, elapsed 78 s, estimated 2047 s, iters = {MDP: 13731}
> Progress 3.962%, elapsed 81 s, estimated 2046 s, iters = {MDP: 14265}
> Progress 4.11%, elapsed 84 s, estimated 2045 s, iters = {MDP: 14799}
> Progress 4.254%, elapsed 87 s, estimated 2047 s, iters = {MDP: 15317}
> Progress 4.403%, elapsed 90 s, estimated 2046 s, iters = {MDP: 15853}
> Progress 4.551%, elapsed 93 s, estimated 2045 s, iters = {MDP: 16385}
> Progress 4.701%, elapsed 96 s, estimated 2044 s, iters = {MDP: 16928}
> Progress 4.846%, elapsed 99 s, estimated 2044 s, iters = {MDP: 17450}
> Progress 4.996%, elapsed 102 s, estimated 2043 s, iters = {MDP: 17990}
> Progress 5.137%, elapsed 105 s, estimated 2045 s, iters = {MDP: 18497}
> Progress 5.268%, elapsed 108 s, estimated 2052 s, iters = {MDP: 18969}
> Progress 5.406%, elapsed 111 s, estimated 2055 s, iters = {MDP: 19464}
> Progress 5.531%, elapsed 114 s, estimated 2062 s, iters = {MDP: 19916}
> Progress 5.663%, elapsed 117 s, estimated 2067 s, iters = {MDP: 20391}
> Progress 5.785%, elapsed 120 s, estimated 2076 s, iters = {MDP: 20827}
> Progress 5.885%, elapsed 123 s, estimated 2091 s, iters = {MDP: 21190}
> Progress 6.011%, elapsed 126 s, estimated 2098 s, iters = {MDP: 21643}
> Progress 6.138%, elapsed 129 s, estimated 2103 s, iters = {MDP: 22099}
> Progress 6.258%, elapsed 132 s, estimated 2111 s, iters = {MDP: 22530}
> Progress 6.375%, elapsed 135 s, estimated 2119 s, iters = {MDP: 22953}
> Progress 6.5%, elapsed 138 s, estimated 2125 s, iters = {MDP: 23402}
> Progress 6.621%, elapsed 141 s, estimated 2131 s, iters = {MDP: 23837}
> Progress 6.741%, elapsed 144 s, estimated 2138 s, iters = {MDP: 24269}
> Progress 6.864%, elapsed 147 s, estimated 2143 s, iters = {MDP: 24714}
> Progress 6.988%, elapsed 150 s, estimated 2148 s, iters = {MDP: 25159}
> Progress 7.107%, elapsed 153 s, estimated 2154 s, iters = {MDP: 25587}
> Progress 7.213%, elapsed 156 s, estimated 2165 s, iters = {MDP: 25968}
> Progress 7.319%, elapsed 159 s, estimated 2174 s, iters = {MDP: 26351}
> Progress 7.438%, elapsed 162 s, estimated 2180 s, iters = {MDP: 26780}
> Progress 7.559%, elapsed 165 s, estimated 2185 s, iters = {MDP: 27214}
> Progress 7.674%, elapsed 168 s, estimated 2191 s, iters = {MDP: 27628}
> Progress 7.795%, elapsed 171 s, estimated 2196 s, iters = {MDP: 28064}
> Progress 7.917%, elapsed 174 s, estimated 2200 s, iters = {MDP: 28505}
> Progress 8.036%, elapsed 177 s, estimated 2204 s, iters = {MDP: 28933}
> Progress 8.116%, elapsed 180 s, estimated 2221 s, iters = {MDP: 29221}
> Progress 8.235%, elapsed 183 s, estimated 2226 s, iters = {MDP: 29647}
> Progress 8.321%, elapsed 186 s, estimated 2239 s, iters = {MDP: 29957}
> Progress 8.439%, elapsed 189 s, estimated 2243 s, iters = {MDP: 30384}
> Progress 8.562%, elapsed 192 s, estimated 2246 s, iters = {MDP: 30825}
> Progress 8.678%, elapsed 195 s, estimated 2251 s, iters = {MDP: 31242}
> Progress 8.795%, elapsed 198 s, estimated 2255 s, iters = {MDP: 31663}
> Progress 8.909%, elapsed 201 s, estimated 2260 s, iters = {MDP: 32075}
> Progress 9.008%, elapsed 204 s, estimated 2268 s, iters = {MDP: 32432}
> Progress 9.117%, elapsed 207 s, estimated 2274 s, iters = {MDP: 32825}
> Progress 9.233%, elapsed 210 s, estimated 2278 s, iters = {MDP: 33240}
> Progress 9.351%, elapsed 213 s, estimated 2281 s, iters = {MDP: 33667}
> Progress 9.466%, elapsed 216 s, estimated 2285 s, iters = {MDP: 34079}
> Progress 9.584%, elapsed 219 s, estimated 2288 s, iters = {MDP: 34505}
> Progress 9.705%, elapsed 222 s, estimated 2291 s, iters = {MDP: 34939}
> Progress 9.826%, elapsed 225 s, estimated 2293 s, iters = {MDP: 35376}
> Progress 9.951%, elapsed 228 s, estimated 2295 s, iters = {MDP: 35826}
> Progress 10.066%, elapsed 231 s, estimated 2298 s, iters = {MDP: 36240}
> Progress 10.175%, elapsed 234 s, estimated 2303 s, iters = {MDP: 36632}
> Progress 10.283%, elapsed 237 s, estimated 2308 s, iters = {MDP: 37020}
> Progress 10.392%, elapsed 240 s, estimated 2313 s, iters = {MDP: 37413}
> Progress 10.495%, elapsed 243 s, estimated 2319 s, iters = {MDP: 37786}
> Progress 10.6%, elapsed 246 s, estimated 2324 s, iters = {MDP: 38163}
> Progress 10.704%, elapsed 249 s, estimated 2329 s, iters = {MDP: 38538}
> Progress 10.807%, elapsed 252 s, estimated 2335 s, iters = {MDP: 38908}
> Progress 10.907%, elapsed 255 s, estimated 2341 s, iters = {MDP: 39267}
> Progress 11.005%, elapsed 258 s, estimated 2348 s, iters = {MDP: 39619}
> Progress 11.105%, elapsed 261 s, estimated 2354 s, iters = {MDP: 39979}
> Progress 11.206%, elapsed 264 s, estimated 2359 s, iters = {MDP: 40344}
> Progress 11.308%, elapsed 267 s, estimated 2364 s, iters = {MDP: 40712}
> Progress 11.41%, elapsed 270 s, estimated 2370 s, iters = {MDP: 41077}
> Progress 11.51%, elapsed 273 s, estimated 2375 s, iters = {MDP: 41440}
> Progress 11.61%, elapsed 276 s, estimated 2381 s, iters = {MDP: 41799}
> Progress 11.692%, elapsed 279 s, estimated 2390 s, iters = {MDP: 42093}
> Progress 11.787%, elapsed 282 s, estimated 2396 s, iters = {MDP: 42437}
> Progress 11.886%, elapsed 285 s, estimated 2401 s, iters = {MDP: 42793}
> Progress 11.985%, elapsed 288 s, estimated 2406 s, iters = {MDP: 43149}
> Progress 12.084%, elapsed 291 s, estimated 2411 s, iters = {MDP: 43506}
> Progress 12.185%, elapsed 294 s, estimated 2416 s, iters = {MDP: 43867}
> Progress 12.286%, elapsed 297 s, estimated 2421 s, iters = {MDP: 44231}
