2024-01-08 21:51:21,472 - cli.py - This is Paynt version 0.1.0.
2024-01-08 21:51:21,472 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/int-holes/operator-roz-workload/sketch.templ ...
2024-01-08 21:51:21,472 - sketch.py - assuming sketch in PRISM format...
2024-01-08 21:51:21,480 - prism_parser.py - PRISM model type: MDP
2024-01-08 21:51:21,480 - prism_parser.py - processing hole definitions...
2024-01-08 21:51:21,481 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/int-holes/operator-roz-workload/sketch.props ...
2024-01-08 21:51:21,481 - prism_parser.py - found the following specification: constraints: P>=7/10 [F ((w1 & w2) & w6)]; 
2024-01-08 21:51:21,481 - jani.py - constructing JANI program...
2024-01-08 21:51:21,514 - jani.py - constructing the quotient...
2024-01-08 21:51:22,060 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 21:51:22,215 - sketch.py - sketch parsing OK
2024-01-08 21:51:22,215 - sketch.py - constructed explicit quotient having 9007 states and 139969 actions
2024-01-08 21:51:22,216 - sketch.py - found the following specification constraints: P>=7/10 [F ((w1 & w2) & w6)]; 
2024-01-08 21:51:22,303 - mdp_family.py - associating choices with action labels...
2024-01-08 21:51:22,472 - synthesizer.py - evaluation initiated, design space: 1620000
> Progress 0.047%, elapsed 3 s, estimated 6329 s, iters = {MDP: 769}
> Progress 0.093%, elapsed 6 s, estimated 6389 s, iters = {MDP: 1523}
> Progress 0.143%, elapsed 9 s, estimated 6285 s, iters = {MDP: 2322}
> Progress 0.183%, elapsed 12 s, estimated 6546 s, iters = {MDP: 2972}
> Progress 0.222%, elapsed 15 s, estimated 6744 s, iters = {MDP: 3606}
> Progress 0.271%, elapsed 18 s, estimated 6622 s, iters = {MDP: 4407}
> Progress 0.319%, elapsed 21 s, estimated 6568 s, iters = {MDP: 5184}
> Progress 0.368%, elapsed 24 s, estimated 6522 s, iters = {MDP: 5966}
> Progress 0.417%, elapsed 27 s, estimated 6476 s, iters = {MDP: 6759}
> Progress 0.463%, elapsed 30 s, estimated 6469 s, iters = {MDP: 7517}
> Progress 0.509%, elapsed 33 s, estimated 6475 s, iters = {MDP: 8262}
> Progress 0.553%, elapsed 36 s, estimated 6502 s, iters = {MDP: 8975}
> Progress 0.601%, elapsed 39 s, estimated 6484 s, iters = {MDP: 9751}
> Progress 0.649%, elapsed 42 s, estimated 6466 s, iters = {MDP: 10529}
> Progress 0.697%, elapsed 45 s, estimated 6452 s, iters = {MDP: 11307}
> Progress 0.745%, elapsed 48 s, estimated 6440 s, iters = {MDP: 12083}
