2024-01-08 19:41:21,342 - cli.py - This is Paynt version 0.1.0.
2024-01-08 19:41:21,342 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/int-holes/operator-roz/sketch.templ ...
2024-01-08 19:41:21,342 - sketch.py - assuming sketch in PRISM format...
2024-01-08 19:41:21,350 - prism_parser.py - PRISM model type: MDP
2024-01-08 19:41:21,350 - prism_parser.py - processing hole definitions...
2024-01-08 19:41:21,351 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/int-holes/operator-roz/sketch.props ...
2024-01-08 19:41:21,351 - prism_parser.py - found the following specification: constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-08 19:41:21,351 - jani.py - constructing JANI program...
2024-01-08 19:41:21,396 - jani.py - constructing the quotient...
2024-01-08 19:41:22,602 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 19:41:22,944 - sketch.py - sketch parsing OK
2024-01-08 19:41:22,945 - sketch.py - constructed explicit quotient having 17927 states and 295017 actions
2024-01-08 19:41:22,945 - sketch.py - found the following specification constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-08 19:41:23,097 - mdp_family.py - associating choices with action labels...
2024-01-08 19:41:23,480 - synthesizer.py - evaluation initiated, design space: 14400
> Progress 3.666%, elapsed 3 s, estimated 81 s, iters = {MDP: 529}
> Progress 7.069%, elapsed 6 s, estimated 84 s, iters = {MDP: 1019}
> Progress 10.256%, elapsed 9 s, estimated 87 s, iters = {MDP: 1478}
> Progress 12.819%, elapsed 12 s, estimated 93 s, iters = {MDP: 1847}
> Progress 15.395%, elapsed 15 s, estimated 97 s, iters = {MDP: 2218}
> Progress 17.486%, elapsed 18 s, estimated 103 s, iters = {MDP: 2519}
> Progress 19.659%, elapsed 21 s, estimated 106 s, iters = {MDP: 2832}
> Progress 21.451%, elapsed 24 s, estimated 112 s, iters = {MDP: 3090}
> Progress 23.326%, elapsed 27 s, estimated 115 s, iters = {MDP: 3360}
> Progress 25.104%, elapsed 30 s, estimated 119 s, iters = {MDP: 3616}
> Progress 26.562%, elapsed 33 s, estimated 124 s, iters = {MDP: 3826}
> Progress 28.145%, elapsed 36 s, estimated 128 s, iters = {MDP: 4054}
> Progress 29.729%, elapsed 39 s, estimated 131 s, iters = {MDP: 4282}
> Progress 30.986%, elapsed 42 s, estimated 135 s, iters = {MDP: 4463}
> Progress 32.284%, elapsed 45 s, estimated 139 s, iters = {MDP: 4650}
> Progress 33.569%, elapsed 48 s, estimated 143 s, iters = {MDP: 4835}
> Progress 34.847%, elapsed 51 s, estimated 146 s, iters = {MDP: 5019}
> Progress 35.916%, elapsed 54 s, estimated 150 s, iters = {MDP: 5173}
> Progress 36.888%, elapsed 57 s, estimated 154 s, iters = {MDP: 5313}
> Progress 37.826%, elapsed 60 s, estimated 159 s, iters = {MDP: 5448}
> Progress 38.951%, elapsed 63 s, estimated 162 s, iters = {MDP: 5610}
> Progress 40.069%, elapsed 66 s, estimated 165 s, iters = {MDP: 5771}
> Progress 40.972%, elapsed 69 s, estimated 168 s, iters = {MDP: 5901}
> Progress 41.937%, elapsed 72 s, estimated 172 s, iters = {MDP: 6040}
> Progress 42.944%, elapsed 75 s, estimated 175 s, iters = {MDP: 6185}
> Progress 43.937%, elapsed 78 s, estimated 178 s, iters = {MDP: 6328}
> Progress 44.937%, elapsed 81 s, estimated 180 s, iters = {MDP: 6472}
> Progress 45.75%, elapsed 84 s, estimated 184 s, iters = {MDP: 6589}
> Progress 46.59%, elapsed 87 s, estimated 187 s, iters = {MDP: 6710}
> Progress 47.437%, elapsed 90 s, estimated 190 s, iters = {MDP: 6832}
> Progress 48.284%, elapsed 93 s, estimated 193 s, iters = {MDP: 6954}
