2024-01-08 19:29:06,742 - cli.py - This is Paynt version 0.1.0.
2024-01-08 19:29:06,743 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/int-holes/roz-big/sketch.templ ...
2024-01-08 19:29:06,743 - sketch.py - assuming sketch in PRISM format...
2024-01-08 19:29:06,751 - prism_parser.py - PRISM model type: MDP
2024-01-08 19:29:06,751 - prism_parser.py - processing hole definitions...
2024-01-08 19:29:06,752 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/int-holes/roz-big/sketch.props ...
2024-01-08 19:29:06,752 - prism_parser.py - found the following specification: constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-08 19:29:06,752 - jani.py - constructing JANI program...
2024-01-08 19:29:06,763 - jani.py - constructing the quotient...
2024-01-08 19:29:07,537 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 19:29:07,707 - sketch.py - sketch parsing OK
2024-01-08 19:29:07,708 - sketch.py - constructed explicit quotient having 17927 states and 192109 actions
2024-01-08 19:29:07,708 - sketch.py - found the following specification constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-08 19:29:07,817 - mdp_family.py - associating choices with action labels...
2024-01-08 19:29:08,085 - synthesizer.py - evaluation initiated, design space: 40500
> Progress 1.582%, elapsed 3 s, estimated 189 s, iters = {MDP: 642}
> Progress 2.958%, elapsed 6 s, estimated 203 s, iters = {MDP: 1199}
> Progress 4.637%, elapsed 9 s, estimated 194 s, iters = {MDP: 1879}
> Progress 6.113%, elapsed 12 s, estimated 196 s, iters = {MDP: 2477}
> Progress 7.535%, elapsed 15 s, estimated 199 s, iters = {MDP: 3053}
> Progress 8.925%, elapsed 18 s, estimated 201 s, iters = {MDP: 3616}
> Progress 10.244%, elapsed 21 s, estimated 205 s, iters = {MDP: 4150}
> Progress 11.34%, elapsed 24 s, estimated 211 s, iters = {MDP: 4594}
> Progress 12.466%, elapsed 27 s, estimated 216 s, iters = {MDP: 5050}
> Progress 13.6%, elapsed 30 s, estimated 220 s, iters = {MDP: 5509}
> Progress 14.767%, elapsed 33 s, estimated 223 s, iters = {MDP: 5982}
> Progress 15.683%, elapsed 36 s, estimated 229 s, iters = {MDP: 6353}
> Progress 16.572%, elapsed 39 s, estimated 235 s, iters = {MDP: 6713}
> Progress 17.441%, elapsed 42 s, estimated 241 s, iters = {MDP: 7065}
> Progress 18.36%, elapsed 45 s, estimated 245 s, iters = {MDP: 7437}
> Progress 19.276%, elapsed 48 s, estimated 249 s, iters = {MDP: 7808}
