2024-01-08 19:58:43,275 - cli.py - This is Paynt version 0.1.0.
2024-01-08 19:58:43,275 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/dpm/int-holes/switch-big-q10/sketch.templ ...
2024-01-08 19:58:43,275 - sketch.py - assuming sketch in PRISM format...
2024-01-08 19:58:43,277 - prism_parser.py - PRISM model type: MDP
2024-01-08 19:58:43,277 - prism_parser.py - processing hole definitions...
2024-01-08 19:58:43,278 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/dpm/int-holes/switch-big-q10/sketch.props ...
2024-01-08 19:58:43,278 - prism_parser.py - found the following specification: constraints: P>=9/10 [F ((bat = 0) & (lost = 0))]; 
2024-01-08 19:58:43,278 - jani.py - constructing JANI program...
2024-01-08 19:58:43,284 - jani.py - constructing the quotient...
2024-01-08 19:58:43,713 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 19:58:43,882 - sketch.py - sketch parsing OK
2024-01-08 19:58:43,883 - sketch.py - constructed explicit quotient having 8767 states and 117194 actions
2024-01-08 19:58:43,883 - sketch.py - found the following specification constraints: P>=9/10 [F ((bat = 0) & (lost = 0))]; 
2024-01-08 19:58:43,979 - mdp_family.py - associating choices with action labels...
2024-01-08 19:58:44,075 - synthesizer.py - evaluation initiated, design space: 131220
> Progress 0.236%, elapsed 3 s, estimated 1270 s, iters = {MDP: 311}
> Progress 0.443%, elapsed 6 s, estimated 1354 s, iters = {MDP: 583}
> Progress 0.644%, elapsed 9 s, estimated 1398 s, iters = {MDP: 847}
> Progress 0.851%, elapsed 12 s, estimated 1411 s, iters = {MDP: 1118}
> Progress 1.051%, elapsed 15 s, estimated 1429 s, iters = {MDP: 1381}
> Progress 1.256%, elapsed 18 s, estimated 1435 s, iters = {MDP: 1650}
> Progress 1.489%, elapsed 21 s, estimated 1413 s, iters = {MDP: 1955}
> Progress 1.697%, elapsed 24 s, estimated 1417 s, iters = {MDP: 2228}
> Progress 1.889%, elapsed 27 s, estimated 1431 s, iters = {MDP: 2481}
> Progress 2.077%, elapsed 30 s, estimated 1447 s, iters = {MDP: 2727}
> Progress 2.277%, elapsed 33 s, estimated 1451 s, iters = {MDP: 2990}
> Progress 2.474%, elapsed 36 s, estimated 1457 s, iters = {MDP: 3248}
> Progress 2.709%, elapsed 39 s, estimated 1442 s, iters = {MDP: 3557}
> Progress 2.923%, elapsed 42 s, estimated 1439 s, iters = {MDP: 3837}
> Progress 3.13%, elapsed 45 s, estimated 1440 s, iters = {MDP: 4109}
> Progress 3.335%, elapsed 48 s, estimated 1441 s, iters = {MDP: 4378}
> Progress 3.518%, elapsed 51 s, estimated 1452 s, iters = {MDP: 4618}
> Progress 3.677%, elapsed 54 s, estimated 1471 s, iters = {MDP: 4826}
> Progress 3.882%, elapsed 57 s, estimated 1471 s, iters = {MDP: 5095}
> Progress 4.099%, elapsed 60 s, estimated 1466 s, iters = {MDP: 5381}
> Progress 4.306%, elapsed 63 s, estimated 1465 s, iters = {MDP: 5652}
> Progress 4.507%, elapsed 66 s, estimated 1466 s, iters = {MDP: 5916}
