2024-01-08 19:51:21,398 - cli.py - This is Paynt version 0.1.0.
2024-01-08 19:51:21,398 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/dpm/int-holes/switch/sketch.templ ...
2024-01-08 19:51:21,398 - sketch.py - assuming sketch in PRISM format...
2024-01-08 19:51:21,401 - prism_parser.py - PRISM model type: MDP
2024-01-08 19:51:21,401 - prism_parser.py - processing hole definitions...
2024-01-08 19:51:21,401 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/dpm/int-holes/switch/sketch.props ...
2024-01-08 19:51:21,402 - prism_parser.py - found the following specification: constraints: P>=19/20 [F ((bat = 0) & (lost = 0))]; 
2024-01-08 19:51:21,402 - jani.py - constructing JANI program...
2024-01-08 19:51:21,486 - jani.py - constructing the quotient...
2024-01-08 19:51:22,277 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 19:51:22,590 - sketch.py - sketch parsing OK
2024-01-08 19:51:22,590 - sketch.py - constructed explicit quotient having 1594 states and 186170 actions
2024-01-08 19:51:22,590 - sketch.py - found the following specification constraints: P>=19/20 [F ((bat = 0) & (lost = 0))]; 
2024-01-08 19:51:22,732 - mdp_family.py - associating choices with action labels...
2024-01-08 19:51:22,894 - synthesizer.py - evaluation initiated, design space: 1312200
> Progress 0.072%, elapsed 3 s, estimated 4167 s, iters = {MDP: 947}
> Progress 0.138%, elapsed 6 s, estimated 4327 s, iters = {MDP: 1822}
> Progress 0.216%, elapsed 9 s, estimated 4158 s, iters = {MDP: 2843}
> Progress 0.291%, elapsed 12 s, estimated 4122 s, iters = {MDP: 3824}
> Progress 0.366%, elapsed 15 s, estimated 4094 s, iters = {MDP: 4811}
> Progress 0.437%, elapsed 18 s, estimated 4119 s, iters = {MDP: 5738}
> Progress 0.505%, elapsed 21 s, estimated 4153 s, iters = {MDP: 6639}
> Progress 0.571%, elapsed 24 s, estimated 4204 s, iters = {MDP: 7495}
> Progress 0.634%, elapsed 27 s, estimated 4257 s, iters = {MDP: 8328}
> Progress 0.697%, elapsed 30 s, estimated 4306 s, iters = {MDP: 9148}
> Progress 0.756%, elapsed 33 s, estimated 4362 s, iters = {MDP: 9933}
> Progress 0.815%, elapsed 36 s, estimated 4418 s, iters = {MDP: 10698}
> Progress 0.868%, elapsed 39 s, estimated 4491 s, iters = {MDP: 11403}
> Progress 0.921%, elapsed 42 s, estimated 4562 s, iters = {MDP: 12087}
> Progress 0.971%, elapsed 45 s, estimated 4636 s, iters = {MDP: 12745}
> Progress 1.02%, elapsed 48 s, estimated 4705 s, iters = {MDP: 13395}
> Progress 1.066%, elapsed 51 s, estimated 4783 s, iters = {MDP: 13999}
> Progress 1.108%, elapsed 54 s, estimated 4875 s, iters = {MDP: 14545}
> Progress 1.147%, elapsed 57 s, estimated 4971 s, iters = {MDP: 15056}
> Progress 1.186%, elapsed 60 s, estimated 5061 s, iters = {MDP: 15566}
> Progress 1.228%, elapsed 63 s, estimated 5129 s, iters = {MDP: 16127}
> Progress 1.306%, elapsed 66 s, estimated 5053 s, iters = {MDP: 17150}
> Progress 1.383%, elapsed 69 s, estimated 4991 s, iters = {MDP: 18154}
> Progress 1.459%, elapsed 72 s, estimated 4937 s, iters = {MDP: 19149}
> Progress 1.534%, elapsed 75 s, estimated 4890 s, iters = {MDP: 20137}
> Progress 1.601%, elapsed 78 s, estimated 4873 s, iters = {MDP: 21017}
> Progress 1.664%, elapsed 81 s, estimated 4870 s, iters = {MDP: 21840}
> Progress 1.731%, elapsed 84 s, estimated 4854 s, iters = {MDP: 22721}
> Progress 1.799%, elapsed 87 s, estimated 4839 s, iters = {MDP: 23608}
> Progress 1.863%, elapsed 90 s, estimated 4831 s, iters = {MDP: 24459}
> Progress 1.923%, elapsed 93 s, estimated 4837 s, iters = {MDP: 25243}
> Progress 1.982%, elapsed 96 s, estimated 4845 s, iters = {MDP: 26017}
> Progress 2.04%, elapsed 99 s, estimated 4854 s, iters = {MDP: 26777}
> Progress 2.095%, elapsed 102 s, estimated 4870 s, iters = {MDP: 27501}
> Progress 2.15%, elapsed 105 s, estimated 4886 s, iters = {MDP: 28216}
> Progress 2.202%, elapsed 108 s, estimated 4907 s, iters = {MDP: 28896}
> Progress 2.245%, elapsed 111 s, estimated 4945 s, iters = {MDP: 29473}
> Progress 2.29%, elapsed 114 s, estimated 4980 s, iters = {MDP: 30057}
> Progress 2.338%, elapsed 117 s, estimated 5006 s, iters = {MDP: 30688}
> Progress 2.383%, elapsed 120 s, estimated 5038 s, iters = {MDP: 31276}
> Progress 2.428%, elapsed 123 s, estimated 5068 s, iters = {MDP: 31871}
> Progress 2.479%, elapsed 126 s, estimated 5086 s, iters = {MDP: 32531}
> Progress 2.567%, elapsed 129 s, estimated 5028 s, iters = {MDP: 33690}
> Progress 2.647%, elapsed 132 s, estimated 4988 s, iters = {MDP: 34747}
> Progress 2.722%, elapsed 135 s, estimated 4961 s, iters = {MDP: 35730}
> Progress 2.794%, elapsed 138 s, estimated 4941 s, iters = {MDP: 36672}
> Progress 2.866%, elapsed 141 s, estimated 4923 s, iters = {MDP: 37609}
> Progress 2.935%, elapsed 144 s, estimated 4908 s, iters = {MDP: 38524}
> Progress 2.999%, elapsed 147 s, estimated 4903 s, iters = {MDP: 39364}
> Progress 3.061%, elapsed 150 s, estimated 4903 s, iters = {MDP: 40175}
