2024-01-08 18:54:05,992 - cli.py - This is Paynt version 0.1.0.
2024-01-08 18:54:05,992 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/obstacles/10-6-skip/sketch.templ ...
2024-01-08 18:54:05,992 - sketch.py - assuming sketch in PRISM format...
2024-01-08 18:54:05,995 - prism_parser.py - PRISM model type: MDP
2024-01-08 18:54:05,995 - prism_parser.py - processing hole definitions...
2024-01-08 18:54:05,996 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/obstacles/10-6-skip/sketch.props ...
2024-01-08 18:54:05,997 - prism_parser.py - found the following specification: constraints: P>9/10 [F ((x = 10) & (y = 10))]; 
2024-01-08 18:54:05,997 - jani.py - constructing JANI program...
2024-01-08 18:54:06,000 - jani.py - constructing the quotient...
2024-01-08 18:54:06,016 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 18:54:06,018 - sketch.py - sketch parsing OK
2024-01-08 18:54:06,018 - sketch.py - constructed explicit quotient having 754 states and 1603 actions
2024-01-08 18:54:06,018 - sketch.py - found the following specification constraints: P>9/10 [F ((x = 10) & (y = 10))]; 
2024-01-08 18:54:06,018 - mdp_family.py - associating choices with action labels...
2024-01-08 18:54:06,043 - synthesizer.py - evaluation initiated, design space: 944784
> Progress 0.419%, elapsed 3 s, estimated 714 s, iters = {MDP: 3968}
> Progress 0.816%, elapsed 6 s, estimated 734 s, iters = {MDP: 7717}
> Progress 1.236%, elapsed 9 s, estimated 727 s, iters = {MDP: 11684}
> Progress 1.647%, elapsed 12 s, estimated 728 s, iters = {MDP: 15562}
> Progress 2.044%, elapsed 15 s, estimated 733 s, iters = {MDP: 19317}
> Progress 2.444%, elapsed 18 s, estimated 736 s, iters = {MDP: 23099}
> Progress 2.827%, elapsed 21 s, estimated 742 s, iters = {MDP: 26716}
> Progress 3.185%, elapsed 24 s, estimated 753 s, iters = {MDP: 30100}
> Progress 3.606%, elapsed 27 s, estimated 748 s, iters = {MDP: 34073}
> Progress 4.008%, elapsed 30 s, estimated 748 s, iters = {MDP: 37876}
> Progress 4.398%, elapsed 33 s, estimated 750 s, iters = {MDP: 41556}
> Progress 4.796%, elapsed 36 s, estimated 750 s, iters = {MDP: 45317}
> Progress 5.217%, elapsed 39 s, estimated 747 s, iters = {MDP: 49291}
> Progress 5.632%, elapsed 42 s, estimated 745 s, iters = {MDP: 53212}
> Progress 6.048%, elapsed 45 s, estimated 744 s, iters = {MDP: 57144}
> Progress 6.444%, elapsed 48 s, estimated 744 s, iters = {MDP: 60887}
> Progress 6.865%, elapsed 51 s, estimated 742 s, iters = {MDP: 64868}
> Progress 7.253%, elapsed 54 s, estimated 744 s, iters = {MDP: 68531}
> Progress 7.655%, elapsed 57 s, estimated 744 s, iters = {MDP: 72331}
> Progress 8.085%, elapsed 60 s, estimated 742 s, iters = {MDP: 76393}
> Progress 8.483%, elapsed 63 s, estimated 742 s, iters = {MDP: 80148}
> Progress 8.895%, elapsed 66 s, estimated 742 s, iters = {MDP: 84042}
> Progress 9.322%, elapsed 69 s, estimated 740 s, iters = {MDP: 88075}
> Progress 9.73%, elapsed 72 s, estimated 740 s, iters = {MDP: 91934}
> Progress 10.128%, elapsed 75 s, estimated 740 s, iters = {MDP: 95691}
> Progress 10.543%, elapsed 78 s, estimated 739 s, iters = {MDP: 99616}
> Progress 10.93%, elapsed 81 s, estimated 741 s, iters = {MDP: 103268}
> Progress 11.356%, elapsed 84 s, estimated 739 s, iters = {MDP: 107299}
> Progress 11.764%, elapsed 87 s, estimated 739 s, iters = {MDP: 111146}
> Progress 12.182%, elapsed 90 s, estimated 738 s, iters = {MDP: 115097}
> Progress 12.602%, elapsed 93 s, estimated 738 s, iters = {MDP: 119067}
> Progress 13.002%, elapsed 96 s, estimated 738 s, iters = {MDP: 122848}
> Progress 13.384%, elapsed 99 s, estimated 739 s, iters = {MDP: 126459}
> Progress 13.752%, elapsed 102 s, estimated 742 s, iters = {MDP: 129929}
> Progress 14.17%, elapsed 105 s, estimated 741 s, iters = {MDP: 133883}
> Progress 14.585%, elapsed 108 s, estimated 740 s, iters = {MDP: 137800}
> Progress 14.992%, elapsed 111 s, estimated 740 s, iters = {MDP: 141648}
> Progress 15.402%, elapsed 114 s, estimated 740 s, iters = {MDP: 145525}
> Progress 15.799%, elapsed 117 s, estimated 740 s, iters = {MDP: 149269}
> Progress 16.17%, elapsed 120 s, estimated 742 s, iters = {MDP: 152774}
> Progress 16.568%, elapsed 123 s, estimated 742 s, iters = {MDP: 156534}
> Progress 16.987%, elapsed 126 s, estimated 742 s, iters = {MDP: 160494}
> Progress 17.364%, elapsed 129 s, estimated 743 s, iters = {MDP: 164058}
> Progress 17.698%, elapsed 132 s, estimated 746 s, iters = {MDP: 167218}
> Progress 18.099%, elapsed 135 s, estimated 746 s, iters = {MDP: 171001}
