2024-01-08 05:39:51,797 - cli.py - This is Paynt version 0.1.0.
2024-01-08 05:39:51,797 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/avoid/8-4/sketch.templ ...
2024-01-08 05:39:51,797 - sketch.py - assuming sketch in PRISM format...
2024-01-08 05:39:51,801 - prism_parser.py - PRISM model type: MDP
2024-01-08 05:39:51,801 - prism_parser.py - processing hole definitions...
2024-01-08 05:39:51,801 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/avoid/8-4/sketch.props ...
2024-01-08 05:39:51,802 - prism_parser.py - found the following specification: constraints: P>9/10 [F ((x = 8) & (y = 8))]; 
2024-01-08 05:39:51,802 - jani.py - constructing JANI program...
2024-01-08 05:39:51,806 - jani.py - constructing the quotient...
2024-01-08 05:40:01,662 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 05:40:07,476 - sketch.py - sketch parsing OK
2024-01-08 05:40:07,476 - sketch.py - constructed explicit quotient having 2391041 states and 6523904 actions
2024-01-08 05:40:07,477 - sketch.py - found the following specification constraints: P>9/10 [F ((x = 8) & (y = 8))]; 
2024-01-08 05:40:10,137 - mdp_family.py - associating choices with action labels...
2024-01-08 05:40:26,586 - synthesizer.py - evaluation initiated, design space: 1048576
> Progress 0.0%, elapsed 109 s, estimated 109614950 s (3 years), iters = {game: 1}
> Progress 0.0%, elapsed 112 s, estimated 112739696 s (3 years), iters = {game: 1, MDP: 1}
> Progress 0.0%, elapsed 355 s, estimated 355317288 s (11 years), iters = {game: 2, MDP: 1}
> Progress 0.0%, elapsed 365 s, estimated 365170914 s (11 years), iters = {game: 2, MDP: 2}
> Progress 0.0%, elapsed 495 s, estimated 495616661 s (15 years), iters = {game: 3, MDP: 2}
> Progress 6.25%, elapsed 570 s, estimated 9123 s (2 hours), iters = {game: 4, MDP: 3}
> Progress 6.25%, elapsed 582 s, estimated 9313 s (2 hours), iters = {game: 4, MDP: 4}
> Progress 12.5%, elapsed 656 s, estimated 5251 s, iters = {game: 5, MDP: 4}
> Progress 18.75%, elapsed 734 s, estimated 3917 s, iters = {game: 6, MDP: 5}
> Progress 18.75%, elapsed 737 s, estimated 3935 s, iters = {game: 6, MDP: 6}
> Progress 25.0%, elapsed 872 s, estimated 3491 s, iters = {game: 7, MDP: 6}
> Progress 25.0%, elapsed 883 s, estimated 3532 s, iters = {game: 7, MDP: 7}
> Progress 25.0%, elapsed 1003 s, estimated 4013 s, iters = {game: 8, MDP: 7}
> Progress 31.25%, elapsed 1073 s, estimated 3436 s, iters = {game: 9, MDP: 8}
> Progress 31.25%, elapsed 1087 s, estimated 3481 s, iters = {game: 9, MDP: 9}
> Progress 37.5%, elapsed 1157 s, estimated 3086 s, iters = {game: 10, MDP: 9}
> Progress 37.5%, elapsed 1169 s, estimated 3117 s, iters = {game: 10, MDP: 10}
> Progress 43.75%, elapsed 1238 s, estimated 2831 s, iters = {game: 11, MDP: 10}
> Progress 50.0%, elapsed 1369 s, estimated 2738 s, iters = {game: 12, MDP: 11}
> Progress 50.0%, elapsed 1379 s, estimated 2758 s, iters = {game: 12, MDP: 12}
> Progress 50.0%, elapsed 1494 s, estimated 2988 s, iters = {game: 13, MDP: 12}
> Progress 56.25%, elapsed 1566 s, estimated 2784 s, iters = {game: 14, MDP: 13}
> Progress 56.25%, elapsed 1580 s, estimated 2809 s, iters = {game: 14, MDP: 14}
> Progress 62.5%, elapsed 1650 s, estimated 2640 s, iters = {game: 15, MDP: 14}
> Progress 62.5%, elapsed 1661 s, estimated 2659 s, iters = {game: 15, MDP: 15}
> Progress 68.75%, elapsed 1732 s, estimated 2519 s, iters = {game: 16, MDP: 15}
