2024-01-08 15:04:15,691 - cli.py - This is Paynt version 0.1.0.
2024-01-08 15:04:15,691 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rover/int-holes/100-big/sketch.templ ...
2024-01-08 15:04:15,691 - sketch.py - assuming sketch in PRISM format...
2024-01-08 15:04:15,693 - prism_parser.py - PRISM model type: MDP
2024-01-08 15:04:15,693 - prism_parser.py - processing hole definitions...
2024-01-08 15:04:15,694 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rover/int-holes/100-big/sketch.props ...
2024-01-08 15:04:15,695 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-08 15:04:15,695 - jani.py - constructing JANI program...
2024-01-08 15:04:15,699 - jani.py - constructing the quotient...
2024-01-08 15:04:15,784 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 15:04:15,825 - sketch.py - sketch parsing OK
2024-01-08 15:04:15,825 - sketch.py - constructed explicit quotient having 1703 states and 50203 actions
2024-01-08 15:04:15,825 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-08 15:04:15,832 - mdp_family.py - associating choices with action labels...
2024-01-08 15:04:15,878 - synthesizer.py - evaluation initiated, design space: 24300000
> Progress 0.182%, elapsed 3 s, estimated 1643 s, iters = {game: 697, MDP: 993}
> Progress 0.29%, elapsed 6 s, estimated 2068 s, iters = {game: 1453, MDP: 2136}
> Progress 0.352%, elapsed 9 s, estimated 2557 s, iters = {game: 2202, MDP: 3284}
> Progress 0.413%, elapsed 12 s, estimated 2903 s, iters = {game: 3062, MDP: 4609}
> Progress 0.444%, elapsed 15 s, estimated 3378 s, iters = {game: 3642, MDP: 5515}
> Progress 0.477%, elapsed 18 s, estimated 3769 s, iters = {game: 4518, MDP: 6865}
> Progress 0.6%, elapsed 21 s, estimated 3496 s, iters = {game: 5295, MDP: 8006}
> Progress 1.093%, elapsed 24 s, estimated 2196 s, iters = {game: 6056, MDP: 8767}
> Progress 1.907%, elapsed 27 s, estimated 1415 s, iters = {game: 6912, MDP: 9623}
> Progress 2.393%, elapsed 30 s, estimated 1253 s, iters = {game: 7860, MDP: 10571}
> Progress 2.934%, elapsed 33 s, estimated 1124 s, iters = {game: 8536, MDP: 11349}
> Progress 3.484%, elapsed 36 s, estimated 1033 s, iters = {game: 9334, MDP: 12163}
> Progress 3.95%, elapsed 39 s, estimated 987 s, iters = {game: 10055, MDP: 12883}
> Progress 4.444%, elapsed 42 s, estimated 945 s, iters = {game: 10826, MDP: 13655}
> Progress 5.241%, elapsed 45 s, estimated 858 s, iters = {game: 11700, MDP: 14528}
> Progress 5.735%, elapsed 48 s, estimated 837 s, iters = {game: 12624, MDP: 15452}
> Progress 6.344%, elapsed 51 s, estimated 804 s, iters = {game: 13306, MDP: 16134}
> Progress 6.929%, elapsed 54 s, estimated 779 s, iters = {game: 14088, MDP: 16916}
