2024-01-08 14:24:00,600 - cli.py - This is Paynt version 0.1.0.
2024-01-08 14:24:00,600 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/int-holes/operator-roz-big/sketch.templ ...
2024-01-08 14:24:00,600 - sketch.py - assuming sketch in PRISM format...
2024-01-08 14:24:00,607 - prism_parser.py - PRISM model type: MDP
2024-01-08 14:24:00,607 - prism_parser.py - processing hole definitions...
2024-01-08 14:24:00,607 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/int-holes/operator-roz-big/sketch.props ...
2024-01-08 14:24:00,608 - prism_parser.py - found the following specification: constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-08 14:24:00,608 - jani.py - constructing JANI program...
2024-01-08 14:24:00,645 - jani.py - constructing the quotient...
2024-01-08 14:24:01,711 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 14:24:02,042 - sketch.py - sketch parsing OK
2024-01-08 14:24:02,043 - sketch.py - constructed explicit quotient having 17927 states and 295977 actions
2024-01-08 14:24:02,043 - sketch.py - found the following specification constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-08 14:24:02,190 - mdp_family.py - associating choices with action labels...
2024-01-08 14:24:02,542 - synthesizer.py - evaluation initiated, design space: 360000
> Progress 3.222%, elapsed 3 s, estimated 95 s, iters = {game: 12, MDP: 11}
> Progress 3.3%, elapsed 6 s, estimated 186 s, iters = {game: 25, MDP: 26}
> Progress 3.305%, elapsed 9 s, estimated 284 s, iters = {game: 38, MDP: 47}
> Progress 3.322%, elapsed 12 s, estimated 377 s, iters = {game: 51, MDP: 64}
> Progress 3.326%, elapsed 15 s, estimated 473 s, iters = {game: 64, MDP: 83}
> Progress 3.331%, elapsed 18 s, estimated 567 s, iters = {game: 77, MDP: 96}
> Progress 8.277%, elapsed 22 s, estimated 266 s, iters = {game: 94, MDP: 113}
> Progress 8.302%, elapsed 25 s, estimated 304 s, iters = {game: 109, MDP: 132}
> Progress 8.319%, elapsed 28 s, estimated 340 s, iters = {game: 123, MDP: 152}
> Progress 8.325%, elapsed 31 s, estimated 376 s, iters = {game: 137, MDP: 174}
> Progress 8.33%, elapsed 34 s, estimated 413 s, iters = {game: 151, MDP: 190}
> Progress 13.111%, elapsed 37 s, estimated 286 s, iters = {game: 169, MDP: 208}
> Progress 13.221%, elapsed 40 s, estimated 306 s, iters = {game: 195, MDP: 242}
> Progress 13.301%, elapsed 43 s, estimated 328 s, iters = {game: 212, MDP: 265}
> Progress 13.319%, elapsed 46 s, estimated 350 s, iters = {game: 228, MDP: 287}
> Progress 13.326%, elapsed 49 s, estimated 373 s, iters = {game: 244, MDP: 313}
> Progress 13.331%, elapsed 52 s, estimated 396 s, iters = {game: 260, MDP: 329}
> Progress 13.881%, elapsed 55 s, estimated 402 s, iters = {game: 278, MDP: 347}
> Progress 13.888%, elapsed 58 s, estimated 424 s, iters = {game: 293, MDP: 372}
> Progress 15.543%, elapsed 61 s, estimated 398 s, iters = {game: 337, MDP: 428}
> Progress 16.069%, elapsed 64 s, estimated 404 s, iters = {game: 381, MDP: 485}
> Progress 16.104%, elapsed 68 s, estimated 422 s, iters = {game: 424, MDP: 548}
> Progress 16.634%, elapsed 71 s, estimated 427 s, iters = {game: 468, MDP: 601}
> Progress 16.661%, elapsed 74 s, estimated 444 s, iters = {game: 510, MDP: 661}
> Progress 17.194%, elapsed 77 s, estimated 448 s, iters = {game: 554, MDP: 718}
> Progress 17.22%, elapsed 80 s, estimated 465 s, iters = {game: 597, MDP: 775}
> Progress 17.738%, elapsed 83 s, estimated 469 s, iters = {game: 644, MDP: 837}
> Progress 17.761%, elapsed 86 s, estimated 485 s, iters = {game: 689, MDP: 894}
> Progress 17.775%, elapsed 89 s, estimated 502 s, iters = {game: 733, MDP: 946}
> Progress 18.18%, elapsed 92 s, estimated 507 s, iters = {game: 803, MDP: 1038}
> Progress 18.212%, elapsed 95 s, estimated 523 s, iters = {game: 872, MDP: 1126}
> Progress 18.23%, elapsed 98 s, estimated 539 s, iters = {game: 931, MDP: 1200}
> Progress 18.247%, elapsed 101 s, estimated 555 s, iters = {game: 981, MDP: 1263}
> Progress 18.263%, elapsed 104 s, estimated 571 s, iters = {game: 1031, MDP: 1325}
> Progress 18.277%, elapsed 107 s, estimated 587 s, iters = {game: 1077, MDP: 1391}
> Progress 18.291%, elapsed 110 s, estimated 603 s, iters = {game: 1126, MDP: 1445}
> Progress 18.311%, elapsed 113 s, estimated 619 s, iters = {game: 1173, MDP: 1511}
2024-01-08 14:25:57,951 - policy_tree.py - game YES but nor forall family of size 400
2024-01-08 14:25:58,037 - policy_tree.py - game YES but nor forall family of size 200
2024-01-08 14:25:58,127 - policy_tree.py - game YES but nor forall family of size 100
2024-01-08 14:25:58,215 - policy_tree.py - game YES but nor forall family of size 50
2024-01-08 14:25:58,307 - policy_tree.py - game YES but nor forall family of size 25
2024-01-08 14:25:58,355 - policy_tree.py - game YES but nor forall family of size 15
2024-01-08 14:25:58,402 - policy_tree.py - game YES but nor forall family of size 10
2024-01-08 14:25:58,448 - policy_tree.py - game YES but nor forall family of size 5
2024-01-08 14:25:58,596 - policy_tree.py - game YES but nor forall family of size 5
2024-01-08 14:25:58,742 - policy_tree.py - game YES but nor forall family of size 5
2024-01-08 14:25:58,887 - policy_tree.py - game YES but nor forall family of size 10
2024-01-08 14:25:58,935 - policy_tree.py - game YES but nor forall family of size 5
> Progress 18.775%, elapsed 116 s, estimated 620 s, iters = {game: 1226, MDP: 1586}
2024-01-08 14:25:59,083 - policy_tree.py - game YES but nor forall family of size 5
> Progress 18.805%, elapsed 119 s, estimated 635 s, iters = {game: 1275, MDP: 1649}
> Progress 18.827%, elapsed 122 s, estimated 650 s, iters = {game: 1323, MDP: 1708}
> Progress 18.843%, elapsed 125 s, estimated 665 s, iters = {game: 1371, MDP: 1770}
> Progress 18.856%, elapsed 128 s, estimated 681 s, iters = {game: 1417, MDP: 1827}
> Progress 18.87%, elapsed 131 s, estimated 696 s, iters = {game: 1463, MDP: 1885}
> Progress 19.388%, elapsed 134 s, estimated 693 s, iters = {game: 1508, MDP: 1947}
> Progress 19.436%, elapsed 137 s, estimated 707 s, iters = {game: 1551, MDP: 2008}
> Progress 19.966%, elapsed 140 s, estimated 704 s, iters = {game: 1595, MDP: 2061}
> Progress 19.994%, elapsed 143 s, estimated 718 s, iters = {game: 1638, MDP: 2123}
> Progress 20.493%, elapsed 146 s, estimated 715 s, iters = {game: 1707, MDP: 2216}
> Progress 20.53%, elapsed 149 s, estimated 729 s, iters = {game: 1790, MDP: 2323}
> Progress 21.047%, elapsed 152 s, estimated 725 s, iters = {game: 1874, MDP: 2436}
> Progress 21.084%, elapsed 155 s, estimated 738 s, iters = {game: 1958, MDP: 2545}
> Progress 21.602%, elapsed 158 s, estimated 734 s, iters = {game: 2043, MDP: 2660}
> Progress 21.64%, elapsed 161 s, estimated 747 s, iters = {game: 2127, MDP: 2768}
> Progress 22.156%, elapsed 164 s, estimated 743 s, iters = {game: 2211, MDP: 2881}
> Progress 22.195%, elapsed 167 s, estimated 756 s, iters = {game: 2296, MDP: 2990}
> Progress 22.687%, elapsed 170 s, estimated 752 s, iters = {game: 2384, MDP: 3103}
> Progress 22.715%, elapsed 173 s, estimated 765 s, iters = {game: 2474, MDP: 3213}
> Progress 22.74%, elapsed 176 s, estimated 777 s, iters = {game: 2561, MDP: 3331}
> Progress 23.1%, elapsed 179 s, estimated 778 s, iters = {game: 2662, MDP: 3470}
> Progress 23.163%, elapsed 182 s, estimated 789 s, iters = {game: 2786, MDP: 3640}
> Progress 23.204%, elapsed 185 s, estimated 801 s, iters = {game: 2910, MDP: 3799}
> Progress 23.234%, elapsed 188 s, estimated 813 s, iters = {game: 3017, MDP: 3943}
> Progress 23.777%, elapsed 191 s, estimated 807 s, iters = {game: 3124, MDP: 4089}
> Progress 23.811%, elapsed 194 s, estimated 818 s, iters = {game: 3217, MDP: 4205}
> Progress 24.361%, elapsed 197 s, estimated 812 s, iters = {game: 3305, MDP: 4334}
> Progress 24.405%, elapsed 200 s, estimated 823 s, iters = {game: 3387, MDP: 4444}
> Progress 24.915%, elapsed 203 s, estimated 818 s, iters = {game: 3472, MDP: 4554}
> Progress 24.961%, elapsed 206 s, estimated 829 s, iters = {game: 3556, MDP: 4667}
> Progress 25.452%, elapsed 209 s, estimated 824 s, iters = {game: 3649, MDP: 4788}
> Progress 25.486%, elapsed 212 s, estimated 835 s, iters = {game: 3760, MDP: 4924}
> Progress 26.0%, elapsed 216 s, estimated 830 s, iters = {game: 3866, MDP: 5080}
> Progress 26.034%, elapsed 219 s, estimated 841 s, iters = {game: 3978, MDP: 5222}
> Progress 26.083%, elapsed 222 s, estimated 851 s, iters = {game: 4087, MDP: 5371}
> Progress 26.58%, elapsed 225 s, estimated 846 s, iters = {game: 4196, MDP: 5519}
> Progress 26.618%, elapsed 228 s, estimated 856 s, iters = {game: 4306, MDP: 5662}
> Progress 27.128%, elapsed 231 s, estimated 851 s, iters = {game: 4415, MDP: 5812}
> Progress 27.166%, elapsed 234 s, estimated 861 s, iters = {game: 4523, MDP: 5957}
> Progress 27.666%, elapsed 237 s, estimated 856 s, iters = {game: 4637, MDP: 6116}
> Progress 27.706%, elapsed 240 s, estimated 866 s, iters = {game: 4751, MDP: 6267}
> Progress 28.129%, elapsed 243 s, estimated 864 s, iters = {game: 4893, MDP: 6457}
> Progress 28.18%, elapsed 246 s, estimated 873 s, iters = {game: 5049, MDP: 6629}
> Progress 28.736%, elapsed 249 s, estimated 866 s, iters = {game: 5196, MDP: 6825}
