ERROR (SpiritErrorHandler.h:27): Parsing error at 3:1:  expecting <model type>, here:
	@type: POMDP
	^

Finished exploring under-approximation MDP.
Start analysis...
starting Storm POMDP analysis
Storm value: 194.50658155392264
===========================
belief count: 1000
max prob >0.5: 300 (30.0%)
max prob >0.9: 117 (11.7%)
Observations (overall count: 2 - count: 2): 1: 506 (50.6%), 0: 494 (49.4%), 
Supports (overall count: 3 - count: 3): (17, 15, 13, 8): 506 (50.6%), (16, 14, 12, 11, 10, 9): 336 (33.6%), (16, 14, 12, 11, 10): 158 (15.8%), 
===========================
network 19 5 1000 30.0 11.7 2 2 3 3
constructing pomdps
True	296.579        298.782        298.782        367.071        295.362
False	296.579        298.782        298.782        367.071        295.362
True	187.771        298.782        298.782        180.689        185.242
False	186.461        298.782        298.782        179.681        185.242
True	337.034        306.542        305.169        355.289        331.86
False	337.034        306.542        306.542        354.986        331.86
True	274.446        306.542        305.169        231.255        274.458
False	275.306        306.542        306.542        231.255        274.458
True	288.957        306.542        305.169        231.255        288.09
False	288.957        306.542        306.542        231.255        288.09
True	281.313        306.542        305.169        231.255        280.457
False	281.313        306.542        306.542        231.255        280.457
True	260.561        298.782        298.782        180.689        259.439
False	260.561        298.782        298.782        179.681        259.439
True	332.318        306.542        305.169        367.071        327.271
False	332.318        306.542        306.542        367.071        327.271
True	289.283        306.542        305.169        231.255        289.295
False	290.164        306.542        306.542        231.255        289.295
True	284.899        298.782        298.782        359.644        283.694
False	284.899        298.782        298.782        359.644        283.694
True	334.662        306.542        305.169        367.071        328.922
False	334.662        306.542        306.542        367.071        328.922
True	290.12        306.542        305.169        231.255        290.132
False	291.003        306.542        306.542        231.255        290.132
True	282.979        298.782        298.782        180.689        281.79
False	282.979        298.782        298.782        179.681        281.79
True	196.532        298.782        298.782        180.689        193.748
False	195.161        298.782        298.782        179.681        193.748
True	303.498        306.542        305.169        317.932        302.623
False	303.498        306.542        306.542        317.932        302.623
True	349.5        327.041        305.169        367.071        341.391
False	349.5        327.041        306.542        367.071        341.391
True	333.43        306.542        305.169        367.071        328.082
False	333.43        306.542        306.542        367.071        328.082
True	331.069        306.542        305.169        367.071        326.363
False	331.069        306.542        306.542        367.071        326.363
True	330.608        306.542        305.169        367.071        326.041
False	330.608        306.542        306.542        367.071        326.041
True	265.263        298.782        298.782        180.689        264.105
False	265.263        298.782        298.782        179.681        264.105
True	333.192        306.542        305.169        367.071        327.914
False	333.192        306.542        306.542        367.071        327.914
True	197.547        298.782        298.782        180.689        196.105
False	197.547        298.782        298.782        179.681        196.105
True	352.718        327.041        305.169        367.071        343.287
False	352.718        327.041        306.542        367.071        343.287
True	300.183        298.782        298.782        367.071        298.959
False	300.183        298.782        298.782        367.071        298.959
True	261.177        298.782        298.782        180.689        260.052
False	261.177        298.782        298.782        179.681        260.052
True	180.689        298.782        298.782        180.689        178.929
False	179.681        298.782        298.782        179.681        178.929
True	310.007        306.542        305.169        355.289        309.105
False	310.007        306.542        306.542        354.986        309.105
True	351.877        327.041        305.169        367.071        342.86
False	351.877        327.041        306.542        367.071        342.86
True	264.521        298.782        298.782        180.689        263.387
False	264.521        298.782        298.782        179.681        263.387
