ERROR (SpiritErrorHandler.h:27): Parsing error at 3:1:  expecting <model type>, here:
	@type: POMDP
	^

Finished exploring under-approximation MDP.
Start analysis...
starting Storm POMDP analysis
Storm value: 1.7796398515164258
===========================
belief count: 1000
max prob >0.5: 837 (83.7%)
max prob >0.9: 216 (21.6%)
Observations (overall count: 2 - count: 2): 0: 378 (37.8%), 2: 622 (62.2%), 
Supports (overall count: 10 - count: 5): (17, 15, 13): 355 (35.5%), (18, 14, 11): 79 (7.9%), (19, 18, 14, 11): 463 (46.3%), (19, 18, 14): 70 (7.0%), (17, 15): 17 (1.7%), 
===========================
4x3-95 22 9 1000 83.7 21.6 2 2 10 5
constructing pomdps
True	1.98        1.932        1.932        2.128        1.921
False	1.98        1.932        1.932        2.128        1.921
True	2.331        1.797        1.963        2.344        0.536
False	2.331        1.797        1.963        2.344        0.536
True	2.044        1.963        1.963        2.344        0.192
False	2.044        1.963        1.963        2.344        0.192
True	2.29        2.1        1.963        2.344        0.476
False	2.29        2.1        1.963        2.344        0.476
True	2.107        1.963        1.963        2.551        0.148
False	2.107        1.963        1.963        2.551        0.148
True	1.802        1.852        1.932        1.802        -0.216
False	1.737        1.852        1.932        1.739        -0.216
True	2.146        1.932        1.932        2.183        -0.806
False	2.195        1.932        1.932        2.221        -0.806
True	1.885        1.963        1.963        2.344        0.012
False	1.885        1.963        1.963        2.344        0.012
True	1.802        1.852        1.932        1.802        -0.216
False	1.735        1.852        1.932        1.739        -0.216
True	1.845        2.1        1.963        1.774        -0.261
False	1.844        2.1        1.963        1.773        -0.261
True	1.751        1.963        1.963        1.774        -0.272
False	1.653        1.963        1.963        1.773        -0.272
True	1.942        1.963        1.963        2.344        0.079
False	1.942        1.963        1.963        2.344        0.079
True	2.325        1.963        1.963        2.344        0.513
False	2.325        1.963        1.963        2.344        0.513
True	2.221        1.963        1.963        2.344        0.402
False	2.221        1.963        1.963        2.344        0.402
True	2.148        1.932        1.932        2.221        -0.799
False	2.198        1.932        1.932        2.221        -0.799
True	2.549        2.1        1.963        2.551        0.639
False	2.549        2.1        1.963        2.551        0.639
True	2.022        1.963        1.963        2.344        0.179
False	2.022        1.963        1.963        2.344        0.179
True	1.797        1.963        1.963        1.774        -0.254
False	1.797        1.963        1.963        1.773        -0.254
True	2.017        1.932        1.932        2.128        -0.199
False	2.017        1.932        1.932        2.128        -0.199
True	2.266        1.963        1.963        2.344        0.434
False	2.266        1.963        1.963        2.344        0.434
True	2.004        1.932        1.932        2.221        -0.396
False	2.004        1.932        1.932        2.221        -0.396
True	1.885        1.963        1.963        1.774        -0.004
False	1.885        1.963        1.963        1.773        -0.004
True	2.034        1.963        1.963        2.551        0.029
False	2.034        1.963        1.963        2.551        0.029
True	2.107        1.932        1.932        2.128        0.434
False	2.107        1.932        1.932        2.128        0.434
True	2.065        1.963        1.963        2.344        0.21
False	2.065        1.963        1.963        2.344        0.21
True	2.079        1.932        1.932        2.128        0.402
False	2.079        1.932        1.932        2.128        0.402
True	1.889        1.963        1.963        1.909        -0.318
False	1.806        1.963        1.963        1.978        -0.318
True	1.849        1.797        1.963        1.909        -0.181
False	1.849        1.797        1.963        1.978        -0.181
