2024-01-03 18:52:16,378 - cli.py - This is Paynt version 0.1.0.
2024-01-03 18:52:16,378 - sketch.py - loading sketch from models/mdp/sketches/dpm/switch-big-q10/sketch.templ ...
2024-01-03 18:52:16,378 - sketch.py - assuming sketch in PRISM format...
2024-01-03 18:52:16,400 - prism_parser.py - PRISM model type: MDP
2024-01-03 18:52:16,400 - prism_parser.py - processing hole definitions...
2024-01-03 18:52:16,401 - prism_parser.py - loading properties from models/mdp/sketches/dpm/switch-big-q10/sketch.props ...
2024-01-03 18:52:16,406 - prism_parser.py - found the following specification: constraints: P>=9/10 [F ((bat = 0) & (lost = 0))]; 
2024-01-03 18:52:16,407 - jani.py - constructing JANI program...
2024-01-03 18:52:16,418 - jani.py - constructing the quotient...
2024-01-03 18:52:16,907 - jani.py - associating choices of the quotient with hole assignments...
2024-01-03 18:52:17,057 - sketch.py - sketch parsing OK
2024-01-03 18:52:17,058 - sketch.py - constructed explicit quotient having 8767 states and 117194 actions
2024-01-03 18:52:17,058 - sketch.py - found the following specification constraints: P>=9/10 [F ((bat = 0) & (lost = 0))]; 
2024-01-03 18:52:17,140 - mdp_family.py - associating choices with action labels...
2024-01-03 18:52:17,262 - synthesizer.py - evaluation initiated, design space: 131220
> Progress 0.255%, elapsed 3 s, estimated 1175 s, iters = {MDP: 336}
> Progress 0.482%, elapsed 6 s, estimated 1244 s, iters = {MDP: 634}
> Progress 0.707%, elapsed 9 s, estimated 1273 s, iters = {MDP: 929}
> Progress 0.93%, elapsed 12 s, estimated 1291 s, iters = {MDP: 1222}
> Progress 1.147%, elapsed 15 s, estimated 1308 s, iters = {MDP: 1507}
> Progress 1.39%, elapsed 18 s, estimated 1295 s, iters = {MDP: 1826}
> Progress 1.626%, elapsed 21 s, estimated 1292 s, iters = {MDP: 2135}
> Progress 1.835%, elapsed 24 s, estimated 1309 s, iters = {MDP: 2409}
> Progress 2.045%, elapsed 27 s, estimated 1323 s, iters = {MDP: 2685}
> Progress 2.245%, elapsed 30 s, estimated 1338 s, iters = {MDP: 2948}
> Progress 2.45%, elapsed 33 s, estimated 1349 s, iters = {MDP: 3217}
> Progress 2.687%, elapsed 36 s, estimated 1342 s, iters = {MDP: 3527}
> Progress 2.892%, elapsed 39 s, estimated 1351 s, iters = {MDP: 3796}
> Progress 3.094%, elapsed 42 s, estimated 1360 s, iters = {MDP: 4062}
> Progress 3.299%, elapsed 45 s, estimated 1366 s, iters = {MDP: 4331}
> Progress 3.507%, elapsed 48 s, estimated 1371 s, iters = {MDP: 4603}
> Progress 3.705%, elapsed 51 s, estimated 1379 s, iters = {MDP: 4863}
> Progress 3.93%, elapsed 54 s, estimated 1376 s, iters = {MDP: 5159}
> Progress 4.138%, elapsed 57 s, estimated 1380 s, iters = {MDP: 5432}
> Progress 4.341%, elapsed 60 s, estimated 1384 s, iters = {MDP: 5698}
> Progress 4.535%, elapsed 63 s, estimated 1392 s, iters = {MDP: 5952}
> Progress 4.729%, elapsed 66 s, estimated 1398 s, iters = {MDP: 6207}
> Progress 4.918%, elapsed 69 s, estimated 1406 s, iters = {MDP: 6455}
> Progress 5.14%, elapsed 72 s, estimated 1403 s, iters = {MDP: 6747}
> Progress 5.344%, elapsed 75 s, estimated 1406 s, iters = {MDP: 7014}
> Progress 5.54%, elapsed 78 s, estimated 1410 s, iters = {MDP: 7271}
> Progress 5.734%, elapsed 81 s, estimated 1415 s, iters = {MDP: 7526}
> Progress 5.928%, elapsed 84 s, estimated 1419 s, iters = {MDP: 7780}
> Progress 6.113%, elapsed 87 s, estimated 1426 s, iters = {MDP: 8023}
> Progress 6.294%, elapsed 90 s, estimated 1432 s, iters = {MDP: 8260}
> Progress 6.489%, elapsed 93 s, estimated 1435 s, iters = {MDP: 8517}
> Progress 6.672%, elapsed 96 s, estimated 1441 s, iters = {MDP: 8756}
> Progress 6.854%, elapsed 99 s, estimated 1447 s, iters = {MDP: 8996}
> Progress 7.032%, elapsed 102 s, estimated 1453 s, iters = {MDP: 9229}
> Progress 7.202%, elapsed 105 s, estimated 1460 s, iters = {MDP: 9452}
> Progress 7.376%, elapsed 108 s, estimated 1467 s, iters = {MDP: 9680}
> Progress 7.575%, elapsed 111 s, estimated 1468 s, iters = {MDP: 9942}
> Progress 7.752%, elapsed 114 s, estimated 1473 s, iters = {MDP: 10174}
> Progress 7.904%, elapsed 117 s, estimated 1483 s, iters = {MDP: 10373}
> Progress 8.072%, elapsed 120 s, estimated 1489 s, iters = {MDP: 10594}
> Progress 8.222%, elapsed 123 s, estimated 1498 s, iters = {MDP: 10791}
> Progress 8.377%, elapsed 126 s, estimated 1507 s, iters = {MDP: 10994}
> Progress 8.53%, elapsed 129 s, estimated 1515 s, iters = {MDP: 11195}
> Progress 8.695%, elapsed 132 s, estimated 1521 s, iters = {MDP: 11411}
> Progress 8.882%, elapsed 135 s, estimated 1523 s, iters = {MDP: 11656}
> Progress 9.059%, elapsed 138 s, estimated 1526 s, iters = {MDP: 11889}
> Progress 9.235%, elapsed 141 s, estimated 1529 s, iters = {MDP: 12120}
> Progress 9.406%, elapsed 144 s, estimated 1534 s, iters = {MDP: 12344}
> Progress 9.576%, elapsed 147 s, estimated 1538 s, iters = {MDP: 12567}
> Progress 9.746%, elapsed 150 s, estimated 1542 s, iters = {MDP: 12791}
> Progress 9.91%, elapsed 153 s, estimated 1547 s, iters = {MDP: 13006}
> Progress 10.096%, elapsed 156 s, estimated 1548 s, iters = {MDP: 13250}
> Progress 10.27%, elapsed 159 s, estimated 1551 s, iters = {MDP: 13478}
> Progress 10.44%, elapsed 162 s, estimated 1555 s, iters = {MDP: 13701}
> Progress 10.605%, elapsed 165 s, estimated 1559 s, iters = {MDP: 13917}
> Progress 10.771%, elapsed 168 s, estimated 1563 s, iters = {MDP: 14136}
> Progress 10.941%, elapsed 171 s, estimated 1566 s, iters = {MDP: 14358}
> Progress 11.108%, elapsed 174 s, estimated 1569 s, iters = {MDP: 14577}
> Progress 11.292%, elapsed 177 s, estimated 1570 s, iters = {MDP: 14819}
> Progress 11.49%, elapsed 180 s, estimated 1569 s, iters = {MDP: 15079}
> Progress 11.678%, elapsed 183 s, estimated 1570 s, iters = {MDP: 15326}
> Progress 11.854%, elapsed 186 s, estimated 1572 s, iters = {MDP: 15556}
> Progress 12.032%, elapsed 189 s, estimated 1574 s, iters = {MDP: 15790}
> Progress 12.208%, elapsed 192 s, estimated 1576 s, iters = {MDP: 16021}
> Progress 12.384%, elapsed 195 s, estimated 1577 s, iters = {MDP: 16252}
> Progress 12.586%, elapsed 198 s, estimated 1576 s, iters = {MDP: 16517}
> Progress 12.793%, elapsed 201 s, estimated 1574 s, iters = {MDP: 16789}
> Progress 12.97%, elapsed 204 s, estimated 1576 s, iters = {MDP: 17021}
