2024-01-03 18:52:38,432 - cli.py - This is Paynt version 0.1.0.
2024-01-03 18:52:38,432 - sketch.py - loading sketch from models/mdp/sketches/dpm/switch/sketch.templ ...
2024-01-03 18:52:38,432 - sketch.py - assuming sketch in PRISM format...
2024-01-03 18:52:38,440 - prism_parser.py - PRISM model type: MDP
2024-01-03 18:52:38,440 - prism_parser.py - processing hole definitions...
2024-01-03 18:52:38,440 - prism_parser.py - loading properties from models/mdp/sketches/dpm/switch/sketch.props ...
2024-01-03 18:52:38,441 - prism_parser.py - found the following specification: constraints: P>=19/20 [F ((bat = 0) & (lost = 0))]; 
2024-01-03 18:52:38,441 - jani.py - constructing JANI program...
2024-01-03 18:52:38,526 - jani.py - constructing the quotient...
2024-01-03 18:52:39,269 - jani.py - associating choices of the quotient with hole assignments...
2024-01-03 18:52:39,557 - sketch.py - sketch parsing OK
2024-01-03 18:52:39,558 - sketch.py - constructed explicit quotient having 1594 states and 186170 actions
2024-01-03 18:52:39,558 - sketch.py - found the following specification constraints: P>=19/20 [F ((bat = 0) & (lost = 0))]; 
2024-01-03 18:52:39,685 - mdp_family.py - associating choices with action labels...
2024-01-03 18:52:39,834 - synthesizer.py - evaluation initiated, design space: 1312200
> Progress 0.09%, elapsed 3 s, estimated 3307 s, iters = {MDP: 1192}
> Progress 0.179%, elapsed 6 s, estimated 3354 s, iters = {MDP: 2350}
> Progress 0.262%, elapsed 9 s, estimated 3433 s, iters = {MDP: 3443}
> Progress 0.342%, elapsed 12 s, estimated 3502 s, iters = {MDP: 4500}
> Progress 0.418%, elapsed 15 s, estimated 3591 s, iters = {MDP: 5486}
> Progress 0.49%, elapsed 18 s, estimated 3674 s, iters = {MDP: 6434}
> Progress 0.559%, elapsed 21 s, estimated 3758 s, iters = {MDP: 7338}
> Progress 0.629%, elapsed 24 s, estimated 3813 s, iters = {MDP: 8265}
> Progress 0.697%, elapsed 27 s, estimated 3875 s, iters = {MDP: 9148}
> Progress 0.756%, elapsed 30 s, estimated 3968 s, iters = {MDP: 9926}
> Progress 0.817%, elapsed 33 s, estimated 4040 s, iters = {MDP: 10723}
> Progress 0.873%, elapsed 36 s, estimated 4125 s, iters = {MDP: 11457}
> Progress 0.927%, elapsed 39 s, estimated 4205 s, iters = {MDP: 12177}
> Progress 0.977%, elapsed 42 s, estimated 4299 s, iters = {MDP: 12826}
> Progress 1.028%, elapsed 45 s, estimated 4378 s, iters = {MDP: 13494}
> Progress 1.077%, elapsed 48 s, estimated 4458 s, iters = {MDP: 14135}
> Progress 1.123%, elapsed 51 s, estimated 4542 s, iters = {MDP: 14739}
> Progress 1.166%, elapsed 54 s, estimated 4633 s, iters = {MDP: 15302}
> Progress 1.209%, elapsed 57 s, estimated 4715 s, iters = {MDP: 15872}
> Progress 1.271%, elapsed 60 s, estimated 4721 s, iters = {MDP: 16685}
> Progress 1.361%, elapsed 63 s, estimated 4630 s, iters = {MDP: 17863}
> Progress 1.434%, elapsed 66 s, estimated 4604 s, iters = {MDP: 18820}
> Progress 1.504%, elapsed 69 s, estimated 4589 s, iters = {MDP: 19741}
> Progress 1.573%, elapsed 72 s, estimated 4578 s, iters = {MDP: 20646}
> Progress 1.64%, elapsed 75 s, estimated 4573 s, iters = {MDP: 21532}
> Progress 1.705%, elapsed 78 s, estimated 4576 s, iters = {MDP: 22376}
> Progress 1.767%, elapsed 81 s, estimated 4585 s, iters = {MDP: 23192}
> Progress 1.824%, elapsed 84 s, estimated 4605 s, iters = {MDP: 23945}
> Progress 1.884%, elapsed 87 s, estimated 4619 s, iters = {MDP: 24727}
> Progress 1.942%, elapsed 90 s, estimated 4636 s, iters = {MDP: 25485}
> Progress 1.988%, elapsed 93 s, estimated 4680 s, iters = {MDP: 26088}
> Progress 2.035%, elapsed 96 s, estimated 4718 s, iters = {MDP: 26715}
> Progress 2.082%, elapsed 99 s, estimated 4757 s, iters = {MDP: 27323}
> Progress 2.123%, elapsed 102 s, estimated 4805 s, iters = {MDP: 27868}
> Progress 2.169%, elapsed 105 s, estimated 4843 s, iters = {MDP: 28467}
> Progress 2.208%, elapsed 108 s, estimated 4892 s, iters = {MDP: 28983}
> Progress 2.251%, elapsed 111 s, estimated 4933 s, iters = {MDP: 29540}
> Progress 2.296%, elapsed 114 s, estimated 4967 s, iters = {MDP: 30131}
> Progress 2.338%, elapsed 117 s, estimated 5005 s, iters = {MDP: 30692}
> Progress 2.378%, elapsed 120 s, estimated 5047 s, iters = {MDP: 31215}
> Progress 2.416%, elapsed 123 s, estimated 5093 s, iters = {MDP: 31709}
> Progress 2.455%, elapsed 126 s, estimated 5134 s, iters = {MDP: 32222}
> Progress 2.518%, elapsed 129 s, estimated 5125 s, iters = {MDP: 33049}
> Progress 2.591%, elapsed 132 s, estimated 5095 s, iters = {MDP: 34013}
> Progress 2.661%, elapsed 135 s, estimated 5075 s, iters = {MDP: 34928}
> Progress 2.732%, elapsed 138 s, estimated 5054 s, iters = {MDP: 35854}
> Progress 2.797%, elapsed 141 s, estimated 5043 s, iters = {MDP: 36708}
> Progress 2.859%, elapsed 144 s, estimated 5039 s, iters = {MDP: 37517}
> Progress 2.922%, elapsed 147 s, estimated 5033 s, iters = {MDP: 38351}
> Progress 2.982%, elapsed 150 s, estimated 5032 s, iters = {MDP: 39140}
> Progress 3.04%, elapsed 153 s, estimated 5036 s, iters = {MDP: 39892}
> Progress 3.096%, elapsed 156 s, estimated 5042 s, iters = {MDP: 40627}
> Progress 3.151%, elapsed 159 s, estimated 5047 s, iters = {MDP: 41361}
> Progress 3.206%, elapsed 162 s, estimated 5055 s, iters = {MDP: 42074}
> Progress 3.258%, elapsed 165 s, estimated 5067 s, iters = {MDP: 42760}
> Progress 3.31%, elapsed 168 s, estimated 5078 s, iters = {MDP: 43442}
