2024-01-03 18:53:07,203 - cli.py - This is Paynt version 0.1.0.
2024-01-03 18:53:07,203 - sketch.py - loading sketch from models/mdp/sketches/rover/100-big/sketch.templ ...
2024-01-03 18:53:07,203 - sketch.py - assuming sketch in PRISM format...
2024-01-03 18:53:07,205 - prism_parser.py - PRISM model type: MDP
2024-01-03 18:53:07,205 - prism_parser.py - processing hole definitions...
2024-01-03 18:53:07,206 - prism_parser.py - loading properties from models/mdp/sketches/rover/100-big/sketch.props ...
2024-01-03 18:53:07,207 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-03 18:53:07,207 - jani.py - constructing JANI program...
2024-01-03 18:53:07,210 - jani.py - constructing the quotient...
2024-01-03 18:53:07,320 - jani.py - associating choices of the quotient with hole assignments...
2024-01-03 18:53:07,367 - sketch.py - sketch parsing OK
2024-01-03 18:53:07,367 - sketch.py - constructed explicit quotient having 1703 states and 50203 actions
2024-01-03 18:53:07,367 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-03 18:53:07,375 - mdp_family.py - associating choices with action labels...
2024-01-03 18:53:07,425 - synthesizer.py - evaluation initiated, design space: 24300000
> Progress 0.014%, elapsed 3 s, estimated 20577 s (5 hours), iters = {MDP: 3544}
> Progress 0.029%, elapsed 6 s, estimated 20503 s (5 hours), iters = {MDP: 7113}
> Progress 0.044%, elapsed 9 s, estimated 20361 s (5 hours), iters = {MDP: 10743}
> Progress 0.059%, elapsed 12 s, estimated 20210 s (5 hours), iters = {MDP: 14431}
> Progress 0.074%, elapsed 15 s, estimated 20102 s (5 hours), iters = {MDP: 18135}
> Progress 0.09%, elapsed 18 s, estimated 19847 s (5 hours), iters = {MDP: 22041}
> Progress 0.097%, elapsed 21 s, estimated 21586 s (5 hours), iters = {MDP: 23644}
> Progress 0.102%, elapsed 24 s, estimated 23389 s (6 hours), iters = {MDP: 24939}
> Progress 0.107%, elapsed 27 s, estimated 25035 s (6 hours), iters = {MDP: 26214}
> Progress 0.113%, elapsed 30 s, estimated 26506 s (7 hours), iters = {MDP: 27510}
> Progress 0.118%, elapsed 33 s, estimated 27851 s (7 hours), iters = {MDP: 28800}
> Progress 0.123%, elapsed 36 s, estimated 29059 s (8 hours), iters = {MDP: 30113}
> Progress 0.128%, elapsed 39 s, estimated 30311 s (8 hours), iters = {MDP: 31277}
> Progress 0.133%, elapsed 42 s, estimated 31428 s (8 hours), iters = {MDP: 32486}
> Progress 0.138%, elapsed 45 s, estimated 32458 s (9 hours), iters = {MDP: 33703}
> Progress 0.143%, elapsed 48 s, estimated 33391 s (9 hours), iters = {MDP: 34945}
> Progress 0.148%, elapsed 51 s, estimated 34262 s (9 hours), iters = {MDP: 36185}
> Progress 0.153%, elapsed 54 s, estimated 35102 s (9 hours), iters = {MDP: 37396}
> Progress 0.158%, elapsed 57 s, estimated 35914 s (9 hours), iters = {MDP: 38582}
> Progress 0.163%, elapsed 60 s, estimated 36613 s (10 hours), iters = {MDP: 39837}
> Progress 0.168%, elapsed 63 s, estimated 37316 s (10 hours), iters = {MDP: 41041}
> Progress 0.173%, elapsed 66 s, estimated 38146 s (10 hours), iters = {MDP: 42060}
> Progress 0.177%, elapsed 69 s, estimated 38908 s (10 hours), iters = {MDP: 43112}
> Progress 0.181%, elapsed 72 s, estimated 39647 s (11 hours), iters = {MDP: 44148}
> Progress 0.186%, elapsed 75 s, estimated 40282 s (11 hours), iters = {MDP: 45263}
> Progress 0.192%, elapsed 78 s, estimated 40617 s (11 hours), iters = {MDP: 46685}
> Progress 0.198%, elapsed 81 s, estimated 40907 s (11 hours), iters = {MDP: 48136}
> Progress 0.204%, elapsed 84 s, estimated 41141 s (11 hours), iters = {MDP: 49636}
> Progress 0.21%, elapsed 87 s, estimated 41309 s (11 hours), iters = {MDP: 51199}
> Progress 0.217%, elapsed 90 s, estimated 41351 s (11 hours), iters = {MDP: 52910}
> Progress 0.224%, elapsed 93 s, estimated 41497 s (11 hours), iters = {MDP: 54481}
> Progress 0.23%, elapsed 96 s, estimated 41630 s (11 hours), iters = {MDP: 56059}
> Progress 0.237%, elapsed 99 s, estimated 41721 s (11 hours), iters = {MDP: 57685}
> Progress 0.244%, elapsed 102 s, estimated 41780 s (11 hours), iters = {MDP: 59350}
> Progress 0.25%, elapsed 105 s, estimated 41922 s (11 hours), iters = {MDP: 60888}
> Progress 0.256%, elapsed 108 s, estimated 42050 s (11 hours), iters = {MDP: 62438}
> Progress 0.263%, elapsed 111 s, estimated 42078 s (11 hours), iters = {MDP: 64129}
> Progress 0.269%, elapsed 114 s, estimated 42242 s (11 hours), iters = {MDP: 65606}
> Progress 0.276%, elapsed 117 s, estimated 42387 s (11 hours), iters = {MDP: 67102}
> Progress 0.281%, elapsed 120 s, estimated 42652 s (11 hours), iters = {MDP: 68395}
> Progress 0.286%, elapsed 123 s, estimated 42946 s (11 hours), iters = {MDP: 69624}
> Progress 0.291%, elapsed 126 s, estimated 43245 s (12 hours), iters = {MDP: 70828}
> Progress 0.298%, elapsed 129 s, estimated 43281 s (12 hours), iters = {MDP: 72454}
> Progress 0.305%, elapsed 132 s, estimated 43164 s (11 hours), iters = {MDP: 74341}
> Progress 0.312%, elapsed 135 s, estimated 43278 s (12 hours), iters = {MDP: 75829}
> Progress 0.317%, elapsed 138 s, estimated 43485 s (12 hours), iters = {MDP: 77145}
> Progress 0.322%, elapsed 141 s, estimated 43687 s (12 hours), iters = {MDP: 78458}
> Progress 0.328%, elapsed 144 s, estimated 43899 s (12 hours), iters = {MDP: 79741}
> Progress 0.333%, elapsed 147 s, estimated 44087 s (12 hours), iters = {MDP: 81054}
> Progress 0.339%, elapsed 150 s, estimated 44261 s (12 hours), iters = {MDP: 82385}
> Progress 0.346%, elapsed 153 s, estimated 44196 s (12 hours), iters = {MDP: 84155}
> Progress 0.353%, elapsed 156 s, estimated 44137 s (12 hours), iters = {MDP: 85921}
> Progress 0.359%, elapsed 159 s, estimated 44277 s (12 hours), iters = {MDP: 87296}
> Progress 0.364%, elapsed 162 s, estimated 44428 s (12 hours), iters = {MDP: 88640}
> Progress 0.37%, elapsed 165 s, estimated 44559 s (12 hours), iters = {MDP: 90017}
> Progress 0.377%, elapsed 168 s, estimated 44534 s (12 hours), iters = {MDP: 91704}
> Progress 0.384%, elapsed 171 s, estimated 44509 s (12 hours), iters = {MDP: 93394}
> Progress 0.392%, elapsed 174 s, estimated 44327 s (12 hours), iters = {MDP: 95424}
> Progress 0.401%, elapsed 177 s, estimated 44051 s (12 hours), iters = {MDP: 97675}
> Progress 0.409%, elapsed 180 s, estimated 44001 s (12 hours), iters = {MDP: 99445}
> Progress 0.416%, elapsed 183 s, estimated 43969 s (12 hours), iters = {MDP: 101175}
> Progress 0.425%, elapsed 186 s, estimated 43737 s (12 hours), iters = {MDP: 103380}
> Progress 0.434%, elapsed 189 s, estimated 43505 s (12 hours), iters = {MDP: 105607}
> Progress 0.441%, elapsed 192 s, estimated 43494 s (12 hours), iters = {MDP: 107311}
> Progress 0.449%, elapsed 195 s, estimated 43377 s (12 hours), iters = {MDP: 109281}
> Progress 0.458%, elapsed 198 s, estimated 43219 s (12 hours), iters = {MDP: 111368}
> Progress 0.469%, elapsed 201 s, estimated 42868 s (11 hours), iters = {MDP: 113981}
> Progress 0.479%, elapsed 204 s, estimated 42545 s (11 hours), iters = {MDP: 116560}
> Progress 0.484%, elapsed 207 s, estimated 42730 s (11 hours), iters = {MDP: 117763}
> Progress 0.49%, elapsed 210 s, estimated 42856 s (11 hours), iters = {MDP: 119118}
> Progress 0.495%, elapsed 213 s, estimated 42960 s (11 hours), iters = {MDP: 120526}
> Progress 0.501%, elapsed 216 s, estimated 43065 s (11 hours), iters = {MDP: 121926}
> Progress 0.507%, elapsed 219 s, estimated 43173 s (11 hours), iters = {MDP: 123310}
> Progress 0.513%, elapsed 222 s, estimated 43275 s (12 hours), iters = {MDP: 124705}
> Progress 0.519%, elapsed 225 s, estimated 43359 s (12 hours), iters = {MDP: 126146}
> Progress 0.525%, elapsed 228 s, estimated 43424 s (12 hours), iters = {MDP: 127635}
> Progress 0.531%, elapsed 231 s, estimated 43470 s (12 hours), iters = {MDP: 129177}
> Progress 0.538%, elapsed 234 s, estimated 43499 s (12 hours), iters = {MDP: 130767}
> Progress 0.547%, elapsed 237 s, estimated 43285 s (12 hours), iters = {MDP: 133099}
> Progress 0.559%, elapsed 240 s, estimated 42930 s (11 hours), iters = {MDP: 135898}
> Progress 0.572%, elapsed 243 s, estimated 42449 s (11 hours), iters = {MDP: 139157}
> Progress 0.585%, elapsed 246 s, estimated 42007 s (11 hours), iters = {MDP: 142355}
> Progress 0.597%, elapsed 249 s, estimated 41671 s (11 hours), iters = {MDP: 145252}
> Progress 0.611%, elapsed 252 s, estimated 41258 s (11 hours), iters = {MDP: 148475}
> Progress 0.624%, elapsed 255 s, estimated 40822 s (11 hours), iters = {MDP: 151846}
> Progress 0.639%, elapsed 258 s, estimated 40373 s (11 hours), iters = {MDP: 155342}
> Progress 0.649%, elapsed 261 s, estimated 40176 s (11 hours), iters = {MDP: 157918}
> Progress 0.654%, elapsed 264 s, estimated 40354 s (11 hours), iters = {MDP: 159029}
> Progress 0.658%, elapsed 267 s, estimated 40554 s (11 hours), iters = {MDP: 160043}
> Progress 0.662%, elapsed 270 s, estimated 40766 s (11 hours), iters = {MDP: 161003}
> Progress 0.667%, elapsed 273 s, estimated 40924 s (11 hours), iters = {MDP: 162160}
> Progress 0.671%, elapsed 276 s, estimated 41089 s (11 hours), iters = {MDP: 163288}
> Progress 0.676%, elapsed 279 s, estimated 41257 s (11 hours), iters = {MDP: 164392}
> Progress 0.68%, elapsed 282 s, estimated 41472 s (11 hours), iters = {MDP: 165299}
> Progress 0.684%, elapsed 285 s, estimated 41671 s (11 hours), iters = {MDP: 166258}
> Progress 0.688%, elapsed 288 s, estimated 41830 s (11 hours), iters = {MDP: 167369}
> Progress 0.693%, elapsed 291 s, estimated 41984 s (11 hours), iters = {MDP: 168493}
> Progress 0.697%, elapsed 294 s, estimated 42149 s (11 hours), iters = {MDP: 169564}
> Progress 0.702%, elapsed 297 s, estimated 42298 s (11 hours), iters = {MDP: 170691}
> Progress 0.707%, elapsed 300 s, estimated 42434 s (11 hours), iters = {MDP: 171863}
> Progress 0.712%, elapsed 303 s, estimated 42566 s (11 hours), iters = {MDP: 173042}
> Progress 0.716%, elapsed 306 s, estimated 42699 s (11 hours), iters = {MDP: 174215}
> Progress 0.721%, elapsed 309 s, estimated 42832 s (11 hours), iters = {MDP: 175378}
> Progress 0.726%, elapsed 312 s, estimated 42970 s (11 hours), iters = {MDP: 176510}
> Progress 0.73%, elapsed 315 s, estimated 43116 s (11 hours), iters = {MDP: 177608}
> Progress 0.735%, elapsed 318 s, estimated 43254 s (12 hours), iters = {MDP: 178728}
> Progress 0.74%, elapsed 321 s, estimated 43395 s (12 hours), iters = {MDP: 179825}
> Progress 0.745%, elapsed 324 s, estimated 43465 s (12 hours), iters = {MDP: 181215}
> Progress 0.752%, elapsed 327 s, estimated 43489 s (12 hours), iters = {MDP: 182789}
> Progress 0.758%, elapsed 330 s, estimated 43501 s (12 hours), iters = {MDP: 184416}
> Progress 0.765%, elapsed 333 s, estimated 43541 s (12 hours), iters = {MDP: 185923}
> Progress 0.771%, elapsed 336 s, estimated 43562 s (12 hours), iters = {MDP: 187505}
> Progress 0.778%, elapsed 339 s, estimated 43584 s (12 hours), iters = {MDP: 189084}
> Progress 0.784%, elapsed 342 s, estimated 43601 s (12 hours), iters = {MDP: 190684}
> Progress 0.791%, elapsed 345 s, estimated 43621 s (12 hours), iters = {MDP: 192267}
> Progress 0.797%, elapsed 348 s, estimated 43653 s (12 hours), iters = {MDP: 193798}
> Progress 0.804%, elapsed 351 s, estimated 43660 s (12 hours), iters = {MDP: 195437}
> Progress 0.81%, elapsed 354 s, estimated 43684 s (12 hours), iters = {MDP: 197001}
> Progress 0.817%, elapsed 357 s, estimated 43702 s (12 hours), iters = {MDP: 198585}
> Progress 0.823%, elapsed 360 s, estimated 43743 s (12 hours), iters = {MDP: 200069}
> Progress 0.829%, elapsed 363 s, estimated 43773 s (12 hours), iters = {MDP: 201595}
> Progress 0.835%, elapsed 366 s, estimated 43830 s (12 hours), iters = {MDP: 202996}
> Progress 0.84%, elapsed 369 s, estimated 43924 s (12 hours), iters = {MDP: 204223}
> Progress 0.845%, elapsed 372 s, estimated 44021 s (12 hours), iters = {MDP: 205433}
> Progress 0.85%, elapsed 375 s, estimated 44091 s (12 hours), iters = {MDP: 206760}
> Progress 0.858%, elapsed 378 s, estimated 44063 s (12 hours), iters = {MDP: 208547}
> Progress 0.865%, elapsed 381 s, estimated 44043 s (12 hours), iters = {MDP: 210297}
