2024-01-03 18:53:42,832 - cli.py - This is Paynt version 0.1.0.
2024-01-03 18:53:42,832 - sketch.py - loading sketch from models/mdp/sketches/rover/1000/sketch.templ ...
2024-01-03 18:53:42,832 - sketch.py - assuming sketch in PRISM format...
2024-01-03 18:53:42,834 - prism_parser.py - PRISM model type: MDP
2024-01-03 18:53:42,834 - prism_parser.py - processing hole definitions...
2024-01-03 18:53:42,835 - prism_parser.py - loading properties from models/mdp/sketches/rover/1000/sketch.props ...
2024-01-03 18:53:42,836 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-03 18:53:42,836 - jani.py - constructing JANI program...
2024-01-03 18:53:42,839 - jani.py - constructing the quotient...
2024-01-03 18:53:43,578 - jani.py - associating choices of the quotient with hole assignments...
2024-01-03 18:53:44,210 - sketch.py - sketch parsing OK
2024-01-03 18:53:44,210 - sketch.py - constructed explicit quotient having 17003 states and 518003 actions
2024-01-03 18:53:44,210 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-03 18:53:44,443 - mdp_family.py - associating choices with action labels...
2024-01-03 18:53:44,864 - synthesizer.py - evaluation initiated, design space: 3779136
> Progress 0.007%, elapsed 3 s, estimated 39813 s (11 hours), iters = {MDP: 286}
> Progress 0.014%, elapsed 6 s, estimated 41025 s (11 hours), iters = {MDP: 554}
> Progress 0.02%, elapsed 9 s, estimated 44935 s (12 hours), iters = {MDP: 759}
> Progress 0.025%, elapsed 12 s, estimated 46515 s (12 hours), iters = {MDP: 978}
> Progress 0.032%, elapsed 15 s, estimated 46823 s (13 hours), iters = {MDP: 1214}
> Progress 0.038%, elapsed 18 s, estimated 47045 s (13 hours), iters = {MDP: 1450}
> Progress 0.043%, elapsed 21 s, estimated 47904 s (13 hours), iters = {MDP: 1661}
> Progress 0.049%, elapsed 24 s, estimated 48250 s (13 hours), iters = {MDP: 1885}
> Progress 0.055%, elapsed 27 s, estimated 48812 s (13 hours), iters = {MDP: 2096}
> Progress 0.06%, elapsed 30 s, estimated 49403 s (13 hours), iters = {MDP: 2301}
> Progress 0.068%, elapsed 33 s, estimated 48609 s (13 hours), iters = {MDP: 2572}
> Progress 0.075%, elapsed 36 s, estimated 48036 s (13 hours), iters = {MDP: 2839}
> Progress 0.078%, elapsed 39 s, estimated 49664 s (13 hours), iters = {MDP: 2975}
> Progress 0.08%, elapsed 42 s, estimated 52062 s (14 hours), iters = {MDP: 3057}
> Progress 0.083%, elapsed 45 s, estimated 54304 s (15 hours), iters = {MDP: 3142}
> Progress 0.085%, elapsed 48 s, estimated 56400 s (15 hours), iters = {MDP: 3227}
> Progress 0.087%, elapsed 51 s, estimated 58291 s (16 hours), iters = {MDP: 3317}
> Progress 0.09%, elapsed 54 s, estimated 60119 s (16 hours), iters = {MDP: 3406}
> Progress 0.092%, elapsed 57 s, estimated 61877 s (17 hours), iters = {MDP: 3493}
> Progress 0.094%, elapsed 60 s, estimated 63484 s (17 hours), iters = {MDP: 3584}
> Progress 0.097%, elapsed 63 s, estimated 65032 s (18 hours), iters = {MDP: 3675}
> Progress 0.099%, elapsed 66 s, estimated 66561 s (18 hours), iters = {MDP: 3761}
> Progress 0.101%, elapsed 69 s, estimated 68025 s (18 hours), iters = {MDP: 3848}
> Progress 0.104%, elapsed 72 s, estimated 69428 s (19 hours), iters = {MDP: 3934}
> Progress 0.106%, elapsed 75 s, estimated 70805 s (19 hours), iters = {MDP: 4018}
> Progress 0.108%, elapsed 78 s, estimated 72131 s (20 hours), iters = {MDP: 4102}
> Progress 0.11%, elapsed 81 s, estimated 73373 s (20 hours), iters = {MDP: 4188}
> Progress 0.113%, elapsed 84 s, estimated 74561 s (20 hours), iters = {MDP: 4274}
> Progress 0.115%, elapsed 87 s, estimated 75729 s (21 hours), iters = {MDP: 4359}
> Progress 0.117%, elapsed 90 s, estimated 76850 s (21 hours), iters = {MDP: 4443}
> Progress 0.119%, elapsed 93 s, estimated 77882 s (21 hours), iters = {MDP: 4530}
> Progress 0.122%, elapsed 96 s, estimated 78922 s (21 hours), iters = {MDP: 4614}
> Progress 0.124%, elapsed 99 s, estimated 79924 s (22 hours), iters = {MDP: 4699}
> Progress 0.126%, elapsed 102 s, estimated 80832 s (22 hours), iters = {MDP: 4787}
> Progress 0.128%, elapsed 105 s, estimated 81755 s (22 hours), iters = {MDP: 4873}
> Progress 0.131%, elapsed 108 s, estimated 82629 s (22 hours), iters = {MDP: 4959}
> Progress 0.133%, elapsed 111 s, estimated 83448 s (23 hours), iters = {MDP: 5047}
> Progress 0.135%, elapsed 114 s, estimated 84240 s (23 hours), iters = {MDP: 5135}
> Progress 0.137%, elapsed 117 s, estimated 85125 s (23 hours), iters = {MDP: 5215}
> Progress 0.14%, elapsed 120 s, estimated 86020 s (23 hours), iters = {MDP: 5293}
> Progress 0.142%, elapsed 123 s, estimated 86696 s (24 hours), iters = {MDP: 5383}
> Progress 0.144%, elapsed 126 s, estimated 87316 s (24 hours), iters = {MDP: 5475}
> Progress 0.147%, elapsed 129 s, estimated 87927 s (24 hours), iters = {MDP: 5566}
> Progress 0.149%, elapsed 132 s, estimated 88523 s (24 hours), iters = {MDP: 5657}
> Progress 0.152%, elapsed 135 s, estimated 89130 s (24 hours), iters = {MDP: 5746}
> Progress 0.154%, elapsed 138 s, estimated 89702 s (24 hours), iters = {MDP: 5836}
> Progress 0.156%, elapsed 141 s, estimated 90154 s (25 hours), iters = {MDP: 5933}
> Progress 0.159%, elapsed 144 s, estimated 90364 s (25 hours), iters = {MDP: 6045}
> Progress 0.163%, elapsed 147 s, estimated 90447 s (25 hours), iters = {MDP: 6165}
> Progress 0.165%, elapsed 150 s, estimated 90784 s (25 hours), iters = {MDP: 6267}
> Progress 0.168%, elapsed 153 s, estimated 91006 s (25 hours), iters = {MDP: 6377}
> Progress 0.171%, elapsed 156 s, estimated 91046 s (25 hours), iters = {MDP: 6500}
> Progress 0.174%, elapsed 159 s, estimated 91241 s (25 hours), iters = {MDP: 6611}
> Progress 0.177%, elapsed 162 s, estimated 91503 s (25 hours), iters = {MDP: 6717}
