2024-01-04 20:01:16,072 - cli.py - This is Paynt version 0.1.0.
2024-01-04 20:01:16,072 - sketch.py - loading sketch from models/mdp/sketches/uav/operator-big/sketch.templ ...
2024-01-04 20:01:16,072 - sketch.py - assuming sketch in PRISM format...
2024-01-04 20:01:16,080 - prism_parser.py - PRISM model type: MDP
2024-01-04 20:01:16,080 - prism_parser.py - processing hole definitions...
2024-01-04 20:01:16,080 - prism_parser.py - loading properties from models/mdp/sketches/uav/operator-big/sketch.props ...
2024-01-04 20:01:16,081 - prism_parser.py - found the following specification: constraints: P>=4/5 [F ((w1 & w2) & w6)]; 
2024-01-04 20:01:16,081 - jani.py - constructing JANI program...
2024-01-04 20:01:16,119 - jani.py - constructing the quotient...
2024-01-04 20:01:16,745 - jani.py - associating choices of the quotient with hole assignments...
2024-01-04 20:01:16,947 - sketch.py - sketch parsing OK
2024-01-04 20:01:16,948 - sketch.py - constructed explicit quotient having 17927 states and 170585 actions
2024-01-04 20:01:16,948 - sketch.py - found the following specification constraints: P>=4/5 [F ((w1 & w2) & w6)]; 
2024-01-04 20:01:17,033 - mdp_family.py - associating choices with action labels...
2024-01-04 20:01:17,278 - synthesizer.py - evaluation initiated, design space: 40000
> Progress 1.87%, elapsed 3 s, estimated 160 s, iters = {MDP: 749}
> Progress 3.667%, elapsed 6 s, estimated 163 s, iters = {MDP: 1468}
> Progress 5.39%, elapsed 9 s, estimated 167 s, iters = {MDP: 2157}
> Progress 6.952%, elapsed 12 s, estimated 172 s, iters = {MDP: 2782}
> Progress 8.315%, elapsed 15 s, estimated 180 s, iters = {MDP: 3327}
> Progress 9.67%, elapsed 18 s, estimated 186 s, iters = {MDP: 3869}
> Progress 10.862%, elapsed 21 s, estimated 193 s, iters = {MDP: 4346}
> Progress 12.042%, elapsed 24 s, estimated 199 s, iters = {MDP: 4818}
> Progress 13.282%, elapsed 27 s, estimated 203 s, iters = {MDP: 5314}
> Progress 14.605%, elapsed 30 s, estimated 205 s, iters = {MDP: 5843}
> Progress 15.687%, elapsed 33 s, estimated 210 s, iters = {MDP: 6276}
> Progress 16.682%, elapsed 36 s, estimated 216 s, iters = {MDP: 6674}
> Progress 17.705%, elapsed 39 s, estimated 220 s, iters = {MDP: 7083}
> Progress 18.7%, elapsed 42 s, estimated 224 s, iters = {MDP: 7481}
> Progress 19.735%, elapsed 45 s, estimated 228 s, iters = {MDP: 7895}
> Progress 20.56%, elapsed 48 s, estimated 233 s, iters = {MDP: 8225}
> Progress 21.33%, elapsed 51 s, estimated 239 s, iters = {MDP: 8533}
> Progress 22.165%, elapsed 54 s, estimated 243 s, iters = {MDP: 8867}
> Progress 23.02%, elapsed 57 s, estimated 247 s, iters = {MDP: 9209}
> Progress 23.94%, elapsed 60 s, estimated 250 s, iters = {MDP: 9577}
> Progress 24.852%, elapsed 63 s, estimated 253 s, iters = {MDP: 9942}
> Progress 25.547%, elapsed 66 s, estimated 258 s, iters = {MDP: 10220}
> Progress 26.212%, elapsed 69 s, estimated 263 s, iters = {MDP: 10486}
> Progress 26.897%, elapsed 72 s, estimated 268 s, iters = {MDP: 10760}
> Progress 27.61%, elapsed 75 s, estimated 272 s, iters = {MDP: 11045}
> Progress 28.317%, elapsed 78 s, estimated 275 s, iters = {MDP: 11328}
> Progress 29.045%, elapsed 81 s, estimated 279 s, iters = {MDP: 11619}
> Progress 29.747%, elapsed 84 s, estimated 282 s, iters = {MDP: 11900}
> Progress 30.33%, elapsed 87 s, estimated 287 s, iters = {MDP: 12133}
> Progress 30.842%, elapsed 90 s, estimated 292 s, iters = {MDP: 12338}
> Progress 31.397%, elapsed 93 s, estimated 296 s, iters = {MDP: 12560}
> Progress 31.965%, elapsed 96 s, estimated 300 s, iters = {MDP: 12787}
> Progress 32.537%, elapsed 99 s, estimated 304 s, iters = {MDP: 13016}
> Progress 33.105%, elapsed 102 s, estimated 308 s, iters = {MDP: 13243}
> Progress 33.677%, elapsed 105 s, estimated 312 s, iters = {MDP: 13472}
> Progress 34.247%, elapsed 108 s, estimated 315 s, iters = {MDP: 13700}
> Progress 34.815%, elapsed 111 s, estimated 319 s, iters = {MDP: 13927}
> Progress 35.282%, elapsed 114 s, estimated 323 s, iters = {MDP: 14114}
> Progress 35.707%, elapsed 117 s, estimated 328 s, iters = {MDP: 14284}
> Progress 36.16%, elapsed 120 s, estimated 332 s, iters = {MDP: 14465}
> Progress 36.622%, elapsed 123 s, estimated 336 s, iters = {MDP: 14650}
> Progress 37.087%, elapsed 126 s, estimated 340 s, iters = {MDP: 14836}
> Progress 37.555%, elapsed 129 s, estimated 344 s, iters = {MDP: 15023}
> Progress 38.012%, elapsed 132 s, estimated 347 s, iters = {MDP: 15206}
> Progress 38.47%, elapsed 135 s, estimated 351 s, iters = {MDP: 15389}
> Progress 38.942%, elapsed 138 s, estimated 355 s, iters = {MDP: 15578}
> Progress 39.407%, elapsed 141 s, estimated 358 s, iters = {MDP: 15764}
> Progress 39.877%, elapsed 144 s, estimated 361 s, iters = {MDP: 15952}
> Progress 40.26%, elapsed 147 s, estimated 365 s, iters = {MDP: 16105}
> Progress 40.615%, elapsed 150 s, estimated 370 s, iters = {MDP: 16247}
> Progress 40.98%, elapsed 153 s, estimated 374 s, iters = {MDP: 16393}
> Progress 41.367%, elapsed 156 s, estimated 377 s, iters = {MDP: 16548}
> Progress 41.762%, elapsed 159 s, estimated 381 s, iters = {MDP: 16706}
> Progress 42.152%, elapsed 162 s, estimated 385 s, iters = {MDP: 16862}
> Progress 42.555%, elapsed 165 s, estimated 388 s, iters = {MDP: 17023}
> Progress 42.965%, elapsed 168 s, estimated 391 s, iters = {MDP: 17187}
> Progress 43.367%, elapsed 171 s, estimated 395 s, iters = {MDP: 17348}
> Progress 43.777%, elapsed 174 s, estimated 398 s, iters = {MDP: 17512}
> Progress 44.185%, elapsed 177 s, estimated 401 s, iters = {MDP: 17675}
> Progress 44.592%, elapsed 180 s, estimated 404 s, iters = {MDP: 17838}
> Progress 44.97%, elapsed 183 s, estimated 407 s, iters = {MDP: 17989}
> Progress 45.245%, elapsed 186 s, estimated 412 s, iters = {MDP: 18099}
> Progress 45.547%, elapsed 189 s, estimated 415 s, iters = {MDP: 18220}
> Progress 45.845%, elapsed 192 s, estimated 419 s, iters = {MDP: 18339}
