2024-01-04 20:51:33,051 - cli.py - This is Paynt version 0.1.0.
2024-01-04 20:51:33,051 - sketch.py - loading sketch from models/mdp/sketches/uav/operator-roz-big/sketch.templ ...
2024-01-04 20:51:33,051 - sketch.py - assuming sketch in PRISM format...
2024-01-04 20:51:33,061 - prism_parser.py - PRISM model type: MDP
2024-01-04 20:51:33,062 - prism_parser.py - processing hole definitions...
2024-01-04 20:51:33,062 - prism_parser.py - loading properties from models/mdp/sketches/uav/operator-roz-big/sketch.props ...
2024-01-04 20:51:33,064 - prism_parser.py - found the following specification: constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-04 20:51:33,064 - jani.py - constructing JANI program...
2024-01-04 20:51:33,106 - jani.py - constructing the quotient...
2024-01-04 20:51:34,315 - jani.py - associating choices of the quotient with hole assignments...
2024-01-04 20:51:34,630 - sketch.py - sketch parsing OK
2024-01-04 20:51:34,631 - sketch.py - constructed explicit quotient having 17927 states and 295977 actions
2024-01-04 20:51:34,631 - sketch.py - found the following specification constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-04 20:51:34,771 - mdp_family.py - associating choices with action labels...
2024-01-04 20:51:35,110 - synthesizer.py - evaluation initiated, design space: 360000
> Progress 0.183%, elapsed 3 s, estimated 1635 s, iters = {MDP: 662}
> Progress 0.351%, elapsed 6 s, estimated 1706 s, iters = {MDP: 1268}
> Progress 0.509%, elapsed 9 s, estimated 1768 s, iters = {MDP: 1835}
> Progress 0.671%, elapsed 12 s, estimated 1790 s, iters = {MDP: 2417}
> Progress 0.837%, elapsed 15 s, estimated 1793 s, iters = {MDP: 3015}
> Progress 1.003%, elapsed 18 s, estimated 1796 s, iters = {MDP: 3612}
> Progress 1.156%, elapsed 21 s, estimated 1818 s, iters = {MDP: 4163}
> Progress 1.312%, elapsed 24 s, estimated 1830 s, iters = {MDP: 4726}
> Progress 1.472%, elapsed 27 s, estimated 1836 s, iters = {MDP: 5301}
> Progress 1.632%, elapsed 30 s, estimated 1840 s, iters = {MDP: 5878}
> Progress 1.793%, elapsed 33 s, estimated 1842 s, iters = {MDP: 6456}
> Progress 1.95%, elapsed 36 s, estimated 1847 s, iters = {MDP: 7024}
> Progress 2.112%, elapsed 39 s, estimated 1848 s, iters = {MDP: 7606}
> Progress 2.274%, elapsed 42 s, estimated 1848 s, iters = {MDP: 8189}
> Progress 2.434%, elapsed 45 s, estimated 1850 s, iters = {MDP: 8766}
> Progress 2.596%, elapsed 48 s, estimated 1850 s, iters = {MDP: 9347}
> Progress 2.746%, elapsed 51 s, estimated 1858 s, iters = {MDP: 9889}
> Progress 2.899%, elapsed 54 s, estimated 1864 s, iters = {MDP: 10439}
> Progress 3.061%, elapsed 57 s, estimated 1863 s, iters = {MDP: 11022}
> Progress 3.226%, elapsed 60 s, estimated 1861 s, iters = {MDP: 11615}
> Progress 3.387%, elapsed 63 s, estimated 1861 s, iters = {MDP: 12197}
> Progress 3.549%, elapsed 66 s, estimated 1861 s, iters = {MDP: 12781}
> Progress 3.713%, elapsed 69 s, estimated 1859 s, iters = {MDP: 13370}
> Progress 3.875%, elapsed 72 s, estimated 1859 s, iters = {MDP: 13951}
> Progress 4.038%, elapsed 75 s, estimated 1858 s, iters = {MDP: 14541}
> Progress 4.201%, elapsed 78 s, estimated 1858 s, iters = {MDP: 15126}
> Progress 4.351%, elapsed 81 s, estimated 1863 s, iters = {MDP: 15666}
> Progress 4.509%, elapsed 84 s, estimated 1864 s, iters = {MDP: 16236}
> Progress 4.672%, elapsed 87 s, estimated 1863 s, iters = {MDP: 16822}
> Progress 4.83%, elapsed 90 s, estimated 1865 s, iters = {MDP: 17390}
> Progress 4.992%, elapsed 93 s, estimated 1864 s, iters = {MDP: 17974}
> Progress 5.145%, elapsed 96 s, estimated 1867 s, iters = {MDP: 18523}
> Progress 5.29%, elapsed 99 s, estimated 1873 s, iters = {MDP: 19046}
> Progress 5.435%, elapsed 102 s, estimated 1878 s, iters = {MDP: 19570}
> Progress 5.58%, elapsed 105 s, estimated 1883 s, iters = {MDP: 20089}
> Progress 5.717%, elapsed 108 s, estimated 1890 s, iters = {MDP: 20583}
> Progress 5.845%, elapsed 111 s, estimated 1900 s, iters = {MDP: 21045}
> Progress 5.978%, elapsed 114 s, estimated 1908 s, iters = {MDP: 21523}
> Progress 6.118%, elapsed 117 s, estimated 1914 s, iters = {MDP: 22028}
> Progress 6.254%, elapsed 120 s, estimated 1920 s, iters = {MDP: 22519}
> Progress 6.391%, elapsed 123 s, estimated 1926 s, iters = {MDP: 23012}
> Progress 6.529%, elapsed 126 s, estimated 1931 s, iters = {MDP: 23506}
> Progress 6.665%, elapsed 129 s, estimated 1937 s, iters = {MDP: 23997}
> Progress 6.799%, elapsed 132 s, estimated 1943 s, iters = {MDP: 24479}
> Progress 6.936%, elapsed 135 s, estimated 1948 s, iters = {MDP: 24974}
> Progress 7.075%, elapsed 138 s, estimated 1952 s, iters = {MDP: 25473}
> Progress 7.201%, elapsed 141 s, estimated 1959 s, iters = {MDP: 25927}
> Progress 7.33%, elapsed 144 s, estimated 1966 s, iters = {MDP: 26390}
> Progress 7.464%, elapsed 147 s, estimated 1971 s, iters = {MDP: 26874}
> Progress 7.598%, elapsed 150 s, estimated 1976 s, iters = {MDP: 27355}
> Progress 7.729%, elapsed 153 s, estimated 1981 s, iters = {MDP: 27827}
> Progress 7.862%, elapsed 156 s, estimated 1986 s, iters = {MDP: 28307}
> Progress 7.998%, elapsed 159 s, estimated 1990 s, iters = {MDP: 28795}
> Progress 8.116%, elapsed 162 s, estimated 2005 s, iters = {MDP: 29221}
> Progress 8.253%, elapsed 165 s, estimated 2009 s, iters = {MDP: 29712}
> Progress 8.385%, elapsed 168 s, estimated 2013 s, iters = {MDP: 30188}
> Progress 8.511%, elapsed 171 s, estimated 2018 s, iters = {MDP: 30641}
> Progress 8.634%, elapsed 174 s, estimated 2024 s, iters = {MDP: 31084}
> Progress 8.759%, elapsed 177 s, estimated 2029 s, iters = {MDP: 31535}
> Progress 8.891%, elapsed 180 s, estimated 2033 s, iters = {MDP: 32012}
> Progress 9.031%, elapsed 183 s, estimated 2035 s, iters = {MDP: 32514}
> Progress 9.166%, elapsed 186 s, estimated 2038 s, iters = {MDP: 33002}
> Progress 9.301%, elapsed 189 s, estimated 2040 s, iters = {MDP: 33488}
> Progress 9.439%, elapsed 192 s, estimated 2042 s, iters = {MDP: 33982}
> Progress 9.572%, elapsed 195 s, estimated 2045 s, iters = {MDP: 34463}
> Progress 9.705%, elapsed 198 s, estimated 2048 s, iters = {MDP: 34941}
> Progress 9.831%, elapsed 201 s, estimated 2053 s, iters = {MDP: 35396}
> Progress 9.963%, elapsed 204 s, estimated 2056 s, iters = {MDP: 35869}
> Progress 10.085%, elapsed 207 s, estimated 2061 s, iters = {MDP: 36307}
> Progress 10.201%, elapsed 210 s, estimated 2066 s, iters = {MDP: 36727}
> Progress 10.317%, elapsed 213 s, estimated 2072 s, iters = {MDP: 37145}
> Progress 10.431%, elapsed 216 s, estimated 2079 s, iters = {MDP: 37554}
> Progress 10.542%, elapsed 219 s, estimated 2085 s, iters = {MDP: 37954}
> Progress 10.655%, elapsed 222 s, estimated 2091 s, iters = {MDP: 38359}
> Progress 10.766%, elapsed 225 s, estimated 2098 s, iters = {MDP: 38760}
> Progress 10.872%, elapsed 228 s, estimated 2105 s, iters = {MDP: 39141}
> Progress 10.972%, elapsed 231 s, estimated 2113 s, iters = {MDP: 39502}
> Progress 11.081%, elapsed 234 s, estimated 2119 s, iters = {MDP: 39893}
> Progress 11.187%, elapsed 237 s, estimated 2126 s, iters = {MDP: 40275}
> Progress 11.296%, elapsed 240 s, estimated 2132 s, iters = {MDP: 40670}
> Progress 11.408%, elapsed 243 s, estimated 2137 s, iters = {MDP: 41070}
> Progress 11.516%, elapsed 246 s, estimated 2143 s, iters = {MDP: 41459}
> Progress 11.626%, elapsed 249 s, estimated 2149 s, iters = {MDP: 41856}
> Progress 11.736%, elapsed 252 s, estimated 2155 s, iters = {MDP: 42251}
> Progress 11.845%, elapsed 255 s, estimated 2160 s, iters = {MDP: 42643}
> Progress 11.949%, elapsed 258 s, estimated 2166 s, iters = {MDP: 43020}
> Progress 12.051%, elapsed 261 s, estimated 2173 s, iters = {MDP: 43386}
> Progress 12.158%, elapsed 264 s, estimated 2178 s, iters = {MDP: 43773}
> Progress 12.27%, elapsed 267 s, estimated 2183 s, iters = {MDP: 44173}
> Progress 12.378%, elapsed 270 s, estimated 2188 s, iters = {MDP: 44562}
> Progress 12.486%, elapsed 273 s, estimated 2193 s, iters = {MDP: 44953}
> Progress 12.593%, elapsed 276 s, estimated 2199 s, iters = {MDP: 45338}
> Progress 12.701%, elapsed 279 s, estimated 2204 s, iters = {MDP: 45727}
> Progress 12.808%, elapsed 282 s, estimated 2209 s, iters = {MDP: 46113}
> Progress 12.913%, elapsed 285 s, estimated 2214 s, iters = {MDP: 46489}
> Progress 13.016%, elapsed 288 s, estimated 2219 s, iters = {MDP: 46860}
> Progress 13.115%, elapsed 291 s, estimated 2226 s, iters = {MDP: 47218}
> Progress 13.222%, elapsed 294 s, estimated 2230 s, iters = {MDP: 47602}
> Progress 13.326%, elapsed 297 s, estimated 2235 s, iters = {MDP: 47977}
> Progress 13.434%, elapsed 300 s, estimated 2240 s, iters = {MDP: 48364}
> Progress 13.542%, elapsed 303 s, estimated 2244 s, iters = {MDP: 48753}
> Progress 13.65%, elapsed 306 s, estimated 2248 s, iters = {MDP: 49143}
> Progress 13.757%, elapsed 309 s, estimated 2253 s, iters = {MDP: 49527}
> Progress 13.861%, elapsed 313 s, estimated 2258 s, iters = {MDP: 49902}
> Progress 13.969%, elapsed 316 s, estimated 2262 s, iters = {MDP: 50290}
