2024-01-04 20:51:38,048 - cli.py - This is Paynt version 0.1.0.
2024-01-04 20:51:38,048 - sketch.py - loading sketch from models/mdp/sketches/uav/operator-roz-workload/sketch.templ ...
2024-01-04 20:51:38,048 - sketch.py - assuming sketch in PRISM format...
2024-01-04 20:51:38,056 - prism_parser.py - PRISM model type: MDP
2024-01-04 20:51:38,056 - prism_parser.py - processing hole definitions...
2024-01-04 20:51:38,057 - prism_parser.py - loading properties from models/mdp/sketches/uav/operator-roz-workload/sketch.props ...
2024-01-04 20:51:38,058 - prism_parser.py - found the following specification: constraints: P>=7/10 [F ((w1 & w2) & w6)]; 
2024-01-04 20:51:38,058 - jani.py - constructing JANI program...
2024-01-04 20:51:38,088 - jani.py - constructing the quotient...
2024-01-04 20:51:38,650 - jani.py - associating choices of the quotient with hole assignments...
2024-01-04 20:51:38,797 - sketch.py - sketch parsing OK
2024-01-04 20:51:38,797 - sketch.py - constructed explicit quotient having 9007 states and 139969 actions
2024-01-04 20:51:38,797 - sketch.py - found the following specification constraints: P>=7/10 [F ((w1 & w2) & w6)]; 
2024-01-04 20:51:38,869 - mdp_family.py - associating choices with action labels...
2024-01-04 20:51:39,026 - synthesizer.py - evaluation initiated, design space: 1620000
> Progress 0.047%, elapsed 3 s, estimated 6323 s, iters = {MDP: 770}
> Progress 0.092%, elapsed 6 s, estimated 6504 s, iters = {MDP: 1496}
> Progress 0.139%, elapsed 9 s, estimated 6445 s, iters = {MDP: 2264}
> Progress 0.188%, elapsed 12 s, estimated 6361 s, iters = {MDP: 3058}
> Progress 0.236%, elapsed 15 s, estimated 6348 s, iters = {MDP: 3830}
> Progress 0.282%, elapsed 18 s, estimated 6384 s, iters = {MDP: 4570}
> Progress 0.329%, elapsed 21 s, estimated 6371 s, iters = {MDP: 5343}
> Progress 0.379%, elapsed 24 s, estimated 6328 s, iters = {MDP: 6148}
> Progress 0.427%, elapsed 27 s, estimated 6321 s, iters = {MDP: 6924}
> Progress 0.475%, elapsed 30 s, estimated 6312 s, iters = {MDP: 7704}
> Progress 0.524%, elapsed 33 s, estimated 6298 s, iters = {MDP: 8493}
> Progress 0.569%, elapsed 36 s, estimated 6329 s, iters = {MDP: 9220}
> Progress 0.617%, elapsed 39 s, estimated 6321 s, iters = {MDP: 10001}
> Progress 0.665%, elapsed 42 s, estimated 6312 s, iters = {MDP: 10786}
> Progress 0.713%, elapsed 45 s, estimated 6313 s, iters = {MDP: 11554}
> Progress 0.757%, elapsed 48 s, estimated 6342 s, iters = {MDP: 12268}
> Progress 0.804%, elapsed 51 s, estimated 6346 s, iters = {MDP: 13027}
> Progress 0.851%, elapsed 54 s, estimated 6343 s, iters = {MDP: 13800}
> Progress 0.899%, elapsed 57 s, estimated 6337 s, iters = {MDP: 14580}
> Progress 0.948%, elapsed 60 s, estimated 6329 s, iters = {MDP: 15367}
> Progress 0.996%, elapsed 63 s, estimated 6328 s, iters = {MDP: 16139}
> Progress 1.044%, elapsed 66 s, estimated 6322 s, iters = {MDP: 16922}
> Progress 1.092%, elapsed 69 s, estimated 6318 s, iters = {MDP: 17703}
> Progress 1.141%, elapsed 72 s, estimated 6311 s, iters = {MDP: 18493}
> Progress 1.187%, elapsed 75 s, estimated 6317 s, iters = {MDP: 19245}
> Progress 1.233%, elapsed 78 s, estimated 6327 s, iters = {MDP: 19985}
> Progress 1.281%, elapsed 81 s, estimated 6324 s, iters = {MDP: 20761}
> Progress 1.329%, elapsed 84 s, estimated 6320 s, iters = {MDP: 21543}
> Progress 1.378%, elapsed 87 s, estimated 6316 s, iters = {MDP: 22330}
> Progress 1.426%, elapsed 90 s, estimated 6313 s, iters = {MDP: 23111}
> Progress 1.476%, elapsed 93 s, estimated 6304 s, iters = {MDP: 23915}
> Progress 1.524%, elapsed 96 s, estimated 6300 s, iters = {MDP: 24701}
> Progress 1.574%, elapsed 99 s, estimated 6292 s, iters = {MDP: 25507}
> Progress 1.623%, elapsed 102 s, estimated 6288 s, iters = {MDP: 26295}
> Progress 1.67%, elapsed 105 s, estimated 6288 s, iters = {MDP: 27070}
> Progress 1.708%, elapsed 108 s, estimated 6326 s, iters = {MDP: 27675}
> Progress 1.757%, elapsed 111 s, estimated 6321 s, iters = {MDP: 28466}
> Progress 1.806%, elapsed 114 s, estimated 6313 s, iters = {MDP: 29273}
> Progress 1.855%, elapsed 117 s, estimated 6309 s, iters = {MDP: 30062}
> Progress 1.905%, elapsed 120 s, estimated 6302 s, iters = {MDP: 30867}
> Progress 1.954%, elapsed 123 s, estimated 6297 s, iters = {MDP: 31664}
> Progress 2.004%, elapsed 126 s, estimated 6291 s, iters = {MDP: 32467}
> Progress 2.053%, elapsed 129 s, estimated 6286 s, iters = {MDP: 33269}
> Progress 2.103%, elapsed 132 s, estimated 6279 s, iters = {MDP: 34078}
> Progress 2.152%, elapsed 135 s, estimated 6276 s, iters = {MDP: 34868}
> Progress 2.197%, elapsed 138 s, estimated 6283 s, iters = {MDP: 35605}
> Progress 2.245%, elapsed 141 s, estimated 6284 s, iters = {MDP: 36371}
> Progress 2.294%, elapsed 144 s, estimated 6280 s, iters = {MDP: 37168}
> Progress 2.343%, elapsed 147 s, estimated 6277 s, iters = {MDP: 37959}
> Progress 2.392%, elapsed 150 s, estimated 6273 s, iters = {MDP: 38764}
> Progress 2.441%, elapsed 153 s, estimated 6271 s, iters = {MDP: 39549}
> Progress 2.49%, elapsed 156 s, estimated 6268 s, iters = {MDP: 40345}
> Progress 2.539%, elapsed 159 s, estimated 6264 s, iters = {MDP: 41146}
> Progress 2.589%, elapsed 162 s, estimated 6259 s, iters = {MDP: 41956}
> Progress 2.638%, elapsed 165 s, estimated 6258 s, iters = {MDP: 42744}
> Progress 2.684%, elapsed 168 s, estimated 6263 s, iters = {MDP: 43482}
> Progress 2.73%, elapsed 171 s, estimated 6266 s, iters = {MDP: 44240}
> Progress 2.776%, elapsed 174 s, estimated 6270 s, iters = {MDP: 44984}
> Progress 2.825%, elapsed 177 s, estimated 6267 s, iters = {MDP: 45780}
> Progress 2.875%, elapsed 180 s, estimated 6264 s, iters = {MDP: 46579}
> Progress 2.924%, elapsed 183 s, estimated 6261 s, iters = {MDP: 47383}
> Progress 2.973%, elapsed 186 s, estimated 6259 s, iters = {MDP: 48175}
> Progress 3.024%, elapsed 189 s, estimated 6254 s, iters = {MDP: 48992}
> Progress 3.073%, elapsed 192 s, estimated 6250 s, iters = {MDP: 49797}
> Progress 3.122%, elapsed 195 s, estimated 6248 s, iters = {MDP: 50589}
> Progress 3.167%, elapsed 199 s, estimated 6284 s, iters = {MDP: 51312}
> Progress 3.216%, elapsed 202 s, estimated 6281 s, iters = {MDP: 52110}
> Progress 3.267%, elapsed 205 s, estimated 6275 s, iters = {MDP: 52935}
> Progress 3.317%, elapsed 208 s, estimated 6270 s, iters = {MDP: 53749}
> Progress 3.367%, elapsed 211 s, estimated 6266 s, iters = {MDP: 54559}
> Progress 3.417%, elapsed 214 s, estimated 6263 s, iters = {MDP: 55365}
> Progress 3.467%, elapsed 217 s, estimated 6259 s, iters = {MDP: 56172}
> Progress 3.517%, elapsed 220 s, estimated 6255 s, iters = {MDP: 56986}
> Progress 3.568%, elapsed 223 s, estimated 6251 s, iters = {MDP: 57806}
> Progress 3.614%, elapsed 226 s, estimated 6254 s, iters = {MDP: 58556}
> Progress 3.662%, elapsed 229 s, estimated 6254 s, iters = {MDP: 59330}
> Progress 3.711%, elapsed 232 s, estimated 6252 s, iters = {MDP: 60127}
> Progress 3.76%, elapsed 235 s, estimated 6250 s, iters = {MDP: 60921}
> Progress 3.81%, elapsed 238 s, estimated 6248 s, iters = {MDP: 61723}
> Progress 3.86%, elapsed 241 s, estimated 6244 s, iters = {MDP: 62543}
> Progress 3.91%, elapsed 244 s, estimated 6241 s, iters = {MDP: 63351}
> Progress 3.959%, elapsed 247 s, estimated 6239 s, iters = {MDP: 64152}
> Progress 4.009%, elapsed 250 s, estimated 6236 s, iters = {MDP: 64960}
> Progress 4.06%, elapsed 253 s, estimated 6233 s, iters = {MDP: 65778}
> Progress 4.107%, elapsed 256 s, estimated 6234 s, iters = {MDP: 66539}
> Progress 4.154%, elapsed 259 s, estimated 6236 s, iters = {MDP: 67303}
> Progress 4.204%, elapsed 262 s, estimated 6233 s, iters = {MDP: 68116}
> Progress 4.255%, elapsed 265 s, estimated 6229 s, iters = {MDP: 68936}
> Progress 4.305%, elapsed 268 s, estimated 6226 s, iters = {MDP: 69756}
> Progress 4.354%, elapsed 271 s, estimated 6225 s, iters = {MDP: 70547}
> Progress 4.405%, elapsed 274 s, estimated 6222 s, iters = {MDP: 71364}
> Progress 4.455%, elapsed 277 s, estimated 6219 s, iters = {MDP: 72172}
> Progress 4.504%, elapsed 280 s, estimated 6218 s, iters = {MDP: 72973}
> Progress 4.554%, elapsed 283 s, estimated 6216 s, iters = {MDP: 73781}
> Progress 4.6%, elapsed 286 s, estimated 6219 s, iters = {MDP: 74525}
> Progress 4.647%, elapsed 289 s, estimated 6221 s, iters = {MDP: 75284}
> Progress 4.697%, elapsed 292 s, estimated 6218 s, iters = {MDP: 76098}
> Progress 4.747%, elapsed 295 s, estimated 6216 s, iters = {MDP: 76909}
> Progress 4.797%, elapsed 298 s, estimated 6213 s, iters = {MDP: 77726}
