2024-01-04 19:53:58,003 - cli.py - This is Paynt version 0.1.0.
2024-01-04 19:53:58,003 - sketch.py - loading sketch from models/mdp/sketches/uav/operator-roz/sketch.templ ...
2024-01-04 19:53:58,003 - sketch.py - assuming sketch in PRISM format...
2024-01-04 19:53:58,011 - prism_parser.py - PRISM model type: MDP
2024-01-04 19:53:58,011 - prism_parser.py - processing hole definitions...
2024-01-04 19:53:58,011 - prism_parser.py - loading properties from models/mdp/sketches/uav/operator-roz/sketch.props ...
2024-01-04 19:53:58,012 - prism_parser.py - found the following specification: constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-04 19:53:58,012 - jani.py - constructing JANI program...
2024-01-04 19:53:58,054 - jani.py - constructing the quotient...
2024-01-04 19:53:59,198 - jani.py - associating choices of the quotient with hole assignments...
2024-01-04 19:53:59,540 - sketch.py - sketch parsing OK
2024-01-04 19:53:59,541 - sketch.py - constructed explicit quotient having 17927 states and 295017 actions
2024-01-04 19:53:59,541 - sketch.py - found the following specification constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-04 19:53:59,692 - mdp_family.py - associating choices with action labels...
2024-01-04 19:54:00,103 - synthesizer.py - evaluation initiated, design space: 14400
> Progress 3.465%, elapsed 3 s, estimated 86 s, iters = {MDP: 500}
> Progress 6.972%, elapsed 6 s, estimated 86 s, iters = {MDP: 1005}
> Progress 10.291%, elapsed 9 s, estimated 87 s, iters = {MDP: 1483}
> Progress 13.034%, elapsed 12 s, estimated 92 s, iters = {MDP: 1878}
> Progress 15.597%, elapsed 15 s, estimated 96 s, iters = {MDP: 2247}
> Progress 17.847%, elapsed 18 s, estimated 100 s, iters = {MDP: 2571}
> Progress 19.93%, elapsed 21 s, estimated 105 s, iters = {MDP: 2871}
> Progress 21.583%, elapsed 24 s, estimated 111 s, iters = {MDP: 3109}
> Progress 23.375%, elapsed 27 s, estimated 115 s, iters = {MDP: 3367}
> Progress 25.138%, elapsed 30 s, estimated 119 s, iters = {MDP: 3621}
> Progress 26.611%, elapsed 33 s, estimated 124 s, iters = {MDP: 3833}
> Progress 28.229%, elapsed 36 s, estimated 127 s, iters = {MDP: 4066}
> Progress 29.833%, elapsed 39 s, estimated 130 s, iters = {MDP: 4297}
> Progress 31.118%, elapsed 42 s, estimated 135 s, iters = {MDP: 4482}
> Progress 32.479%, elapsed 45 s, estimated 138 s, iters = {MDP: 4678}
> Progress 33.84%, elapsed 48 s, estimated 142 s, iters = {MDP: 4874}
> Progress 35.152%, elapsed 51 s, estimated 145 s, iters = {MDP: 5063}
> Progress 36.215%, elapsed 54 s, estimated 149 s, iters = {MDP: 5216}
> Progress 37.326%, elapsed 57 s, estimated 153 s, iters = {MDP: 5376}
> Progress 38.5%, elapsed 60 s, estimated 156 s, iters = {MDP: 5545}
> Progress 39.631%, elapsed 63 s, estimated 159 s, iters = {MDP: 5708}
> Progress 40.666%, elapsed 66 s, estimated 162 s, iters = {MDP: 5857}
> Progress 41.687%, elapsed 69 s, estimated 165 s, iters = {MDP: 6004}
> Progress 42.729%, elapsed 72 s, estimated 168 s, iters = {MDP: 6154}
> Progress 43.791%, elapsed 75 s, estimated 171 s, iters = {MDP: 6307}
> Progress 44.861%, elapsed 78 s, estimated 174 s, iters = {MDP: 6461}
> Progress 45.763%, elapsed 81 s, estimated 177 s, iters = {MDP: 6591}
> Progress 46.618%, elapsed 84 s, estimated 180 s, iters = {MDP: 6714}
> Progress 47.527%, elapsed 87 s, estimated 183 s, iters = {MDP: 6845}
> Progress 48.451%, elapsed 90 s, estimated 186 s, iters = {MDP: 6978}
> Progress 49.472%, elapsed 93 s, estimated 188 s, iters = {MDP: 7125}
> Progress 50.388%, elapsed 96 s, estimated 191 s, iters = {MDP: 7257}
> Progress 51.208%, elapsed 99 s, estimated 193 s, iters = {MDP: 7375}
> Progress 52.083%, elapsed 102 s, estimated 196 s, iters = {MDP: 7501}
> Progress 52.993%, elapsed 105 s, estimated 198 s, iters = {MDP: 7632}
> Progress 53.888%, elapsed 108 s, estimated 201 s, iters = {MDP: 7761}
> Progress 54.798%, elapsed 111 s, estimated 203 s, iters = {MDP: 7892}
> Progress 55.562%, elapsed 114 s, estimated 205 s, iters = {MDP: 8002}
> Progress 56.326%, elapsed 117 s, estimated 208 s, iters = {MDP: 8112}
> Progress 57.097%, elapsed 120 s, estimated 210 s, iters = {MDP: 8223}
> Progress 57.847%, elapsed 123 s, estimated 213 s, iters = {MDP: 8331}
> Progress 58.59%, elapsed 126 s, estimated 215 s, iters = {MDP: 8438}
> Progress 59.34%, elapsed 129 s, estimated 218 s, iters = {MDP: 8546}
> Progress 60.076%, elapsed 132 s, estimated 220 s, iters = {MDP: 8652}
> Progress 60.701%, elapsed 135 s, estimated 223 s, iters = {MDP: 8742}
> Progress 61.375%, elapsed 138 s, estimated 225 s, iters = {MDP: 8839}
> Progress 62.083%, elapsed 141 s, estimated 227 s, iters = {MDP: 8941}
> Progress 62.791%, elapsed 144 s, estimated 230 s, iters = {MDP: 9043}
> Progress 63.479%, elapsed 147 s, estimated 232 s, iters = {MDP: 9142}
> Progress 64.173%, elapsed 150 s, estimated 234 s, iters = {MDP: 9242}
> Progress 64.902%, elapsed 153 s, estimated 236 s, iters = {MDP: 9347}
> Progress 65.506%, elapsed 156 s, estimated 238 s, iters = {MDP: 9434}
> Progress 66.104%, elapsed 159 s, estimated 241 s, iters = {MDP: 9520}
> Progress 66.736%, elapsed 162 s, estimated 243 s, iters = {MDP: 9611}
> Progress 67.388%, elapsed 165 s, estimated 245 s, iters = {MDP: 9705}
> Progress 68.048%, elapsed 168 s, estimated 247 s, iters = {MDP: 9800}
> Progress 68.694%, elapsed 171 s, estimated 249 s, iters = {MDP: 9893}
> Progress 69.347%, elapsed 174 s, estimated 251 s, iters = {MDP: 9987}
> Progress 70.006%, elapsed 177 s, estimated 253 s, iters = {MDP: 10082}
> Progress 70.534%, elapsed 180 s, estimated 256 s, iters = {MDP: 10158}
> Progress 71.083%, elapsed 183 s, estimated 258 s, iters = {MDP: 10237}
> Progress 71.652%, elapsed 186 s, estimated 260 s, iters = {MDP: 10319}
> Progress 72.236%, elapsed 189 s, estimated 262 s, iters = {MDP: 10403}
> Progress 72.833%, elapsed 192 s, estimated 264 s, iters = {MDP: 10489}
> Progress 73.437%, elapsed 195 s, estimated 266 s, iters = {MDP: 10576}
> Progress 74.048%, elapsed 198 s, estimated 268 s, iters = {MDP: 10664}
> Progress 74.659%, elapsed 201 s, estimated 270 s, iters = {MDP: 10752}
> Progress 75.215%, elapsed 204 s, estimated 272 s, iters = {MDP: 10832}
> Progress 75.708%, elapsed 207 s, estimated 274 s, iters = {MDP: 10903}
> Progress 76.222%, elapsed 210 s, estimated 276 s, iters = {MDP: 10977}
> Progress 76.763%, elapsed 213 s, estimated 278 s, iters = {MDP: 11055}
> Progress 77.263%, elapsed 216 s, estimated 280 s, iters = {MDP: 11127}
> Progress 77.777%, elapsed 219 s, estimated 282 s, iters = {MDP: 11201}
> Progress 78.347%, elapsed 222 s, estimated 284 s, iters = {MDP: 11283}
> Progress 78.916%, elapsed 226 s, estimated 286 s, iters = {MDP: 11365}
> Progress 79.486%, elapsed 229 s, estimated 288 s, iters = {MDP: 11447}
> Progress 80.041%, elapsed 232 s, estimated 289 s, iters = {MDP: 11527}
> Progress 80.506%, elapsed 235 s, estimated 291 s, iters = {MDP: 11594}
> Progress 80.979%, elapsed 238 s, estimated 294 s, iters = {MDP: 11662}
> Progress 81.479%, elapsed 241 s, estimated 295 s, iters = {MDP: 11734}
> Progress 81.993%, elapsed 244 s, estimated 297 s, iters = {MDP: 11808}
> Progress 82.513%, elapsed 247 s, estimated 299 s, iters = {MDP: 11883}
> Progress 83.034%, elapsed 250 s, estimated 301 s, iters = {MDP: 11958}
> Progress 83.548%, elapsed 253 s, estimated 303 s, iters = {MDP: 12032}
> Progress 84.069%, elapsed 256 s, estimated 304 s, iters = {MDP: 12107}
> Progress 84.597%, elapsed 259 s, estimated 306 s, iters = {MDP: 12183}
> Progress 85.104%, elapsed 262 s, estimated 308 s, iters = {MDP: 12256}
> Progress 85.541%, elapsed 265 s, estimated 310 s, iters = {MDP: 12319}
> Progress 85.986%, elapsed 268 s, estimated 312 s, iters = {MDP: 12383}
> Progress 86.451%, elapsed 271 s, estimated 313 s, iters = {MDP: 12450}
> Progress 86.923%, elapsed 274 s, estimated 315 s, iters = {MDP: 12518}
> Progress 87.409%, elapsed 277 s, estimated 317 s, iters = {MDP: 12588}
> Progress 87.895%, elapsed 280 s, estimated 319 s, iters = {MDP: 12658}
> Progress 88.388%, elapsed 283 s, estimated 320 s, iters = {MDP: 12729}
> Progress 88.881%, elapsed 286 s, estimated 322 s, iters = {MDP: 12800}
> Progress 89.375%, elapsed 289 s, estimated 323 s, iters = {MDP: 12871}
> Progress 89.868%, elapsed 292 s, estimated 325 s, iters = {MDP: 12942}
> Progress 90.298%, elapsed 295 s, estimated 327 s, iters = {MDP: 13004}
> Progress 90.708%, elapsed 298 s, estimated 329 s, iters = {MDP: 13063}
> Progress 91.125%, elapsed 301 s, estimated 330 s, iters = {MDP: 13123}
> Progress 91.569%, elapsed 304 s, estimated 332 s, iters = {MDP: 13187}
> Progress 92.02%, elapsed 307 s, estimated 334 s, iters = {MDP: 13252}
> Progress 92.472%, elapsed 310 s, estimated 335 s, iters = {MDP: 13317}
> Progress 92.923%, elapsed 313 s, estimated 337 s, iters = {MDP: 13382}
> Progress 93.381%, elapsed 316 s, estimated 339 s, iters = {MDP: 13448}
> Progress 93.84%, elapsed 319 s, estimated 340 s, iters = {MDP: 13514}
> Progress 94.298%, elapsed 322 s, estimated 342 s, iters = {MDP: 13580}
> Progress 94.75%, elapsed 325 s, estimated 343 s, iters = {MDP: 13645}
> Progress 95.18%, elapsed 328 s, estimated 345 s, iters = {MDP: 13707}
> Progress 95.562%, elapsed 331 s, estimated 347 s, iters = {MDP: 13762}
> Progress 95.951%, elapsed 334 s, estimated 349 s, iters = {MDP: 13818}
> Progress 96.368%, elapsed 337 s, estimated 350 s, iters = {MDP: 13878}
> Progress 96.784%, elapsed 340 s, estimated 352 s, iters = {MDP: 13938}
> Progress 97.208%, elapsed 344 s, estimated 353 s, iters = {MDP: 13999}
> Progress 97.638%, elapsed 347 s, estimated 355 s, iters = {MDP: 14061}
> Progress 98.069%, elapsed 350 s, estimated 356 s, iters = {MDP: 14123}
> Progress 98.5%, elapsed 353 s, estimated 358 s, iters = {MDP: 14185}
> Progress 98.93%, elapsed 356 s, estimated 359 s, iters = {MDP: 14247}
> Progress 99.368%, elapsed 359 s, estimated 361 s, iters = {MDP: 14310}
> Progress 99.798%, elapsed 362 s, estimated 362 s, iters = {MDP: 14372}
2024-01-04 20:00:03,615 - synthesizer.py - evaluation finished
--------------------
Synthesis summary:
constraint 1: P>=3/4 [F ((w1 & w2) & w6)]

method: 1-by-1, synthesis time: 363.51 s
number of holes: 5, family size: 14400, quotient: 17927 states / 295017 actions
explored: 100 %
MDP stats: avg MDP size: 8411, iterations: 14400

satisfied 14116/14400 members (98%)
--------------------
