2024-01-04 19:53:50,081 - cli.py - This is Paynt version 0.1.0.
2024-01-04 19:53:50,081 - sketch.py - loading sketch from models/mdp/sketches/uav/roz-big/sketch.templ ...
2024-01-04 19:53:50,081 - sketch.py - assuming sketch in PRISM format...
2024-01-04 19:53:50,089 - prism_parser.py - PRISM model type: MDP
2024-01-04 19:53:50,089 - prism_parser.py - processing hole definitions...
2024-01-04 19:53:50,090 - prism_parser.py - loading properties from models/mdp/sketches/uav/roz-big/sketch.props ...
2024-01-04 19:53:50,091 - prism_parser.py - found the following specification: constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-04 19:53:50,091 - jani.py - constructing JANI program...
2024-01-04 19:53:50,102 - jani.py - constructing the quotient...
2024-01-04 19:53:50,821 - jani.py - associating choices of the quotient with hole assignments...
2024-01-04 19:53:50,986 - sketch.py - sketch parsing OK
2024-01-04 19:53:50,987 - sketch.py - constructed explicit quotient having 17927 states and 192109 actions
2024-01-04 19:53:50,987 - sketch.py - found the following specification constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-04 19:53:51,086 - mdp_family.py - associating choices with action labels...
2024-01-04 19:53:51,342 - synthesizer.py - evaluation initiated, design space: 40500
> Progress 1.777%, elapsed 3 s, estimated 168 s, iters = {MDP: 721}
> Progress 3.599%, elapsed 6 s, estimated 166 s, iters = {MDP: 1459}
> Progress 5.219%, elapsed 9 s, estimated 172 s, iters = {MDP: 2115}
> Progress 6.513%, elapsed 12 s, estimated 184 s, iters = {MDP: 2639}
> Progress 7.928%, elapsed 15 s, estimated 189 s, iters = {MDP: 3212}
> Progress 9.343%, elapsed 18 s, estimated 192 s, iters = {MDP: 3785}
> Progress 10.59%, elapsed 21 s, estimated 198 s, iters = {MDP: 4290}
> Progress 11.686%, elapsed 24 s, estimated 205 s, iters = {MDP: 4734}
> Progress 12.839%, elapsed 27 s, estimated 210 s, iters = {MDP: 5201}
> Progress 13.888%, elapsed 30 s, estimated 216 s, iters = {MDP: 5626}
> Progress 14.995%, elapsed 33 s, estimated 220 s, iters = {MDP: 6074}
> Progress 15.817%, elapsed 36 s, estimated 227 s, iters = {MDP: 6407}
> Progress 16.669%, elapsed 39 s, estimated 234 s, iters = {MDP: 6752}
> Progress 17.545%, elapsed 42 s, estimated 239 s, iters = {MDP: 7107}
> Progress 18.456%, elapsed 45 s, estimated 244 s, iters = {MDP: 7476}
> Progress 19.355%, elapsed 48 s, estimated 248 s, iters = {MDP: 7840}
> Progress 20.202%, elapsed 51 s, estimated 252 s, iters = {MDP: 8183}
> Progress 20.881%, elapsed 54 s, estimated 258 s, iters = {MDP: 8458}
> Progress 21.602%, elapsed 57 s, estimated 264 s, iters = {MDP: 8750}
> Progress 22.372%, elapsed 60 s, estimated 268 s, iters = {MDP: 9062}
