2024-01-03 01:12:29,612 - cli.py - This is Paynt version 0.1.0.
2024-01-03 01:12:29,612 - sketch.py - loading sketch from models/mdp/sketches/uav/operator-roz-big-v3/sketch.templ ...
2024-01-03 01:12:29,612 - sketch.py - assuming sketch in PRISM format...
2024-01-03 01:12:29,620 - prism_parser.py - PRISM model type: MDP
2024-01-03 01:12:29,620 - prism_parser.py - processing hole definitions...
2024-01-03 01:12:29,620 - prism_parser.py - loading properties from models/mdp/sketches/uav/operator-roz-big-v3/sketch.props ...
2024-01-03 01:12:29,621 - prism_parser.py - found the following specification: constraints: P>=7/10 [F ((w1 & w2) & w6)]; 
2024-01-03 01:12:29,621 - jani.py - constructing JANI program...
2024-01-03 01:12:29,651 - jani.py - constructing the quotient...
2024-01-03 01:12:30,192 - jani.py - associating choices of the quotient with hole assignments...
2024-01-03 01:12:30,319 - sketch.py - sketch parsing OK
2024-01-03 01:12:30,319 - sketch.py - constructed explicit quotient having 9007 states and 139969 actions
2024-01-03 01:12:30,320 - sketch.py - found the following specification constraints: P>=7/10 [F ((w1 & w2) & w6)]; 
2024-01-03 01:12:30,386 - mdp_family.py - associating choices with action labels...
2024-01-03 01:12:30,549 - synthesizer.py - evaluation initiated, design space: 1620000
> Progress 6.651%, elapsed 3 s, estimated 47 s, iters = {game: 20, MDP: 19}
> Progress 6.659%, elapsed 6 s, estimated 92 s, iters = {game: 37, MDP: 42}
> Progress 16.543%, elapsed 9 s, estimated 55 s, iters = {game: 62, MDP: 71}
> Progress 16.629%, elapsed 12 s, estimated 74 s, iters = {game: 88, MDP: 105}
> Progress 16.652%, elapsed 15 s, estimated 92 s, iters = {game: 114, MDP: 139}
> Progress 16.66%, elapsed 18 s, estimated 110 s, iters = {game: 139, MDP: 169}
> Progress 17.283%, elapsed 21 s, estimated 124 s, iters = {game: 166, MDP: 205}
> Progress 17.77%, elapsed 24 s, estimated 137 s, iters = {game: 192, MDP: 235}
> Progress 21.103%, elapsed 27 s, estimated 130 s, iters = {game: 228, MDP: 279}
> Progress 22.215%, elapsed 30 s, estimated 137 s, iters = {game: 270, MDP: 333}
> Progress 23.326%, elapsed 33 s, estimated 143 s, iters = {game: 314, MDP: 389}
> Progress 24.439%, elapsed 36 s, estimated 149 s, iters = {game: 359, MDP: 448}
> Progress 26.512%, elapsed 39 s, estimated 149 s, iters = {game: 409, MDP: 498}
> Progress 26.567%, elapsed 42 s, estimated 160 s, iters = {game: 464, MDP: 571}
> Progress 26.598%, elapsed 45 s, estimated 171 s, iters = {game: 514, MDP: 633}
> Progress 26.62%, elapsed 48 s, estimated 182 s, iters = {game: 564, MDP: 693}
> Progress 26.628%, elapsed 51 s, estimated 193 s, iters = {game: 612, MDP: 754}
> Progress 26.636%, elapsed 54 s, estimated 205 s, iters = {game: 660, MDP: 820}
> Progress 26.646%, elapsed 57 s, estimated 216 s, iters = {game: 709, MDP: 881}
> Progress 26.653%, elapsed 60 s, estimated 227 s, iters = {game: 756, MDP: 935}
> Progress 26.66%, elapsed 63 s, estimated 239 s, iters = {game: 802, MDP: 1003}
> Progress 26.663%, elapsed 66 s, estimated 250 s, iters = {game: 849, MDP: 1066}
> Progress 27.762%, elapsed 69 s, estimated 251 s, iters = {game: 898, MDP: 1117}
> Progress 27.771%, elapsed 72 s, estimated 262 s, iters = {game: 943, MDP: 1167}
> Progress 28.881%, elapsed 75 s, estimated 262 s, iters = {game: 990, MDP: 1226}
> Progress 29.993%, elapsed 78 s, estimated 263 s, iters = {game: 1035, MDP: 1286}
> Progress 31.095%, elapsed 81 s, estimated 263 s, iters = {game: 1096, MDP: 1362}
> Progress 32.184%, elapsed 84 s, estimated 263 s, iters = {game: 1160, MDP: 1439}
> Progress 32.215%, elapsed 87 s, estimated 272 s, iters = {game: 1223, MDP: 1517}
> Progress 33.319%, elapsed 90 s, estimated 272 s, iters = {game: 1287, MDP: 1599}
> Progress 34.407%, elapsed 93 s, estimated 273 s, iters = {game: 1351, MDP: 1673}
> Progress 35.432%, elapsed 97 s, estimated 273 s, iters = {game: 1416, MDP: 1750}
> Progress 35.547%, elapsed 100 s, estimated 281 s, iters = {game: 1480, MDP: 1834}
> Progress 36.505%, elapsed 103 s, estimated 282 s, iters = {game: 1550, MDP: 1925}
> Progress 36.543%, elapsed 106 s, estimated 290 s, iters = {game: 1634, MDP: 2033}
> Progress 36.582%, elapsed 109 s, estimated 298 s, iters = {game: 1706, MDP: 2121}
> Progress 36.598%, elapsed 112 s, estimated 306 s, iters = {game: 1776, MDP: 2208}
> Progress 36.613%, elapsed 115 s, estimated 314 s, iters = {game: 1846, MDP: 2300}
> Progress 36.622%, elapsed 118 s, estimated 322 s, iters = {game: 1915, MDP: 2385}
> Progress 36.63%, elapsed 121 s, estimated 330 s, iters = {game: 1982, MDP: 2476}
> Progress 36.638%, elapsed 124 s, estimated 338 s, iters = {game: 2051, MDP: 2563}
> Progress 36.646%, elapsed 127 s, estimated 347 s, iters = {game: 2120, MDP: 2649}
> Progress 36.652%, elapsed 130 s, estimated 355 s, iters = {game: 2186, MDP: 2750}
> Progress 36.66%, elapsed 133 s, estimated 363 s, iters = {game: 2255, MDP: 2834}
> Progress 37.53%, elapsed 136 s, estimated 362 s, iters = {game: 2323, MDP: 2927}
> Progress 37.7%, elapsed 139 s, estimated 369 s, iters = {game: 2398, MDP: 3022}
> Progress 37.725%, elapsed 142 s, estimated 377 s, iters = {game: 2466, MDP: 3108}
> Progress 37.741%, elapsed 145 s, estimated 384 s, iters = {game: 2531, MDP: 3182}
> Progress 37.756%, elapsed 148 s, estimated 392 s, iters = {game: 2598, MDP: 3267}
> Progress 37.765%, elapsed 151 s, estimated 400 s, iters = {game: 2662, MDP: 3346}
> Progress 37.774%, elapsed 154 s, estimated 408 s, iters = {game: 2724, MDP: 3429}
> Progress 38.874%, elapsed 157 s, estimated 404 s, iters = {game: 2785, MDP: 3508}
> Progress 39.962%, elapsed 160 s, estimated 401 s, iters = {game: 2846, MDP: 3579}
> Progress 39.993%, elapsed 163 s, estimated 408 s, iters = {game: 2906, MDP: 3655}
> Progress 41.072%, elapsed 166 s, estimated 405 s, iters = {game: 2990, MDP: 3759}
> Progress 41.098%, elapsed 169 s, estimated 412 s, iters = {game: 3074, MDP: 3861}
> Progress 42.153%, elapsed 172 s, estimated 408 s, iters = {game: 3156, MDP: 3968}
> Progress 42.2%, elapsed 175 s, estimated 415 s, iters = {game: 3239, MDP: 4071}
> Progress 42.216%, elapsed 178 s, estimated 422 s, iters = {game: 3319, MDP: 4178}
> Progress 43.29%, elapsed 181 s, estimated 419 s, iters = {game: 3402, MDP: 4282}
> Progress 43.319%, elapsed 184 s, estimated 425 s, iters = {game: 3487, MDP: 4378}
> Progress 44.375%, elapsed 187 s, estimated 422 s, iters = {game: 3571, MDP: 4487}
> Progress 44.421%, elapsed 190 s, estimated 428 s, iters = {game: 3655, MDP: 4594}
> Progress 44.437%, elapsed 193 s, estimated 435 s, iters = {game: 3738, MDP: 4704}
> Progress 45.486%, elapsed 196 s, estimated 432 s, iters = {game: 3829, MDP: 4818}
> Progress 45.512%, elapsed 199 s, estimated 438 s, iters = {game: 3919, MDP: 4926}
> Progress 45.532%, elapsed 202 s, estimated 444 s, iters = {game: 4007, MDP: 5041}
> Progress 45.543%, elapsed 205 s, estimated 451 s, iters = {game: 4095, MDP: 5146}
> Progress 46.413%, elapsed 208 s, estimated 449 s, iters = {game: 4189, MDP: 5271}
> Progress 46.52%, elapsed 211 s, estimated 454 s, iters = {game: 4305, MDP: 5419}
> Progress 46.537%, elapsed 214 s, estimated 461 s, iters = {game: 4419, MDP: 5568}
> Progress 46.553%, elapsed 217 s, estimated 467 s, iters = {game: 4525, MDP: 5705}
> Progress 46.569%, elapsed 220 s, estimated 473 s, iters = {game: 4625, MDP: 5821}
> Progress 46.584%, elapsed 223 s, estimated 480 s, iters = {game: 4726, MDP: 5950}
> Progress 46.599%, elapsed 226 s, estimated 486 s, iters = {game: 4824, MDP: 6075}
> Progress 46.609%, elapsed 229 s, estimated 492 s, iters = {game: 4923, MDP: 6197}
> Progress 46.618%, elapsed 232 s, estimated 499 s, iters = {game: 5023, MDP: 6318}
> Progress 46.63%, elapsed 235 s, estimated 505 s, iters = {game: 5119, MDP: 6442}
> Progress 46.637%, elapsed 238 s, estimated 511 s, iters = {game: 5215, MDP: 6573}
> Progress 46.645%, elapsed 241 s, estimated 518 s, iters = {game: 5313, MDP: 6692}
> Progress 46.655%, elapsed 244 s, estimated 524 s, iters = {game: 5409, MDP: 6816}
> Progress 46.664%, elapsed 247 s, estimated 530 s, iters = {game: 5506, MDP: 6934}
> Progress 47.654%, elapsed 250 s, estimated 526 s, iters = {game: 5619, MDP: 7068}
> Progress 47.701%, elapsed 253 s, estimated 531 s, iters = {game: 5715, MDP: 7184}
> Progress 47.716%, elapsed 256 s, estimated 538 s, iters = {game: 5809, MDP: 7307}
> Progress 47.733%, elapsed 259 s, estimated 544 s, iters = {game: 5900, MDP: 7430}
> Progress 47.747%, elapsed 262 s, estimated 550 s, iters = {game: 5994, MDP: 7548}
> Progress 47.757%, elapsed 265 s, estimated 556 s, iters = {game: 6087, MDP: 7669}
> Progress 47.766%, elapsed 268 s, estimated 562 s, iters = {game: 6179, MDP: 7788}
> Progress 48.819%, elapsed 271 s, estimated 556 s, iters = {game: 6273, MDP: 7899}
> Progress 48.866%, elapsed 274 s, estimated 562 s, iters = {game: 6362, MDP: 8012}
> Progress 48.882%, elapsed 277 s, estimated 568 s, iters = {game: 6447, MDP: 8126}
> Progress 49.961%, elapsed 280 s, estimated 562 s, iters = {game: 6538, MDP: 8237}
> Progress 49.987%, elapsed 283 s, estimated 567 s, iters = {game: 6626, MDP: 8345}
> Progress 51.034%, elapsed 286 s, estimated 562 s, iters = {game: 6726, MDP: 8460}
> Progress 51.066%, elapsed 289 s, estimated 567 s, iters = {game: 6843, MDP: 8596}
> Progress 51.087%, elapsed 292 s, estimated 573 s, iters = {game: 6958, MDP: 8742}
> Progress 51.103%, elapsed 295 s, estimated 578 s, iters = {game: 7073, MDP: 8878}
> Progress 52.145%, elapsed 298 s, estimated 573 s, iters = {game: 7188, MDP: 9017}
> Progress 52.177%, elapsed 301 s, estimated 578 s, iters = {game: 7304, MDP: 9152}
> Progress 52.199%, elapsed 304 s, estimated 584 s, iters = {game: 7420, MDP: 9299}
> Progress 52.214%, elapsed 307 s, estimated 589 s, iters = {game: 7536, MDP: 9435}
