2024-02-04 11:38:11,591 - cli.py - This is Paynt version 0.1.0.
2024-02-04 11:38:11,591 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/tac24/grid-meet-sl-2fsc/sketch.templ ...
2024-02-04 11:38:11,591 - sketch.py - assuming sketch in PRISM format...
2024-02-04 11:38:11,595 - prism_parser.py - PRISM model type: DTMC
2024-02-04 11:38:11,595 - prism_parser.py - processing hole definitions...
2024-02-04 11:38:11,595 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/tac24/grid-meet-sl-2fsc/sketch.props ...
2024-02-04 11:38:11,597 - prism_parser.py - found the following specification: optimality: R[exp]{"moves"}min=? [F "goal"] 
2024-02-04 11:38:11,597 - jani.py - constructing JANI program...
2024-02-04 11:38:11,601 - jani.py - constructing the quotient...
2024-02-04 11:38:12,998 - jani.py - associating choices of the quotient with hole assignments...
2024-02-04 11:38:13,812 - sketch.py - sketch parsing OK
2024-02-04 11:38:13,813 - sketch.py - converting state rewards 'moves' to state-action rewards
2024-02-04 11:38:13,846 - sketch.py - constructed explicit quotient having 9216 states and 577728 actions
2024-02-04 11:38:13,846 - sketch.py - found the following specification optimality: R[exp]{"moves"}min=? [F "goal"] 
2024-02-04 11:38:14,240 - synthesizer.py - synthesis initiated, design space: 16777216
> progress 1.578%, elapsed 3 s, estimated 190 s, iters = {MDP: 241}
> progress 1.855%, elapsed 6 s, estimated 324 s, iters = {MDP: 553}, opt = 12.222
> progress 2.412%, elapsed 9 s, estimated 375 s, iters = {MDP: 765}, opt = 12.182
> progress 2.461%, elapsed 12 s, estimated 489 s, iters = {MDP: 995}, opt = 12.182
> progress 2.708%, elapsed 15 s, estimated 556 s, iters = {MDP: 1252}, opt = 12.182
> progress 5.387%, elapsed 18 s, estimated 335 s, iters = {MDP: 1396}, opt = 12.179
> progress 5.543%, elapsed 21 s, estimated 380 s, iters = {MDP: 1641}, opt = 12.179
> progress 5.773%, elapsed 24 s, estimated 417 s, iters = {MDP: 1861}, opt = 12.179
> progress 7.812%, elapsed 27 s, estimated 348 s, iters = {MDP: 2084}, opt = 12.179
> progress 8.252%, elapsed 30 s, estimated 366 s, iters = {MDP: 2123}, opt = 12.179
> progress 8.271%, elapsed 33 s, estimated 402 s, iters = {MDP: 2390}, opt = 12.179
> progress 8.642%, elapsed 36 s, estimated 420 s, iters = {MDP: 2436}, opt = 12.179
> progress 9.375%, elapsed 39 s, estimated 420 s, iters = {MDP: 2452}, opt = 12.179
> progress 9.667%, elapsed 42 s, estimated 441 s, iters = {MDP: 2526}, opt = 12.179
> progress 9.7%, elapsed 45 s, estimated 471 s, iters = {MDP: 2569}, opt = 12.179
