2024-02-04 12:27:51,665 - cli.py - This is Paynt version 0.1.0.
2024-02-04 12:27:51,665 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/tac24/dpm-demo/sketch.templ ...
2024-02-04 12:27:51,665 - sketch.py - assuming sketch in PRISM format...
2024-02-04 12:27:51,667 - prism_parser.py - PRISM model type: DTMC
2024-02-04 12:27:51,667 - prism_parser.py - processing hole definitions...
2024-02-04 12:27:51,667 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/tac24/dpm-demo/sketch.props ...
2024-02-04 12:27:51,668 - prism_parser.py - found the following specification: constraints: R[exp]{"requests_lost"}<=1 [F "finished"]; optimality: R[exp]{"power"}min=? [F "finished"] 
2024-02-04 12:27:51,668 - jani.py - constructing JANI program...
2024-02-04 12:27:51,681 - jani.py - constructing the quotient...
2024-02-04 12:27:51,903 - jani.py - associating choices of the quotient with hole assignments...
2024-02-04 12:27:52,093 - sketch.py - sketch parsing OK
2024-02-04 12:27:52,094 - sketch.py - constructed explicit quotient having 1752 states and 144030 actions
2024-02-04 12:27:52,094 - sketch.py - found the following specification constraints: R[exp]{"requests_lost"}<=1 [F "finished"]; optimality: R[exp]{"power"}min=? [F "finished"] 
2024-02-04 12:27:52,144 - synthesizer.py - synthesis initiated, design space: 16200
2024-02-04 12:27:52,181 - smt.py - using Python Z3 for SMT solving.
> progress 5.518%, elapsed 3 s, estimated 54 s, iters = {DTMC: 150}
> progress 7.283%, elapsed 6 s, estimated 82 s, iters = {DTMC: 231}
> progress 7.814%, elapsed 9 s, estimated 115 s, iters = {DTMC: 274}
> progress 8.419%, elapsed 12 s, estimated 143 s, iters = {DTMC: 323}
> progress 9.061%, elapsed 15 s, estimated 167 s, iters = {DTMC: 375}
> progress 9.74%, elapsed 18 s, estimated 187 s, iters = {DTMC: 430}
> progress 10.993%, elapsed 21 s, estimated 193 s, iters = {DTMC: 520}, opt = 92657.718
> progress 11.956%, elapsed 24 s, estimated 203 s, iters = {DTMC: 582}, opt = 92657.718
> progress 12.703%, elapsed 27 s, estimated 215 s, iters = {DTMC: 639}, opt = 92657.718
> progress 13.592%, elapsed 30 s, estimated 223 s, iters = {DTMC: 703}, opt = 92657.718
> progress 14.567%, elapsed 33 s, estimated 229 s, iters = {DTMC: 772}, opt = 92657.718
> progress 16.222%, elapsed 36 s, estimated 224 s, iters = {DTMC: 897}, opt = 92657.718
> progress 16.95%, elapsed 39 s, estimated 232 s, iters = {DTMC: 956}, opt = 92657.718
> progress 17.666%, elapsed 42 s, estimated 240 s, iters = {DTMC: 1014}, opt = 92657.718
> progress 18.382%, elapsed 45 s, estimated 247 s, iters = {DTMC: 1072}, opt = 92657.718
> progress 19.635%, elapsed 48 s, estimated 247 s, iters = {DTMC: 1152}, opt = 92657.718
> progress 20.66%, elapsed 51 s, estimated 249 s, iters = {DTMC: 1221}, opt = 87095.249
> progress 21.703%, elapsed 54 s, estimated 251 s, iters = {DTMC: 1296}, opt = 87050.871
> progress 22.419%, elapsed 57 s, estimated 256 s, iters = {DTMC: 1352}, opt = 87050.871
> progress 23.425%, elapsed 60 s, estimated 258 s, iters = {DTMC: 1425}, opt = 87050.871
> progress 24.327%, elapsed 63 s, estimated 261 s, iters = {DTMC: 1494}, opt = 87050.871
> progress 25.117%, elapsed 66 s, estimated 265 s, iters = {DTMC: 1556}, opt = 87050.871
> progress 26.08%, elapsed 69 s, estimated 267 s, iters = {DTMC: 1626}, opt = 87050.871
> progress 27.08%, elapsed 72 s, estimated 268 s, iters = {DTMC: 1697}, opt = 87050.871
> progress 28.061%, elapsed 75 s, estimated 270 s, iters = {DTMC: 1771}, opt = 87050.871
> progress 28.95%, elapsed 78 s, estimated 272 s, iters = {DTMC: 1847}, opt = 87050.871
> progress 29.944%, elapsed 81 s, estimated 273 s, iters = {DTMC: 1917}, opt = 86936.972
> progress 30.759%, elapsed 84 s, estimated 276 s, iters = {DTMC: 1979}, opt = 86936.972
> progress 31.746%, elapsed 87 s, estimated 276 s, iters = {DTMC: 2050}, opt = 86936.972
> progress 32.444%, elapsed 90 s, estimated 280 s, iters = {DTMC: 2107}, opt = 86936.972
> progress 33.308%, elapsed 93 s, estimated 282 s, iters = {DTMC: 2171}, opt = 86936.972
> progress 34.086%, elapsed 97 s, estimated 284 s, iters = {DTMC: 2234}, opt = 86936.972
> progress 34.493%, elapsed 100 s, estimated 290 s, iters = {DTMC: 2265}, opt = 86936.972
> progress 34.901%, elapsed 103 s, estimated 295 s, iters = {DTMC: 2296}, opt = 86936.972
> progress 35.345%, elapsed 106 s, estimated 300 s, iters = {DTMC: 2328}, opt = 86936.972
> progress 36.16%, elapsed 109 s, estimated 301 s, iters = {DTMC: 2390}, opt = 86936.972
> progress 36.833%, elapsed 112 s, estimated 304 s, iters = {DTMC: 2444}, opt = 86936.972
> progress 37.45%, elapsed 115 s, estimated 308 s, iters = {DTMC: 2494}, opt = 86936.972
> progress 38.524%, elapsed 118 s, estimated 307 s, iters = {DTMC: 2566}, opt = 86936.972
> progress 41.339%, elapsed 121 s, estimated 293 s, iters = {DTMC: 2793}, opt = 86936.972
> progress 44.265%, elapsed 124 s, estimated 281 s, iters = {DTMC: 3010}, opt = 86936.972
> progress 44.796%, elapsed 127 s, estimated 284 s, iters = {DTMC: 3047}, opt = 86936.972
> progress 45.327%, elapsed 130 s, estimated 287 s, iters = {DTMC: 3088}, opt = 86936.972
> progress 46.006%, elapsed 133 s, estimated 290 s, iters = {DTMC: 3146}, opt = 86936.972
> progress 46.882%, elapsed 136 s, estimated 291 s, iters = {DTMC: 3213}, opt = 86936.972
> progress 47.771%, elapsed 139 s, estimated 292 s, iters = {DTMC: 3275}, opt = 86936.972
> progress 48.685%, elapsed 142 s, estimated 292 s, iters = {DTMC: 3349}, opt = 86936.972
> progress 49.524%, elapsed 145 s, estimated 294 s, iters = {DTMC: 3417}, opt = 86936.972
> progress 50.487%, elapsed 148 s, estimated 294 s, iters = {DTMC: 3481}, opt = 86936.972
> progress 51.179%, elapsed 151 s, estimated 296 s, iters = {DTMC: 3531}, opt = 86936.972
> progress 51.796%, elapsed 154 s, estimated 298 s, iters = {DTMC: 3581}, opt = 86936.972
> progress 52.45%, elapsed 157 s, estimated 301 s, iters = {DTMC: 3634}, opt = 86936.972
> progress 53.246%, elapsed 160 s, estimated 302 s, iters = {DTMC: 3697}, opt = 86936.972
> progress 55.395%, elapsed 163 s, estimated 295 s, iters = {DTMC: 3855}, opt = 86936.972
> progress 57.296%, elapsed 166 s, estimated 291 s, iters = {DTMC: 3991}, opt = 86936.972
> progress 58.024%, elapsed 169 s, estimated 292 s, iters = {DTMC: 4044}, opt = 86936.972
> progress 58.876%, elapsed 173 s, estimated 293 s, iters = {DTMC: 4108}, opt = 86936.972
> progress 59.58%, elapsed 176 s, estimated 295 s, iters = {DTMC: 4165}, opt = 86936.972
> progress 60.098%, elapsed 179 s, estimated 298 s, iters = {DTMC: 4203}, opt = 86936.972
> progress 60.691%, elapsed 182 s, estimated 300 s, iters = {DTMC: 4247}, opt = 86936.972
> progress 61.469%, elapsed 185 s, estimated 301 s, iters = {DTMC: 4300}, opt = 86936.972
> progress 61.925%, elapsed 188 s, estimated 303 s, iters = {DTMC: 4336}, opt = 86936.972
> progress 62.444%, elapsed 191 s, estimated 306 s, iters = {DTMC: 4374}, opt = 86936.972
> progress 63.358%, elapsed 194 s, estimated 306 s, iters = {DTMC: 4445}, opt = 86936.972
> progress 64.209%, elapsed 197 s, estimated 307 s, iters = {DTMC: 4505}, opt = 86936.972
> progress 64.944%, elapsed 200 s, estimated 308 s, iters = {DTMC: 4557}, opt = 86936.972
> progress 65.944%, elapsed 203 s, estimated 308 s, iters = {DTMC: 4632}, opt = 86936.972
> progress 66.82%, elapsed 206 s, estimated 309 s, iters = {DTMC: 4701}, opt = 86936.972
> progress 67.598%, elapsed 209 s, estimated 309 s, iters = {DTMC: 4766}, opt = 86936.972
> progress 68.277%, elapsed 212 s, estimated 311 s, iters = {DTMC: 4821}, opt = 86936.972
> progress 69.462%, elapsed 215 s, estimated 310 s, iters = {DTMC: 4906}, opt = 86936.972
> progress 70.104%, elapsed 218 s, estimated 311 s, iters = {DTMC: 4956}, opt = 86936.972
> progress 70.635%, elapsed 221 s, estimated 313 s, iters = {DTMC: 4995}, opt = 86936.972
> progress 71.018%, elapsed 224 s, estimated 316 s, iters = {DTMC: 5026}, opt = 86936.972
> progress 71.438%, elapsed 227 s, estimated 318 s, iters = {DTMC: 5060}, opt = 86936.972
> progress 71.919%, elapsed 230 s, estimated 320 s, iters = {DTMC: 5099}, opt = 86936.972
> progress 72.611%, elapsed 233 s, estimated 322 s, iters = {DTMC: 5149}, opt = 86936.972
> progress 73.506%, elapsed 236 s, estimated 322 s, iters = {DTMC: 5220}, opt = 86936.972
> progress 74.179%, elapsed 239 s, estimated 323 s, iters = {DTMC: 5274}, opt = 86936.972
> progress 75.067%, elapsed 242 s, estimated 323 s, iters = {DTMC: 5337}, opt = 86936.972
> progress 75.808%, elapsed 245 s, estimated 324 s, iters = {DTMC: 5393}, opt = 86936.972
> progress 76.302%, elapsed 248 s, estimated 326 s, iters = {DTMC: 5429}, opt = 86936.972
> progress 76.913%, elapsed 252 s, estimated 327 s, iters = {DTMC: 5480}, opt = 86936.972
> progress 77.512%, elapsed 255 s, estimated 329 s, iters = {DTMC: 5533}, opt = 86936.972
> progress 78.277%, elapsed 258 s, estimated 329 s, iters = {DTMC: 5594}, opt = 86936.972
> progress 79.086%, elapsed 261 s, estimated 330 s, iters = {DTMC: 5662}, opt = 86936.972
> progress 79.932%, elapsed 264 s, estimated 330 s, iters = {DTMC: 5733}, opt = 86936.972
> progress 81.271%, elapsed 267 s, estimated 328 s, iters = {DTMC: 5845}, opt = 86936.972
> progress 83.03%, elapsed 270 s, estimated 325 s, iters = {DTMC: 6006}, opt = 86936.972
> progress 83.598%, elapsed 273 s, estimated 326 s, iters = {DTMC: 6052}, opt = 86936.972
> progress 84.395%, elapsed 276 s, estimated 327 s, iters = {DTMC: 6116}, opt = 86936.972
> progress 85.16%, elapsed 279 s, estimated 328 s, iters = {DTMC: 6175}, opt = 86936.972
> progress 85.753%, elapsed 282 s, estimated 329 s, iters = {DTMC: 6221}, opt = 86936.972
> progress 86.29%, elapsed 285 s, estimated 330 s, iters = {DTMC: 6263}, opt = 86936.972
> progress 86.796%, elapsed 288 s, estimated 332 s, iters = {DTMC: 6304}, opt = 86936.972
> progress 87.617%, elapsed 291 s, estimated 332 s, iters = {DTMC: 6369}, opt = 86936.972
> progress 88.654%, elapsed 294 s, estimated 332 s, iters = {DTMC: 6441}, opt = 86936.972
> progress 89.543%, elapsed 297 s, estimated 332 s, iters = {DTMC: 6513}, opt = 86936.972
> progress 90.148%, elapsed 300 s, estimated 333 s, iters = {DTMC: 6562}, opt = 86936.972
> progress 91.074%, elapsed 303 s, estimated 333 s, iters = {DTMC: 6635}, opt = 86936.972
