2024-02-04 14:10:29,418 - cli.py - This is Paynt version 0.1.0.
2024-02-04 14:10:29,419 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/tac24/maze/sketch.templ ...
2024-02-04 14:10:29,419 - sketch.py - assuming sketch in PRISM format...
2024-02-04 14:10:29,423 - prism_parser.py - PRISM model type: DTMC
2024-02-04 14:10:29,423 - prism_parser.py - processing hole definitions...
2024-02-04 14:10:29,423 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/tac24/maze/sketch.props ...
2024-02-04 14:10:29,424 - prism_parser.py - found the following specification: optimality: R[exp]{"steps"}min=? [F "goal"] 
2024-02-04 14:10:29,424 - jani.py - constructing JANI program...
2024-02-04 14:10:29,427 - jani.py - constructing the quotient...
2024-02-04 14:10:29,439 - jani.py - associating choices of the quotient with hole assignments...
2024-02-04 14:10:29,439 - sketch.py - sketch parsing OK
2024-02-04 14:10:29,440 - sketch.py - constructed explicit quotient having 183 states and 257 actions
2024-02-04 14:10:29,440 - sketch.py - found the following specification optimality: R[exp]{"steps"}min=? [F "goal"] 
2024-02-04 14:10:29,443 - synthesizer.py - synthesis initiated, design space: 9437184
2024-02-04 14:10:29,444 - smt.py - using Python Z3 for SMT solving.
> progress 0.017%, elapsed 3 s, estimated 17242 s (4 hours), iters = {DTMC: 172}, opt = 1392.653
> progress 0.129%, elapsed 6 s, estimated 4632 s, iters = {DTMC: 341}, opt = 249.814
> progress 0.464%, elapsed 9 s, estimated 1939 s, iters = {DTMC: 499}, opt = 249.814
> progress 0.466%, elapsed 12 s, estimated 2577 s, iters = {DTMC: 663}, opt = 32.94
> progress 0.947%, elapsed 15 s, estimated 1585 s, iters = {DTMC: 840}, opt = 32.698
> progress 0.958%, elapsed 18 s, estimated 1882 s, iters = {DTMC: 1000}, opt = 32.698
> progress 1.133%, elapsed 21 s, estimated 1856 s, iters = {DTMC: 1147}, opt = 32.698
> progress 1.139%, elapsed 24 s, estimated 2110 s, iters = {DTMC: 1333}, opt = 32.698
> progress 1.604%, elapsed 27 s, estimated 1685 s, iters = {DTMC: 1533}, opt = 32.698
> progress 1.607%, elapsed 30 s, estimated 1870 s, iters = {DTMC: 1671}, opt = 32.698
> progress 1.749%, elapsed 33 s, estimated 1890 s, iters = {DTMC: 1865}, opt = 26.114
> progress 1.752%, elapsed 36 s, estimated 2058 s, iters = {DTMC: 2003}, opt = 26.114
> progress 1.764%, elapsed 39 s, estimated 2215 s, iters = {DTMC: 2173}, opt = 26.114
> progress 1.776%, elapsed 42 s, estimated 2370 s, iters = {DTMC: 2341}, opt = 26.114
> progress 1.925%, elapsed 45 s, estimated 2343 s, iters = {DTMC: 2516}, opt = 26.114
> progress 2.401%, elapsed 48 s, estimated 2004 s, iters = {DTMC: 2699}, opt = 26.114
> progress 2.405%, elapsed 51 s, estimated 2126 s, iters = {DTMC: 2873}, opt = 26.114
> progress 2.58%, elapsed 54 s, estimated 2099 s, iters = {DTMC: 3017}, opt = 26.114
> progress 2.649%, elapsed 57 s, estimated 2157 s, iters = {DTMC: 3178}, opt = 26.114
> progress 2.659%, elapsed 60 s, estimated 2262 s, iters = {DTMC: 3365}, opt = 26.114
> progress 2.678%, elapsed 63 s, estimated 2360 s, iters = {DTMC: 3545}, opt = 26.114
> progress 2.76%, elapsed 66 s, estimated 2398 s, iters = {DTMC: 3715}, opt = 26.114
> progress 2.768%, elapsed 69 s, estimated 2501 s, iters = {DTMC: 3901}, opt = 26.114
> progress 2.775%, elapsed 72 s, estimated 2603 s, iters = {DTMC: 4109}, opt = 26.114
> progress 2.797%, elapsed 75 s, estimated 2690 s, iters = {DTMC: 4249}, opt = 26.114
> progress 2.805%, elapsed 78 s, estimated 2789 s, iters = {DTMC: 4378}, opt = 26.114
> progress 2.879%, elapsed 81 s, estimated 2822 s, iters = {DTMC: 4515}, opt = 26.114
> progress 2.885%, elapsed 84 s, estimated 2920 s, iters = {DTMC: 4654}, opt = 26.114
> progress 2.893%, elapsed 87 s, estimated 3016 s, iters = {DTMC: 4809}, opt = 26.114
> progress 2.936%, elapsed 90 s, estimated 3075 s, iters = {DTMC: 4956}, opt = 26.114
> progress 3.403%, elapsed 93 s, estimated 2741 s, iters = {DTMC: 5138}, opt = 26.114
> progress 3.408%, elapsed 96 s, estimated 2826 s, iters = {DTMC: 5292}, opt = 26.114
> progress 3.413%, elapsed 99 s, estimated 2910 s, iters = {DTMC: 5435}, opt = 26.114
> progress 3.424%, elapsed 102 s, estimated 2989 s, iters = {DTMC: 5617}, opt = 26.114
> progress 3.431%, elapsed 105 s, estimated 3070 s, iters = {DTMC: 5779}, opt = 17.798
> progress 3.435%, elapsed 108 s, estimated 3154 s, iters = {DTMC: 5916}, opt = 17.798
> progress 3.474%, elapsed 111 s, estimated 3206 s, iters = {DTMC: 6058}, opt = 17.798
> progress 3.668%, elapsed 114 s, estimated 3118 s, iters = {DTMC: 6228}, opt = 17.798
> progress 3.677%, elapsed 117 s, estimated 3192 s, iters = {DTMC: 6400}, opt = 17.798
> progress 3.79%, elapsed 120 s, estimated 3177 s, iters = {DTMC: 6569}, opt = 17.798
> progress 3.808%, elapsed 123 s, estimated 3241 s, iters = {DTMC: 6728}, opt = 17.798
> progress 3.839%, elapsed 126 s, estimated 3293 s, iters = {DTMC: 6903}, opt = 17.798
> progress 3.845%, elapsed 129 s, estimated 3366 s, iters = {DTMC: 7061}, opt = 17.798
> progress 4.037%, elapsed 132 s, estimated 3281 s, iters = {DTMC: 7224}, opt = 17.798
> progress 4.094%, elapsed 135 s, estimated 3309 s, iters = {DTMC: 7398}, opt = 17.798
> progress 4.242%, elapsed 138 s, estimated 3264 s, iters = {DTMC: 7556}, opt = 17.798
> progress 4.35%, elapsed 141 s, estimated 3252 s, iters = {DTMC: 7724}, opt = 17.798
> progress 4.452%, elapsed 144 s, estimated 3245 s, iters = {DTMC: 7925}, opt = 17.798
> progress 5.279%, elapsed 147 s, estimated 2794 s, iters = {DTMC: 8104}, opt = 15.039
> progress 5.447%, elapsed 150 s, estimated 2763 s, iters = {DTMC: 8255}, opt = 15.039
> progress 5.464%, elapsed 153 s, estimated 2810 s, iters = {DTMC: 8440}, opt = 15.039
> progress 5.748%, elapsed 156 s, estimated 2723 s, iters = {DTMC: 8642}, opt = 15.039
> progress 6.274%, elapsed 159 s, estimated 2543 s, iters = {DTMC: 8788}, opt = 15.039
> progress 6.3%, elapsed 162 s, estimated 2580 s, iters = {DTMC: 8927}, opt = 15.039
> progress 6.305%, elapsed 165 s, estimated 2626 s, iters = {DTMC: 9048}, opt = 15.039
> progress 6.324%, elapsed 168 s, estimated 2666 s, iters = {DTMC: 9186}, opt = 15.039
> progress 6.563%, elapsed 171 s, estimated 2615 s, iters = {DTMC: 9337}, opt = 15.039
> progress 6.6%, elapsed 174 s, estimated 2645 s, iters = {DTMC: 9496}, opt = 15.039
> progress 7.053%, elapsed 177 s, estimated 2518 s, iters = {DTMC: 9676}, opt = 15.039
> progress 7.069%, elapsed 180 s, estimated 2555 s, iters = {DTMC: 9893}, opt = 15.039
> progress 7.122%, elapsed 183 s, estimated 2578 s, iters = {DTMC: 10035}, opt = 15.039
> progress 7.529%, elapsed 186 s, estimated 2479 s, iters = {DTMC: 10190}, opt = 15.039
> progress 7.637%, elapsed 189 s, estimated 2483 s, iters = {DTMC: 10362}, opt = 15.039
> progress 7.66%, elapsed 192 s, estimated 2515 s, iters = {DTMC: 10564}, opt = 15.039
> progress 7.68%, elapsed 195 s, estimated 2548 s, iters = {DTMC: 10703}, opt = 15.039
> progress 7.689%, elapsed 198 s, estimated 2584 s, iters = {DTMC: 10827}, opt = 15.039
> progress 7.781%, elapsed 201 s, estimated 2592 s, iters = {DTMC: 10974}, opt = 15.039
> progress 7.821%, elapsed 204 s, estimated 2617 s, iters = {DTMC: 11118}, opt = 15.039
> progress 7.846%, elapsed 207 s, estimated 2647 s, iters = {DTMC: 11251}, opt = 15.039
> progress 7.867%, elapsed 210 s, estimated 2678 s, iters = {DTMC: 11443}, opt = 15.039
> progress 8.076%, elapsed 213 s, estimated 2646 s, iters = {DTMC: 11602}, opt = 15.039
> progress 8.082%, elapsed 216 s, estimated 2682 s, iters = {DTMC: 11787}, opt = 15.039
> progress 8.101%, elapsed 219 s, estimated 2713 s, iters = {DTMC: 11909}, opt = 15.039
> progress 8.106%, elapsed 222 s, estimated 2748 s, iters = {DTMC: 12028}, opt = 15.039
> progress 8.111%, elapsed 225 s, estimated 2784 s, iters = {DTMC: 12157}, opt = 15.039
> progress 8.158%, elapsed 228 s, estimated 2805 s, iters = {DTMC: 12280}, opt = 15.039
> progress 8.168%, elapsed 231 s, estimated 2838 s, iters = {DTMC: 12407}, opt = 15.039
> progress 8.178%, elapsed 234 s, estimated 2872 s, iters = {DTMC: 12529}, opt = 15.039
> progress 8.908%, elapsed 237 s, estimated 2670 s, iters = {DTMC: 12674}, opt = 15.039
> progress 8.932%, elapsed 240 s, estimated 2696 s, iters = {DTMC: 12795}, opt = 15.039
> progress 8.941%, elapsed 243 s, estimated 2728 s, iters = {DTMC: 12902}, opt = 15.039
> progress 9.021%, elapsed 246 s, estimated 2736 s, iters = {DTMC: 13026}, opt = 15.039
> progress 9.358%, elapsed 249 s, estimated 2670 s, iters = {DTMC: 13151}, opt = 15.039
> progress 9.871%, elapsed 252 s, estimated 2562 s, iters = {DTMC: 13297}, opt = 15.039
> progress 9.891%, elapsed 255 s, estimated 2587 s, iters = {DTMC: 13409}, opt = 15.039
> progress 9.902%, elapsed 258 s, estimated 2615 s, iters = {DTMC: 13510}, opt = 15.039
> progress 9.907%, elapsed 262 s, estimated 2644 s, iters = {DTMC: 13622}, opt = 15.039
> progress 9.912%, elapsed 265 s, estimated 2673 s, iters = {DTMC: 13756}, opt = 15.039
> progress 10.327%, elapsed 268 s, estimated 2595 s, iters = {DTMC: 13872}, opt = 15.039
> progress 10.333%, elapsed 271 s, estimated 2622 s, iters = {DTMC: 13971}, opt = 15.039
> progress 10.335%, elapsed 274 s, estimated 2651 s, iters = {DTMC: 14084}, opt = 15.039
> progress 10.376%, elapsed 277 s, estimated 2669 s, iters = {DTMC: 14208}, opt = 15.039
> progress 10.522%, elapsed 280 s, estimated 2661 s, iters = {DTMC: 14352}, opt = 15.039
> progress 10.523%, elapsed 283 s, estimated 2689 s, iters = {DTMC: 14460}, opt = 15.039
> progress 10.529%, elapsed 286 s, estimated 2717 s, iters = {DTMC: 14571}, opt = 15.039
> progress 10.545%, elapsed 289 s, estimated 2741 s, iters = {DTMC: 14727}, opt = 15.039
> progress 10.564%, elapsed 292 s, estimated 2764 s, iters = {DTMC: 14858}, opt = 15.039
> progress 11.224%, elapsed 295 s, estimated 2629 s, iters = {DTMC: 15023}, opt = 9.506
> progress 11.51%, elapsed 298 s, estimated 2590 s, iters = {DTMC: 15128}, opt = 9.506
> progress 11.524%, elapsed 301 s, estimated 2613 s, iters = {DTMC: 15231}, opt = 9.506
> progress 11.537%, elapsed 304 s, estimated 2636 s, iters = {DTMC: 15344}, opt = 9.506
> progress 11.685%, elapsed 307 s, estimated 2628 s, iters = {DTMC: 15466}, opt = 9.506
> progress 11.71%, elapsed 310 s, estimated 2648 s, iters = {DTMC: 15590}, opt = 9.506
> progress 11.884%, elapsed 313 s, estimated 2635 s, iters = {DTMC: 15716}, opt = 9.506
> progress 12.266%, elapsed 316 s, estimated 2578 s, iters = {DTMC: 15858}, opt = 9.506
> progress 12.431%, elapsed 319 s, estimated 2568 s, iters = {DTMC: 15994}, opt = 9.506
> progress 12.448%, elapsed 322 s, estimated 2588 s, iters = {DTMC: 16118}, opt = 9.506
> progress 12.93%, elapsed 325 s, estimated 2515 s, iters = {DTMC: 16235}, opt = 9.506
> progress 12.974%, elapsed 328 s, estimated 2530 s, iters = {DTMC: 16351}, opt = 9.506
> progress 12.975%, elapsed 331 s, estimated 2553 s, iters = {DTMC: 16451}, opt = 9.506
> progress 13.018%, elapsed 334 s, estimated 2567 s, iters = {DTMC: 16558}, opt = 9.506
> progress 13.181%, elapsed 337 s, estimated 2558 s, iters = {DTMC: 16667}, opt = 9.506
> progress 13.186%, elapsed 340 s, estimated 2580 s, iters = {DTMC: 16785}, opt = 9.506
> progress 13.192%, elapsed 343 s, estimated 2602 s, iters = {DTMC: 16910}, opt = 9.506
> progress 13.364%, elapsed 346 s, estimated 2591 s, iters = {DTMC: 17023}, opt = 8.973
> progress 13.398%, elapsed 349 s, estimated 2607 s, iters = {DTMC: 17134}, opt = 8.973
> progress 13.414%, elapsed 352 s, estimated 2626 s, iters = {DTMC: 17231}, opt = 8.973
> progress 13.46%, elapsed 355 s, estimated 2640 s, iters = {DTMC: 17341}, opt = 8.973
> progress 13.531%, elapsed 358 s, estimated 2648 s, iters = {DTMC: 17456}, opt = 8.973
> progress 13.567%, elapsed 361 s, estimated 2663 s, iters = {DTMC: 17566}, opt = 8.973
> progress 14.085%, elapsed 364 s, estimated 2587 s, iters = {DTMC: 17663}, opt = 8.973
> progress 14.094%, elapsed 367 s, estimated 2606 s, iters = {DTMC: 17793}, opt = 8.973
> progress 14.189%, elapsed 370 s, estimated 2610 s, iters = {DTMC: 17896}, opt = 8.973
> progress 14.203%, elapsed 373 s, estimated 2629 s, iters = {DTMC: 18003}, opt = 8.973
> progress 14.932%, elapsed 376 s, estimated 2521 s, iters = {DTMC: 18113}, opt = 8.973
> progress 15.1%, elapsed 379 s, estimated 2513 s, iters = {DTMC: 18236}, opt = 8.973
> progress 15.112%, elapsed 382 s, estimated 2531 s, iters = {DTMC: 18339}, opt = 8.973
> progress 15.406%, elapsed 385 s, estimated 2502 s, iters = {DTMC: 18454}, opt = 8.973
> progress 15.416%, elapsed 388 s, estimated 2520 s, iters = {DTMC: 18567}, opt = 8.973
> progress 15.421%, elapsed 391 s, estimated 2539 s, iters = {DTMC: 18673}, opt = 8.973
> progress 15.432%, elapsed 394 s, estimated 2556 s, iters = {DTMC: 18781}, opt = 8.973
> progress 15.435%, elapsed 397 s, estimated 2576 s, iters = {DTMC: 18875}, opt = 8.973
> progress 15.441%, elapsed 400 s, estimated 2594 s, iters = {DTMC: 18973}, opt = 8.973
> progress 15.455%, elapsed 403 s, estimated 2611 s, iters = {DTMC: 19071}, opt = 8.973
> progress 15.462%, elapsed 406 s, estimated 2630 s, iters = {DTMC: 19194}, opt = 8.973
> progress 16.032%, elapsed 409 s, estimated 2555 s, iters = {DTMC: 19299}, opt = 8.973
> progress 16.147%, elapsed 412 s, estimated 2556 s, iters = {DTMC: 19406}, opt = 8.973
> progress 16.162%, elapsed 415 s, estimated 2572 s, iters = {DTMC: 19490}, opt = 8.973
> progress 16.168%, elapsed 418 s, estimated 2590 s, iters = {DTMC: 19583}, opt = 8.973
> progress 16.297%, elapsed 421 s, estimated 2588 s, iters = {DTMC: 19685}, opt = 8.973
> progress 16.298%, elapsed 424 s, estimated 2606 s, iters = {DTMC: 19781}, opt = 8.973
> progress 16.798%, elapsed 427 s, estimated 2546 s, iters = {DTMC: 19873}, opt = 8.973
> progress 16.828%, elapsed 430 s, estimated 2560 s, iters = {DTMC: 19968}, opt = 8.973
> progress 17.181%, elapsed 433 s, estimated 2525 s, iters = {DTMC: 20061}, opt = 8.973
> progress 17.514%, elapsed 436 s, estimated 2494 s, iters = {DTMC: 20154}, opt = 8.973
> progress 17.698%, elapsed 439 s, estimated 2485 s, iters = {DTMC: 20253}, opt = 8.973
> progress 17.862%, elapsed 442 s, estimated 2479 s, iters = {DTMC: 20364}, opt = 8.973
> progress 17.866%, elapsed 445 s, estimated 2495 s, iters = {DTMC: 20457}, opt = 8.973
> progress 18.047%, elapsed 448 s, estimated 2487 s, iters = {DTMC: 20561}, opt = 8.973
> progress 18.191%, elapsed 451 s, estimated 2484 s, iters = {DTMC: 20667}, opt = 8.973
> progress 18.2%, elapsed 454 s, estimated 2499 s, iters = {DTMC: 20777}, opt = 8.973
> progress 18.216%, elapsed 458 s, estimated 2514 s, iters = {DTMC: 20914}, opt = 8.973
> progress 18.267%, elapsed 461 s, estimated 2523 s, iters = {DTMC: 21023}, opt = 8.973
> progress 18.275%, elapsed 464 s, estimated 2539 s, iters = {DTMC: 21128}, opt = 8.973
> progress 18.356%, elapsed 467 s, estimated 2544 s, iters = {DTMC: 21228}, opt = 8.973
> progress 18.36%, elapsed 470 s, estimated 2560 s, iters = {DTMC: 21331}, opt = 8.973
> progress 18.364%, elapsed 473 s, estimated 2576 s, iters = {DTMC: 21424}, opt = 8.973
> progress 18.513%, elapsed 476 s, estimated 2571 s, iters = {DTMC: 21511}, opt = 8.973
> progress 18.521%, elapsed 479 s, estimated 2587 s, iters = {DTMC: 21594}, opt = 8.973
> progress 18.528%, elapsed 482 s, estimated 2602 s, iters = {DTMC: 21663}, opt = 8.973
> progress 18.601%, elapsed 485 s, estimated 2608 s, iters = {DTMC: 21747}, opt = 8.973
> progress 18.641%, elapsed 488 s, estimated 2618 s, iters = {DTMC: 21843}, opt = 8.973
> progress 18.694%, elapsed 491 s, estimated 2627 s, iters = {DTMC: 21955}, opt = 8.973
> progress 18.745%, elapsed 494 s, estimated 2636 s, iters = {DTMC: 22080}, opt = 8.973
> progress 18.841%, elapsed 497 s, estimated 2639 s, iters = {DTMC: 22187}, opt = 8.973
> progress 19.149%, elapsed 500 s, estimated 2612 s, iters = {DTMC: 22285}, opt = 8.973
> progress 19.276%, elapsed 503 s, estimated 2610 s, iters = {DTMC: 22397}, opt = 8.973
> progress 19.322%, elapsed 506 s, estimated 2620 s, iters = {DTMC: 22517}, opt = 8.973
> progress 19.593%, elapsed 509 s, estimated 2599 s, iters = {DTMC: 22612}, opt = 8.973
> progress 19.601%, elapsed 512 s, estimated 2614 s, iters = {DTMC: 22699}, opt = 8.973
> progress 19.606%, elapsed 515 s, estimated 2628 s, iters = {DTMC: 22805}, opt = 8.973
> progress 19.73%, elapsed 518 s, estimated 2627 s, iters = {DTMC: 22904}, opt = 8.973
> progress 19.734%, elapsed 521 s, estimated 2642 s, iters = {DTMC: 23005}, opt = 8.973
> progress 19.809%, elapsed 524 s, estimated 2647 s, iters = {DTMC: 23093}, opt = 8.973
> progress 19.828%, elapsed 527 s, estimated 2660 s, iters = {DTMC: 23179}, opt = 8.973
> progress 19.837%, elapsed 530 s, estimated 2674 s, iters = {DTMC: 23262}, opt = 8.973
> progress 19.842%, elapsed 533 s, estimated 2689 s, iters = {DTMC: 23343}, opt = 8.973
> progress 19.848%, elapsed 536 s, estimated 2703 s, iters = {DTMC: 23426}, opt = 8.973
> progress 19.855%, elapsed 539 s, estimated 2718 s, iters = {DTMC: 23508}, opt = 8.973
> progress 19.866%, elapsed 542 s, estimated 2731 s, iters = {DTMC: 23601}, opt = 8.973
> progress 19.868%, elapsed 545 s, estimated 2746 s, iters = {DTMC: 23665}, opt = 8.973
> progress 19.876%, elapsed 548 s, estimated 2760 s, iters = {DTMC: 23747}, opt = 8.973
> progress 19.996%, elapsed 551 s, estimated 2759 s, iters = {DTMC: 23831}, opt = 8.973
> progress 20.009%, elapsed 554 s, estimated 2772 s, iters = {DTMC: 23932}, opt = 8.973
> progress 20.019%, elapsed 557 s, estimated 2786 s, iters = {DTMC: 24017}, opt = 8.973
> progress 20.026%, elapsed 560 s, estimated 2800 s, iters = {DTMC: 24103}, opt = 8.973
> progress 20.028%, elapsed 563 s, estimated 2815 s, iters = {DTMC: 24195}, opt = 8.973
> progress 20.037%, elapsed 566 s, estimated 2829 s, iters = {DTMC: 24280}, opt = 8.973
> progress 20.041%, elapsed 569 s, estimated 2843 s, iters = {DTMC: 24362}, opt = 8.973
> progress 20.051%, elapsed 572 s, estimated 2857 s, iters = {DTMC: 24449}, opt = 8.973
